precincts,tally_type,ballotID,rank1,rank2,rank3,Num cands,Num seats
364700,Election Day - Insight,76850,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76851,SHANTHI GONZALES,RENATO ALMANZOR,skipped,2,1
364700,Election Day - Insight,76852,RENATO ALMANZOR,SHANTHI GONZALES,skipped,2,1
364700,Election Day - Insight,76853,SHANTHI GONZALES,RENATO ALMANZOR,skipped,2,1
364700,Election Day - Insight,76854,SHANTHI GONZALES,RENATO ALMANZOR,skipped,2,1
364700,Election Day - Insight,76855,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76856,RENATO ALMANZOR,SHANTHI GONZALES,skipped,2,1
364700,Election Day - Insight,76858,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76859,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76860,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76861,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76862,SHANTHI GONZALES,RENATO ALMANZOR,skipped,2,1
364700,Election Day - Insight,76863,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76864,RENATO ALMANZOR,skipped,skipped,2,1
364700,Election Day - Insight,76865,SHANTHI GONZALES,RENATO ALMANZOR,skipped,2,1
364700,Election Day - Insight,76866,RENATO ALMANZOR,skipped,skipped,2,1
364700,Election Day - Insight,76867,RENATO ALMANZOR,skipped,skipped,2,1
364700,Election Day - Insight,76869,RENATO ALMANZOR,skipped,skipped,2,1
364700,Election Day - Insight,76871,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76872,RENATO ALMANZOR,SHANTHI GONZALES,skipped,2,1
364700,Election Day - Insight,76873,RENATO ALMANZOR,skipped,skipped,2,1
364700,Election Day - Insight,76874,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76877,SHANTHI GONZALES,skipped,skipped,2,1
364700,Election Day - Insight,76878,SHANTHI GONZALES,skipped,skipped,2,1
