rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,rank12,Num cands,Num seats
"Crutchfield, Jake W.","Nolan, Patricia M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Weinstein, David J.","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.","Fantini, Alfred B.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Bowman, Manikka L.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Fantini, Alfred B.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Kimbrough, Laurance V.","Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Kelly, Kathleen M.","Fantini, Alfred B.","Bowman, Manikka L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Cronin, Fran A.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Kelly, Kathleen M.","Fantini, Alfred B.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Weinstein, David J.","Kimbrough, Laurance V.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Fantini, Alfred B.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Fantini, Alfred B.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Weinstein, David J.","Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Cronin, Fran A.","Fantini, Alfred B.","Kadete, Elechi M.","Kimbrough, Laurance V.","Mitros, Piotr Flawiusz","MacArthur, William",skipped,14,6
"Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.","Fantini, Alfred B.","Bowman, Manikka L.","Weinstein, David J.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Fantini, Alfred B.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Cronin, Fran A.","Crutchfield, Jake W.","Weinstein, David J.","Mitros, Piotr Flawiusz","MacArthur, William","Kimbrough, Laurance V.","Kadete, Elechi M.","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.","Dexter, Emily R.","Fantini, Alfred B.",14,6
"Cronin, Fran A.","Dexter, Emily R.","Kimbrough, Laurance V.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Manikka L.",14,6
"Kadete, Elechi M.","Nolan, Patricia M.","Bowman, Manikka L.","Crutchfield, Jake W.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Dexter, Emily R.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Dexter, Emily R.","Kadete, Elechi M.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Crutchfield, Jake W.",skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Dexter, Emily R.","Kadete, Elechi M.","Crutchfield, Jake W.","Weinstein, David J.","MacArthur, William","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Fantini, Alfred B.","Kelly, Kathleen M.","MacArthur, William","Kimbrough, Laurance V.","Weinstein, David J.","Crutchfield, Jake W.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,14,6
"Fantini, Alfred B.","Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Cronin, Fran A.","Crutchfield, Jake W.","Fantini, Alfred B.","Kadete, Elechi M.","Kelly, Kathleen M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.",14,6
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William","Kelly, Kathleen M.","Fantini, Alfred B.","Bowman, Manikka L.","Dexter, Emily R.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Kadete, Elechi M.","Kimbrough, Laurance V.",14,6
"Kelly, Kathleen M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Dexter, Emily R.","Crutchfield, Jake W.","MacArthur, William","Weinstein, David J.","Kimbrough, Laurance V.","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","Bowman, Manikka L.","Kadete, Elechi M.","Dexter, Emily R.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Cronin, Fran A.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Fantini, Alfred B.","Bowman, Manikka L.","Kimbrough, Laurance V.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Crutchfield, Jake W.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Crutchfield, Jake W.","MacArthur, William","Nolan, Patricia M.","Bowman, Manikka L.","Kadete, Elechi M.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Crutchfield, Jake W.","Dexter, Emily R.","Cronin, Fran A.","Kimbrough, Laurance V.","Weinstein, David J.","Kelly, Kathleen M.","Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kimbrough, Laurance V.","Mitros, Piotr Flawiusz","Fantini, Alfred B.","Cronin, Fran A.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Crutchfield, Jake W.","MacArthur, William","Bowman, Manikka L.","Nolan, Patricia M.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Crutchfield, Jake W.","Bowman, Manikka L.","Nolan, Patricia M.","MacArthur, William","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Mitros, Piotr Flawiusz","Dexter, Emily R.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Kadete, Elechi M.","Mitros, Piotr Flawiusz","Cronin, Fran A.","Crutchfield, Jake W.","Weinstein, David J.","Nolan, Patricia M.","Bowman, Manikka L.","MacArthur, William","Kimbrough, Laurance V.","Fantini, Alfred B.","Kelly, Kathleen M.",14,6
"Dexter, Emily R.","Kadete, Elechi M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Mitros, Piotr Flawiusz","Weinstein, David J.","Fantini, Alfred B.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Nolan, Patricia M.","Kimbrough, Laurance V.","Kelly, Kathleen M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Kelly, Kathleen M.","Dexter, Emily R.","Mitros, Piotr Flawiusz","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William","Nolan, Patricia M.","Dexter, Emily R.","Kimbrough, Laurance V.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,14,6
"Cronin, Fran A.","Dexter, Emily R.","Kimbrough, Laurance V.","Weinstein, David J.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Weinstein, David J.","Kadete, Elechi M.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"MacArthur, William","Bowman, Manikka L.","Cronin, Fran A.","Dexter, Emily R.","Fantini, Alfred B.","Weinstein, David J.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kimbrough, Laurance V.","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kadete, Elechi M.","Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Bowman, Manikka L.","Kelly, Kathleen M.","Cronin, Fran A.","Weinstein, David J.","MacArthur, William","Mitros, Piotr Flawiusz","Fantini, Alfred B.","Kimbrough, Laurance V.",14,6
"MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kimbrough, Laurance V.","Kadete, Elechi M.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kadete, Elechi M.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Bowman, Manikka L.","Kelly, Kathleen M.","MacArthur, William","Kadete, Elechi M.","Cronin, Fran A.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,14,6
"Cronin, Fran A.","Dexter, Emily R.","Kelly, Kathleen M.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.","Dexter, Emily R.","Crutchfield, Jake W.","MacArthur, William","Weinstein, David J.","Kimbrough, Laurance V.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,14,6
"Fantini, Alfred B.","Kelly, Kathleen M.","Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.",14,6
"Bowman, Manikka L.","Mitros, Piotr Flawiusz","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","Cronin, Fran A.","Nolan, Patricia M.","Kelly, Kathleen M.","Fantini, Alfred B.","Bowman, Manikka L.","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Mitros, Piotr Flawiusz","Kimbrough, Laurance V.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Kimbrough, Laurance V.","MacArthur, William","Cronin, Fran A.","Kelly, Kathleen M.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","Dexter, Emily R.","Nolan, Patricia M.","Mitros, Piotr Flawiusz","Crutchfield, Jake W.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Fantini, Alfred B.","MacArthur, William","Dexter, Emily R.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Dexter, Emily R.","Nolan, Patricia M.","Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Cronin, Fran A.","Weinstein, David J.","Mitros, Piotr Flawiusz","Fantini, Alfred B.","Crutchfield, Jake W.",14,6
"Nolan, Patricia M.","Bowman, Manikka L.","Dexter, Emily R.","Fantini, Alfred B.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Kadete, Elechi M.","Weinstein, David J.","Kimbrough, Laurance V.","MacArthur, William","Cronin, Fran A.","Crutchfield, Jake W.",14,6
"Cronin, Fran A.","Fantini, Alfred B.","Bowman, Manikka L.","Kelly, Kathleen M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Cronin, Fran A.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Bowman, Manikka L.","Nolan, Patricia M.","Kadete, Elechi M.","Dexter, Emily R.","Fantini, Alfred B.","Crutchfield, Jake W.","Mitros, Piotr Flawiusz","MacArthur, William","Cronin, Fran A.","Kimbrough, Laurance V.",skipped,14,6
"Crutchfield, Jake W.","Dexter, Emily R.","Bowman, Manikka L.","Nolan, Patricia M.","MacArthur, William",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kelly, Kathleen M.","Nolan, Patricia M.","Dexter, Emily R.","Fantini, Alfred B.","Cronin, Fran A.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Crutchfield, Jake W.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Mitros, Piotr Flawiusz",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Crutchfield, Jake W.","Kelly, Kathleen M.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","Dexter, Emily R.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","Dexter, Emily R.","Kadete, Elechi M.","Bowman, Manikka L.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","Nolan, Patricia M.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","Nolan, Patricia M.","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kelly, Kathleen M.","Cronin, Fran A.","Fantini, Alfred B.","Kimbrough, Laurance V.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Cronin, Fran A.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Kelly, Kathleen M.","Nolan, Patricia M.","MacArthur, William","Weinstein, David J.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Bowman, Manikka L.","Kadete, Elechi M.","Kimbrough, Laurance V.","MacArthur, William","Dexter, Emily R.","Nolan, Patricia M.","Kelly, Kathleen M.","Mitros, Piotr Flawiusz","Cronin, Fran A.","Fantini, Alfred B.","Weinstein, David J.","Crutchfield, Jake W.",14,6
"Kimbrough, Laurance V.","Bowman, Manikka L.",skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,14,6
"Dexter, Emily R.","Nolan, Patricia M.","Crutchfield, Jake W.","Cronin, Fran A.","MacArthur, William","Weinstein, David J.","Fantini, Alfred B.",skipped,skipped,skipped,skipped,skipped,14,6
"Kimbrough, Laurance V.","MacArthur, William","Mitros, Piotr Flawiusz","Weinstein, David J.","Cronin, Fran A.","Crutchfield, Jake W.","Kadete, Elechi M.",skipped,skipped,skipped,skipped,skipped,14,6
