rank1,rank2,rank3,rank4,Num cands,Num seats
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,skipped,21,1
NICOLE M. LACHAPELLE,skipped,skipped,skipped,21,1
NICOLE M. LACHAPELLE,ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,21,1
KEITH M. ROUTHIER,ERIC K. BERZINS,skipped,skipped,21,1
KEITH M. ROUTHIER,ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,skipped,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,NICOLE M. LACHAPELLE,skipped,21,1
ERIC K. BERZINS,AVERY LAVALLEY,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,skipped,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,KEITH M. ROUTHIER,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,DONALD W. TORREY,skipped,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,DONALD W. TORREY,KEITH M. ROUTHIER,21,1
ERIC K. BERZINS,NICOLE M. LACHAPELLE,DONALD W. TORREY,KEITH M. ROUTHIER,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
ERIC K. BERZINS,KEITH M. ROUTHIER,skipped,skipped,21,1
