ballotID,precinctPortion,ballot_type,countingGroup,votingLocation,district,districtType,precinct,rank1,rank2,rank3,Num cands,Num seats
00022_00005_000012,PCT 7921,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7921,HILLARY RONEN,skipped,skipped,2,1
00022_00005_000002,PCT 7911,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7911,HILLARY RONEN,skipped,skipped,2,1
00022_00005_000009,PCT 7914,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7914,HILLARY RONEN,skipped,skipped,2,1
00022_00005_000019,PCT 7929,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7929,HILLARY RONEN,skipped,skipped,2,1
00022_00005_000065,PCT 7926,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7926,HILLARY RONEN,skipped,skipped,2,1
00023_00004_000042,PCT 7958 MB,Ballot Type 21,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7958 MB,HILLARY RONEN,skipped,skipped,2,1
00023_00004_000076,PCT 7938,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7938,HILLARY RONEN,skipped,skipped,2,1
00023_00004_000086,PCT 7919,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7919,HILLARY RONEN,skipped,skipped,2,1
00024_00003_000053,PCT 7948,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7948,HILLARY RONEN,skipped,skipped,2,1
00024_00003_000061,PCT 7948,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7948,HILLARY RONEN,skipped,skipped,2,1
00024_00003_000068,PCT 7949,Ballot Type 19,Vote by Mail,City Hall,PORTOLA,Neighborhood,PCT 7949,HILLARY RONEN,skipped,skipped,2,1
00031_00072_000032,PCT 7922,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7922,HILLARY RONEN,skipped,skipped,2,1
00031_00072_000028,PCT 7924,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7924,HILLARY RONEN,skipped,skipped,2,1
00026_00978_000044,PCT 7903,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7903,HILLARY RONEN,skipped,skipped,2,1
00026_00978_000025,PCT 7915,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7915,HILLARY RONEN,skipped,skipped,2,1
00026_00978_000102,PCT 7934,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7934,HILLARY RONEN,skipped,skipped,2,1
00026_00978_000053,PCT 7934,Ballot Type 19,Vote by Mail,City Hall,N BERNAL HTS,Neighborhood,PCT 7934,HILLARY RONEN,skipped,skipped,2,1
00026_00978_000029,PCT 7916,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7916,HILLARY RONEN,skipped,skipped,2,1
00026_00979_000048,PCT 7903,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7903,HILLARY RONEN,skipped,skipped,2,1
00026_00979_000093,PCT 7901,Ballot Type 19,Vote by Mail,City Hall,MISSION,Neighborhood,PCT 7901,HILLARY RONEN,skipped,skipped,2,1
00026_00979_000034,PCT 7939,Ballot Type 19,Vote by Mail,City Hall,S BERNAL HTS,Neighborhood,PCT 7939,HILLARY RONEN,skipped,skipped,2,1
