rank1,rank2,rank3,Num cands,Num seats
Jake McGoldrick,David Heller,Leanna Dawydiak,7,1
Jake McGoldrick,David Heller,Leanna Dawydiak,7,1
Jake McGoldrick,David Heller,Leanna Dawydiak,7,1
Jake McGoldrick,David Heller,Leanna Dawydiak,7,1
Jake McGoldrick,David Heller,Leanna Dawydiak,7,1
Jake McGoldrick,David Heller,Leanna Dawydiak,7,1
Jake McGoldrick,David Heller,Jeffrey S. Freebairn,7,1
Jake McGoldrick,David Heller,Jeffrey S. Freebairn,7,1
Jake McGoldrick,David Heller,Jeffrey S. Freebairn,7,1
Jake McGoldrick,David Heller,Jeffrey S. Freebairn,7,1
Jake McGoldrick,David Heller,Jeffrey S. Freebairn,7,1
Jake McGoldrick,David Heller,Jeffrey S. Freebairn,7,1
Jake McGoldrick,David Heller,Lillian Sing,7,1
Jake McGoldrick,David Heller,Lillian Sing,7,1
Jake McGoldrick,David Heller,Lillian Sing,7,1
Jake McGoldrick,David Heller,Lillian Sing,7,1
Jake McGoldrick,David Heller,Lillian Sing,7,1
Jake McGoldrick,David Heller,Lillian Sing,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,Matt Tuchow,7,1
Jake McGoldrick,David Heller,skipped,7,1
Jake McGoldrick,David Heller,skipped,7,1
Jake McGoldrick,David Heller,skipped,7,1
Jake McGoldrick,David Heller,skipped,7,1
Jake McGoldrick,Leanna Dawydiak,David Heller,7,1
Jake McGoldrick,Leanna Dawydiak,David Heller,7,1
Jake McGoldrick,Leanna Dawydiak,David Heller,7,1
Jake McGoldrick,Leanna Dawydiak,David Heller,7,1
Jake McGoldrick,Leanna Dawydiak,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Leanna Dawydiak,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Leanna Dawydiak,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Leanna Dawydiak,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Leanna Dawydiak,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Leanna Dawydiak,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Leanna Dawydiak,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Leanna Dawydiak,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Leanna Dawydiak,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Leanna Dawydiak,Lillian Sing,7,1
Jake McGoldrick,Leanna Dawydiak,Lillian Sing,7,1
Jake McGoldrick,Leanna Dawydiak,Lillian Sing,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,Matt Tuchow,7,1
Jake McGoldrick,Leanna Dawydiak,skipped,7,1
Jake McGoldrick,Leanna Dawydiak,skipped,7,1
Jake McGoldrick,Leanna Dawydiak,skipped,7,1
Jake McGoldrick,Leanna Dawydiak,skipped,7,1
Jake McGoldrick,Jeffrey S. Freebairn,David Heller,7,1
Jake McGoldrick,Jeffrey S. Freebairn,Leanna Dawydiak,7,1
Jake McGoldrick,Jeffrey S. Freebairn,Lillian Sing,7,1
Jake McGoldrick,Jeffrey S. Freebairn,Lillian Sing,7,1
Jake McGoldrick,Jeffrey S. Freebairn,Matt Tuchow,7,1
Jake McGoldrick,Jeffrey S. Freebairn,Matt Tuchow,7,1
Jake McGoldrick,Jeffrey S. Freebairn,Matt Tuchow,7,1
Jake McGoldrick,Jeffrey S. Freebairn,skipped,7,1
Jake McGoldrick,Lillian Sing,David Heller,7,1
Jake McGoldrick,Lillian Sing,David Heller,7,1
Jake McGoldrick,Lillian Sing,David Heller,7,1
Jake McGoldrick,Lillian Sing,David Heller,7,1
Jake McGoldrick,Lillian Sing,David Heller,7,1
Jake McGoldrick,Lillian Sing,Leanna Dawydiak,7,1
Jake McGoldrick,Lillian Sing,Leanna Dawydiak,7,1
Jake McGoldrick,Lillian Sing,Leanna Dawydiak,7,1
Jake McGoldrick,Lillian Sing,Leanna Dawydiak,7,1
Jake McGoldrick,Lillian Sing,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Lillian Sing,Rose Tsui,7,1
Jake McGoldrick,Lillian Sing,Rose Tsui,7,1
Jake McGoldrick,Lillian Sing,Rose Tsui,7,1
Jake McGoldrick,Lillian Sing,Rose Tsui,7,1
Jake McGoldrick,Lillian Sing,Rose Tsui,7,1
Jake McGoldrick,Lillian Sing,Rose Tsui,7,1
Jake McGoldrick,Lillian Sing,Rose Tsui,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,Matt Tuchow,7,1
Jake McGoldrick,Lillian Sing,skipped,7,1
Jake McGoldrick,Lillian Sing,skipped,7,1
Jake McGoldrick,Rose Tsui,David Heller,7,1
Jake McGoldrick,Rose Tsui,David Heller,7,1
Jake McGoldrick,Rose Tsui,Leanna Dawydiak,7,1
Jake McGoldrick,Rose Tsui,Lillian Sing,7,1
Jake McGoldrick,Rose Tsui,Lillian Sing,7,1
Jake McGoldrick,Rose Tsui,Lillian Sing,7,1
Jake McGoldrick,Rose Tsui,Lillian Sing,7,1
Jake McGoldrick,Rose Tsui,Lillian Sing,7,1
Jake McGoldrick,Rose Tsui,Matt Tuchow,7,1
Jake McGoldrick,Rose Tsui,Matt Tuchow,7,1
Jake McGoldrick,Rose Tsui,skipped,7,1
Jake McGoldrick,Rose Tsui,skipped,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,David Heller,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Leanna Dawydiak,7,1
Jake McGoldrick,Matt Tuchow,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Matt Tuchow,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Matt Tuchow,Jeffrey S. Freebairn,7,1
Jake McGoldrick,Matt Tuchow,Jeffrey S. Freebairn,7,1
