precincts,tally_type,ballotID,rank1,rank2,rank3,numSeats,numCands
204310,Vote by Mail - 400C,45695,MAX ANDERSON,skipped,skipped,1,3
204310,Vote by Mail - 400C,45696,DMITRI BELSER,skipped,skipped,1,3
204310,Vote by Mail - 400C,45697,DMITRI BELSER,skipped,skipped,1,3
204310,Vote by Mail - 400C,45698,DMITRI BELSER,skipped,skipped,1,3
204310,Vote by Mail - 400C,45699,MAX ANDERSON,DMITRI BELSER,skipped,1,3
204310,Vote by Mail - 400C,45700,MAX ANDERSON,skipped,skipped,1,3
204310,Vote by Mail - 400C,45701,MAX ANDERSON,DMITRI BELSER,skipped,1,3
204310,Vote by Mail - 400C,45702,DMITRI BELSER,MAX ANDERSON,skipped,1,3
204310,Vote by Mail - 400C,45703,MAX ANDERSON,skipped,skipped,1,3
204310,Vote by Mail - 400C,45704,DMITRI BELSER,skipped,skipped,1,3
204310,Vote by Mail - 400C,45705,DMITRI BELSER,skipped,skipped,1,3
204310,Vote by Mail - 400C,45706,MAX ANDERSON,skipped,skipped,1,3
204310,Vote by Mail - 400C,45707,MAX ANDERSON,DMITRI BELSER,skipped,1,3
204310,Vote by Mail - 400C,45708,MAX ANDERSON,skipped,skipped,1,3
204310,Vote by Mail - 400C,45709,MAX ANDERSON,skipped,skipped,1,3
204310,Vote by Mail - 400C,45710,MAX ANDERSON,DMITRI BELSER,skipped,1,3
204310,Vote by Mail - 400C,45711,MAX ANDERSON,skipped,skipped,1,3
204310,Vote by Mail - 400C,45712,MAX ANDERSON,DMITRI BELSER,skipped,1,3
204310,Vote by Mail - 400C,45714,MAX ANDERSON,skipped,skipped,1,3
204310,Vote by Mail - 400C,45715,DMITRI BELSER,MAX ANDERSON,skipped,1,3
204310,Vote by Mail - 400C,45716,DMITRI BELSER,skipped,skipped,1,3
204310,Vote by Mail - 400C,45717,DMITRI BELSER,MAX ANDERSON,skipped,1,3
204310,Vote by Mail - 400C,45718,MAX ANDERSON,skipped,skipped,1,3
204310,Vote by Mail - 400C,45719,MAX ANDERSON,DMITRI BELSER,skipped,1,3
204310,Vote by Mail - 400C,45720,MAX ANDERSON,skipped,skipped,1,3
