Precinct,Ballot Style,source_file,rank1,rank2,rank3,rank4,numSeats,numCands
AD: 41 ED: 048,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 048,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 048,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 048,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,skipped,skipped,1,4
AD: 41 ED: 048,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 052,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,Farah N. Louis,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Cyril F. Joseph,skipped,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,Farah N. Louis,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Cyril F. Joseph,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,writein,Cyril F. Joseph,Anthony Beckford,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 41 ED: 039,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 59 ED: 019,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,Cyril F. Joseph,skipped,1,4
AD: 59 ED: 019,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,skipped,skipped,skipped,1,4
AD: 59 ED: 019,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,skipped,skipped,1,4
AD: 41 ED: 012,DEM ABS Ballot Style 2,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 59 ED: 002,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Anthony Beckford,Cyril F. Joseph,skipped,1,4
AD: 59 ED: 002,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 002,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 002,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 002,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,writein,Cyril F. Joseph,Anthony Beckford,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,Cyril F. Joseph,Anthony Beckford,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Anthony Beckford,Farah N. Louis,skipped,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
AD: 59 ED: 004,DEM ABS Ballot Style 5,2021P3V1_ABS,Farah N. Louis,skipped,skipped,skipped,1,4
