voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
1,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
2,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
3,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
4,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
5,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
6,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
7,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
8,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
9,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
10,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
11,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
12,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
13,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
14,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
15,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
16,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
17,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
18,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
19,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
20,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
21,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
22,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
23,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
24,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
25,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
26,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
27,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
28,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
29,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
30,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
31,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
32,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
33,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
34,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
35,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
36,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
37,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
38,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
39,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
40,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
41,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
42,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
43,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
44,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
45,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
46,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
47,Tom MALONE (Ind),skipped,skipped,skipped,skipped,skipped,,6
48,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
49,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
50,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
51,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
52,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
53,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
54,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
55,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
56,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
57,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
58,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
59,Tom MALONE (Ind),Con,skipped,skipped,skipped,skipped,,6
60,Tom MALONE (Ind),Con,SNP,skipped,skipped,skipped,,6
61,Tom MALONE (Ind),Con,SNP,skipped,skipped,skipped,,6
62,Tom MALONE (Ind),Con,SNP,skipped,skipped,skipped,,6
63,Tom MALONE (Ind),Con,SNP,skipped,skipped,skipped,,6
64,Tom MALONE (Ind),Con,SNP,Peter STEVENSON (Ind),skipped,skipped,,6
65,Tom MALONE (Ind),Con,Sam COULL (Ind),skipped,skipped,skipped,,6
66,Tom MALONE (Ind),Con,Sam COULL (Ind),SNP,skipped,skipped,,6
