voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
22,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
23,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
24,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
25,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
26,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
27,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
28,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
29,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
30,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
31,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
32,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
33,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
34,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
35,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
36,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
37,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
38,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
39,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
40,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
41,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
42,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
43,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
44,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
45,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
46,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
47,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
48,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
49,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
50,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
51,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
52,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
53,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
54,Labour and Co-operative Party,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
55,Labour and Co-operative Party,Tommy STEWART (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
56,Labour and Co-operative Party,Tommy STEWART (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
57,Labour and Co-operative Party,Tommy STEWART (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
58,Labour and Co-operative Party,Tommy STEWART (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
59,Labour and Co-operative Party,Tommy STEWART (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
60,Labour and Co-operative Party,Tommy STEWART (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
61,Labour and Co-operative Party,Tommy STEWART (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
62,Labour and Co-operative Party,Tommy STEWART (Ind),LD,skipped,skipped,skipped,skipped,skipped,skipped,,9
63,Labour and Co-operative Party,Tommy STEWART (Ind),LD,skipped,skipped,skipped,skipped,skipped,skipped,,9
64,Labour and Co-operative Party,Tommy STEWART (Ind),LD,skipped,skipped,skipped,skipped,skipped,skipped,,9
65,Labour and Co-operative Party,Tommy STEWART (Ind),LD,skipped,skipped,skipped,skipped,skipped,skipped,,9
66,Labour and Co-operative Party,Tommy STEWART (Ind),LD,skipped,skipped,skipped,skipped,skipped,skipped,,9
67,Labour and Co-operative Party,Tommy STEWART (Ind),LD,skipped,skipped,skipped,skipped,skipped,skipped,,9
68,Labour and Co-operative Party,Tommy STEWART (Ind),LD,SNP,skipped,skipped,skipped,skipped,skipped,,9
69,Labour and Co-operative Party,Tommy STEWART (Ind),LD,James BOAG (Ind),skipped,skipped,skipped,skipped,skipped,,9
70,Labour and Co-operative Party,Tommy STEWART (Ind),LD,James BOAG (Ind),Grn,SNP,Mark SALMOND (Ind),Con,skipped,,9
71,Labour and Co-operative Party,Tommy STEWART (Ind),Con,skipped,skipped,skipped,skipped,skipped,skipped,,9
72,Labour and Co-operative Party,Tommy STEWART (Ind),SNP,Grn,James BOAG (Ind),Mark SALMOND (Ind),LD,Con,skipped,,9
73,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
74,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
75,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
76,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
77,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
78,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
79,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
80,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),LD,skipped,skipped,skipped,skipped,skipped,,9
81,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),LD,James BOAG (Ind),skipped,skipped,skipped,skipped,,9
82,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),LD,James BOAG (Ind),Con,Grn,SNP,skipped,,9
83,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),Con,LD,skipped,skipped,skipped,skipped,,9
84,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),James BOAG (Ind),skipped,skipped,skipped,skipped,skipped,,9
85,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),James BOAG (Ind),skipped,skipped,skipped,skipped,skipped,,9
86,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),James BOAG (Ind),skipped,skipped,skipped,skipped,skipped,,9
87,Labour and Co-operative Party,Tommy STEWART (Ind),Mark SALMOND (Ind),James BOAG (Ind),Grn,Con,LD,SNP,skipped,,9
88,Labour and Co-operative Party,Tommy STEWART (Ind),Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
89,Labour and Co-operative Party,Tommy STEWART (Ind),Grn,LD,Mark SALMOND (Ind),James BOAG (Ind),Con,SNP,skipped,,9
90,Labour and Co-operative Party,Tommy STEWART (Ind),Grn,James BOAG (Ind),LD,skipped,skipped,skipped,skipped,,9
91,Labour and Co-operative Party,Tommy STEWART (Ind),James BOAG (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
92,Labour and Co-operative Party,Tommy STEWART (Ind),James BOAG (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
93,Labour and Co-operative Party,Tommy STEWART (Ind),James BOAG (Ind),LD,skipped,skipped,skipped,skipped,skipped,,9
94,Labour and Co-operative Party,Tommy STEWART (Ind),James BOAG (Ind),LD,skipped,skipped,skipped,skipped,skipped,,9
95,Labour and Co-operative Party,Tommy STEWART (Ind),James BOAG (Ind),LD,Con,skipped,skipped,skipped,skipped,,9
