voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
16,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
18,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
19,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
20,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
21,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
22,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
23,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
24,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
25,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
26,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
27,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
28,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
29,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
30,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
31,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
32,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
33,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
34,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
35,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
36,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
37,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
38,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
39,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
40,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
41,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
42,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
43,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
44,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
45,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
46,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
47,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
48,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
49,Ashley GRACZYK (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
