voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
16,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
18,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
19,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
20,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
21,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
22,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
23,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
24,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
25,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
26,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
27,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
28,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
29,Glen David REYNOLDS (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
