voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Grn,skipped,skipped,skipped,skipped,skipped,,6
1,Grn,skipped,skipped,skipped,skipped,skipped,,6
2,Grn,skipped,skipped,skipped,skipped,skipped,,6
3,Grn,skipped,skipped,skipped,skipped,skipped,,6
4,Grn,skipped,skipped,skipped,skipped,skipped,,6
5,Grn,skipped,skipped,skipped,skipped,skipped,,6
6,Grn,skipped,skipped,skipped,skipped,skipped,,6
7,Grn,skipped,skipped,skipped,skipped,skipped,,6
8,Grn,skipped,skipped,skipped,skipped,skipped,,6
9,Grn,skipped,skipped,skipped,skipped,skipped,,6
10,Grn,skipped,skipped,skipped,skipped,skipped,,6
11,Grn,skipped,skipped,skipped,skipped,skipped,,6
12,Grn,skipped,skipped,skipped,skipped,skipped,,6
13,Grn,skipped,skipped,skipped,skipped,skipped,,6
14,Grn,skipped,skipped,skipped,skipped,skipped,,6
15,Grn,skipped,skipped,skipped,skipped,skipped,,6
16,Grn,skipped,skipped,skipped,skipped,skipped,,6
17,Grn,skipped,skipped,skipped,skipped,skipped,,6
18,Grn,skipped,skipped,skipped,skipped,skipped,,6
19,Grn,skipped,skipped,skipped,skipped,skipped,,6
20,Grn,skipped,skipped,skipped,skipped,skipped,,6
21,Grn,skipped,skipped,skipped,skipped,skipped,,6
22,Grn,skipped,skipped,skipped,skipped,skipped,,6
23,Grn,skipped,skipped,skipped,skipped,skipped,,6
24,Grn,skipped,skipped,skipped,skipped,skipped,,6
25,Grn,skipped,skipped,skipped,skipped,skipped,,6
26,Grn,skipped,skipped,skipped,skipped,skipped,,6
27,Grn,skipped,skipped,skipped,skipped,skipped,,6
28,Grn,skipped,skipped,skipped,skipped,skipped,,6
29,Grn,skipped,skipped,skipped,skipped,skipped,,6
30,Grn,skipped,skipped,skipped,skipped,skipped,,6
31,Grn,skipped,skipped,skipped,skipped,skipped,,6
32,Grn,skipped,skipped,skipped,skipped,skipped,,6
33,Grn,skipped,skipped,skipped,skipped,skipped,,6
34,Grn,skipped,skipped,skipped,skipped,skipped,,6
35,Grn,Lab,skipped,skipped,skipped,skipped,,6
36,Grn,Lab,skipped,skipped,skipped,skipped,,6
37,Grn,Lab,skipped,skipped,skipped,skipped,,6
38,Grn,Lab,skipped,skipped,skipped,skipped,,6
39,Grn,Lab,skipped,skipped,skipped,skipped,,6
40,Grn,Lab,skipped,skipped,skipped,skipped,,6
41,Grn,Lab,skipped,skipped,skipped,skipped,,6
42,Grn,Lab,skipped,skipped,skipped,skipped,,6
43,Grn,Lab,skipped,skipped,skipped,skipped,,6
44,Grn,Lab,skipped,skipped,skipped,skipped,,6
45,Grn,Lab,skipped,skipped,skipped,skipped,,6
46,Grn,Lab,skipped,skipped,skipped,skipped,,6
47,Grn,Lab,skipped,skipped,skipped,skipped,,6
48,Grn,Lab,skipped,skipped,skipped,skipped,,6
49,Grn,Lab,skipped,skipped,skipped,skipped,,6
50,Grn,Lab,skipped,skipped,skipped,skipped,,6
51,Grn,Lab,skipped,skipped,skipped,skipped,,6
52,Grn,Lab,skipped,skipped,skipped,skipped,,6
53,Grn,Lab,skipped,skipped,skipped,skipped,,6
54,Grn,Lab,skipped,skipped,skipped,skipped,,6
55,Grn,Lab,skipped,skipped,skipped,skipped,,6
56,Grn,Lab,skipped,skipped,skipped,skipped,,6
57,Grn,Lab,skipped,skipped,skipped,skipped,,6
58,Grn,Lab,skipped,skipped,skipped,skipped,,6
59,Grn,Lab,Con,LD,skipped,skipped,,6
60,Grn,Lab,SNP,skipped,skipped,skipped,,6
61,Grn,Lab,SNP,skipped,skipped,skipped,,6
62,Grn,Lab,SNP,skipped,skipped,skipped,,6
63,Grn,Lab,SNP,skipped,skipped,skipped,,6
64,Grn,Lab,SNP,skipped,skipped,skipped,,6
65,Grn,Lab,SNP,skipped,skipped,skipped,,6
66,Grn,Lab,SNP,skipped,skipped,skipped,,6
67,Grn,Lab,SNP,skipped,skipped,skipped,,6
68,Grn,Lab,SNP,skipped,skipped,skipped,,6
69,Grn,Lab,SNP,skipped,skipped,skipped,,6
70,Grn,Lab,SNP,skipped,skipped,skipped,,6
71,Grn,Lab,SNP,skipped,skipped,skipped,,6
72,Grn,Lab,SNP,skipped,skipped,skipped,,6
73,Grn,Lab,SNP,Con,SC,LD,,6
74,Grn,Lab,SNP,Con,LD,SC,,6
75,Grn,Lab,SNP,LD,Con,skipped,,6
76,Grn,Lab,SNP,LD,Con,SC,,6
77,Grn,Lab,SC,skipped,skipped,skipped,,6
78,Grn,Lab,SC,skipped,skipped,skipped,,6
79,Grn,Lab,SC,LD,Con,SNP,,6
80,Grn,Lab,LD,skipped,skipped,skipped,,6
81,Grn,Lab,LD,skipped,skipped,skipped,,6
82,Grn,Lab,LD,skipped,skipped,skipped,,6
83,Grn,Lab,LD,skipped,skipped,skipped,,6
84,Grn,Lab,LD,skipped,skipped,skipped,,6
85,Grn,Lab,LD,skipped,skipped,skipped,,6
86,Grn,Lab,LD,skipped,skipped,skipped,,6
87,Grn,Lab,LD,skipped,skipped,skipped,,6
88,Grn,Lab,LD,skipped,skipped,skipped,,6
89,Grn,Lab,LD,skipped,skipped,skipped,,6
90,Grn,Lab,LD,skipped,skipped,skipped,,6
91,Grn,Lab,LD,skipped,skipped,skipped,,6
