voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Grn,Libtn,LD,Con,skipped,skipped,skipped,skipped,skipped,,9
22,Grn,Libtn,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
23,Grn,Libtn,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
24,Grn,Libtn,Soc,LD,Lab,SNP,Con,skipped,skipped,,9
25,Grn,SNP,LD,Soc,Libtn,Lab,Con,skipped,skipped,,9
26,Grn,SNP,Con,skipped,skipped,skipped,skipped,skipped,skipped,,9
27,Grn,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
28,Grn,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
29,Grn,SNP,Lab,LD,Soc,Libtn,Con,skipped,skipped,,9
30,Grn,SNP,Lab,LD,skipped,skipped,skipped,skipped,skipped,,9
31,Grn,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
32,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
33,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
34,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
35,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
36,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
37,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
38,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
39,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
40,Grn,SNP,LD,Libtn,Lab,Soc,Con,skipped,skipped,,9
41,Grn,SNP,LD,Lab,skipped,skipped,skipped,skipped,skipped,,9
42,Grn,SNP,LD,Soc,Lab,Libtn,Con,skipped,skipped,,9
43,Grn,SNP,Lab,LD,Con,Libtn,Soc,skipped,skipped,,9
44,Grn,SNP,Lab,LD,Soc,Libtn,skipped,skipped,skipped,,9
45,Grn,SNP,Lab,Soc,LD,Libtn,Con,skipped,skipped,,9
46,Grn,SNP,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
47,Grn,SNP,Soc,Libtn,LD,Lab,Con,skipped,skipped,,9
48,Grn,SNP,Soc,LD,Lab,skipped,skipped,skipped,skipped,,9
49,Grn,SNP,Soc,Lab,LD,skipped,skipped,skipped,skipped,,9
50,Grn,SNP,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
51,Grn,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
52,Grn,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
53,Grn,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
54,Grn,LD,Libtn,skipped,skipped,skipped,skipped,skipped,skipped,,9
55,Grn,LD,Libtn,skipped,skipped,skipped,skipped,skipped,skipped,,9
56,Grn,LD,Libtn,Con,Soc,Lab,SNP,skipped,skipped,,9
57,Grn,LD,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
58,Grn,LD,SNP,Lab,skipped,skipped,skipped,skipped,skipped,,9
59,Grn,LD,SNP,Lab,Libtn,Soc,Con,skipped,skipped,,9
60,Grn,LD,Con,SNP,Lab,Soc,Libtn,skipped,skipped,,9
