voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
16,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
18,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
19,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
20,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
21,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
22,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
23,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
24,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
25,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
26,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
27,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
28,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
29,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
30,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
31,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
32,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
33,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
34,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
35,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
36,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
37,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
38,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
39,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
40,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
41,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
42,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
43,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
44,Scottish Borders,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
45,Scottish Borders,LD,skipped,skipped,skipped,skipped,skipped,skipped,,8
46,Scottish Borders,LD,skipped,skipped,skipped,skipped,skipped,skipped,,8
47,Scottish Borders,LD,skipped,skipped,skipped,skipped,skipped,skipped,,8
48,Scottish Borders,LD,skipped,skipped,skipped,skipped,skipped,skipped,,8
49,Scottish Borders,LD,skipped,skipped,skipped,skipped,skipped,skipped,,8
50,Scottish Borders,LD,skipped,skipped,skipped,skipped,skipped,skipped,,8
51,Scottish Borders,LD,skipped,skipped,skipped,skipped,skipped,skipped,,8
52,Scottish Borders,LD,Colin MCGRATH (Ind),skipped,skipped,skipped,skipped,skipped,,8
53,Scottish Borders,LD,Colin MCGRATH (Ind),SNP,Grn,Yvonne HUGGINS-HAIG (Ind),Con,skipped,,8
54,Scottish Borders,LD,Colin MCGRATH (Ind),Con,skipped,skipped,skipped,skipped,,8
55,Scottish Borders,LD,Yvonne HUGGINS-HAIG (Ind),Colin MCGRATH (Ind),Con,Grn,SNP,skipped,,8
56,Scottish Borders,LD,Yvonne HUGGINS-HAIG (Ind),Con,skipped,skipped,skipped,skipped,,8
57,Scottish Borders,LD,SNP,skipped,skipped,skipped,skipped,skipped,,8
58,Scottish Borders,LD,SNP,skipped,skipped,skipped,skipped,skipped,,8
59,Scottish Borders,LD,SNP,skipped,skipped,skipped,skipped,skipped,,8
60,Scottish Borders,LD,Con,skipped,skipped,skipped,skipped,skipped,,8
61,Scottish Borders,LD,Con,skipped,skipped,skipped,skipped,skipped,,8
62,Scottish Borders,LD,Grn,skipped,skipped,skipped,skipped,skipped,,8
63,Scottish Borders,LD,Grn,skipped,skipped,skipped,skipped,skipped,,8
64,Scottish Borders,LD,Grn,skipped,skipped,skipped,skipped,skipped,,8
65,Scottish Borders,LD,Grn,Colin MCGRATH (Ind),skipped,skipped,skipped,skipped,,8
66,Scottish Borders,LD,Grn,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,,8
67,Scottish Borders,LD,Grn,Yvonne HUGGINS-HAIG (Ind),Colin MCGRATH (Ind),Con,skipped,skipped,,8
68,Scottish Borders,LD,Grn,SNP,skipped,skipped,skipped,skipped,,8
69,Scottish Borders,LD,Grn,SNP,Colin MCGRATH (Ind),skipped,skipped,skipped,,8
70,Scottish Borders,LD,Con,Grn,skipped,skipped,skipped,skipped,,8
71,Scottish Borders,LD,Con,Grn,Yvonne HUGGINS-HAIG (Ind),Colin MCGRATH (Ind),SNP,skipped,,8
72,Scottish Borders,Colin MCGRATH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
73,Scottish Borders,Colin MCGRATH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
74,Scottish Borders,Colin MCGRATH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
75,Scottish Borders,Colin MCGRATH (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
76,Scottish Borders,Colin MCGRATH (Ind),LD,skipped,skipped,skipped,skipped,skipped,,8
77,Scottish Borders,Colin MCGRATH (Ind),LD,skipped,skipped,skipped,skipped,skipped,,8
78,Scottish Borders,Colin MCGRATH (Ind),LD,SNP,Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,,8
79,Scottish Borders,Colin MCGRATH (Ind),LD,Con,skipped,skipped,skipped,skipped,,8
80,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
81,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
82,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
83,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
84,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
85,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
86,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
87,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
88,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
89,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
90,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
91,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
92,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,,8
93,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),LD,Grn,skipped,skipped,skipped,,8
94,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),SNP,Grn,skipped,skipped,skipped,,8
95,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),SNP,Grn,LD,Con,skipped,,8
96,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),Con,skipped,skipped,skipped,skipped,,8
97,Scottish Borders,Colin MCGRATH (Ind),Yvonne HUGGINS-HAIG (Ind),Grn,LD,SNP,Con,skipped,,8
98,Scottish Borders,Colin MCGRATH (Ind),SNP,skipped,skipped,skipped,skipped,skipped,,8
99,Scottish Borders,Colin MCGRATH (Ind),SNP,skipped,skipped,skipped,skipped,skipped,,8
100,Scottish Borders,Colin MCGRATH (Ind),Grn,skipped,skipped,skipped,skipped,skipped,,8
101,Scottish Borders,Colin MCGRATH (Ind),Grn,skipped,skipped,skipped,skipped,skipped,,8
102,Scottish Borders,Colin MCGRATH (Ind),Grn,skipped,skipped,skipped,skipped,skipped,,8
103,Scottish Borders,Colin MCGRATH (Ind),Grn,SNP,Con,Yvonne HUGGINS-HAIG (Ind),LD,skipped,,8
104,Scottish Borders,Colin MCGRATH (Ind),Grn,Con,Yvonne HUGGINS-HAIG (Ind),SNP,LD,skipped,,8
105,Scottish Borders,Colin MCGRATH (Ind),Con,Yvonne HUGGINS-HAIG (Ind),Grn,LD,SNP,skipped,,8
106,Scottish Borders,Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
107,Scottish Borders,Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
108,Scottish Borders,Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
109,Scottish Borders,Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
110,Scottish Borders,Yvonne HUGGINS-HAIG (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
