voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,SC,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,SC,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,SC,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,SC,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,SC,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,SC,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,SC,Con,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,SC,Con,Lab,Marie A MCNAIR (Ind),SNP,Soc,skipped,skipped,,8
8,SC,Con,Lab,Marie A MCNAIR (Ind),Soc,skipped,skipped,skipped,,8
9,SC,Con,Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,,8
10,SC,Con,Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,,8
11,SC,Con,Marie A MCNAIR (Ind),Lab,skipped,skipped,skipped,skipped,,8
12,SC,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,SC,Lab,Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,,8
14,SC,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,8
15,SC,Lab,SNP,Marie A MCNAIR (Ind),Con,Soc,skipped,skipped,,8
16,SC,Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
17,SC,Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
18,SC,Marie A MCNAIR (Ind),Con,skipped,skipped,skipped,skipped,skipped,,8
19,SC,Marie A MCNAIR (Ind),Con,skipped,skipped,skipped,skipped,skipped,,8
20,SC,Marie A MCNAIR (Ind),Con,skipped,skipped,skipped,skipped,skipped,,8
21,SC,Marie A MCNAIR (Ind),Con,Lab,skipped,skipped,skipped,skipped,,8
22,SC,Marie A MCNAIR (Ind),Lab,skipped,skipped,skipped,skipped,skipped,,8
23,SC,Marie A MCNAIR (Ind),Lab,Con,SNP,Soc,skipped,skipped,,8
24,SC,Marie A MCNAIR (Ind),Lab,SNP,Con,Soc,skipped,skipped,,8
25,SC,Marie A MCNAIR (Ind),Lab,Soc,SNP,Con,skipped,skipped,,8
26,SC,Marie A MCNAIR (Ind),Lab,SNP,Con,Soc,skipped,skipped,,8
27,SC,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,8
28,SC,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,8
29,SC,Lab,SNP,skipped,skipped,skipped,skipped,skipped,,8
30,SC,Lab,SNP,Marie A MCNAIR (Ind),Soc,Con,skipped,skipped,,8
31,SC,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
32,SC,SNP,Con,Marie A MCNAIR (Ind),Soc,Lab,skipped,skipped,,8
33,SC,SNP,Lab,skipped,skipped,skipped,skipped,skipped,,8
34,SC,SNP,Lab,skipped,skipped,skipped,skipped,skipped,,8
35,SC,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
36,SC,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
37,SC,SNP,Marie A MCNAIR (Ind),Lab,Soc,Con,skipped,skipped,,8
38,SC,SNP,Con,skipped,skipped,skipped,skipped,skipped,,8
39,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
40,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
41,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
42,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
43,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
44,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
45,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
46,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
47,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
48,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
49,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
50,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
51,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
52,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
53,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
54,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
55,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
56,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
57,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
58,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
59,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
60,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
61,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
62,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
63,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
64,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
65,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
66,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
67,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
68,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
69,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
70,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
71,Con,SC,skipped,skipped,skipped,skipped,skipped,skipped,,8
72,Con,SC,skipped,skipped,skipped,skipped,skipped,skipped,,8
73,Con,SC,skipped,skipped,skipped,skipped,skipped,skipped,,8
74,Con,SC,Lab,skipped,skipped,skipped,skipped,skipped,,8
75,Con,SC,Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,,8
76,Con,SC,Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,,8
77,Con,SC,Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,,8
78,Con,SC,Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,,8
79,Con,SC,Marie A MCNAIR (Ind),Lab,Soc,SNP,skipped,skipped,,8
80,Con,SC,Marie A MCNAIR (Ind),SNP,Lab,Soc,skipped,skipped,,8
