voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
1,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
2,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
3,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
4,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
5,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
6,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
7,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
8,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
9,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
10,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
11,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
12,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
13,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
14,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
15,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
16,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
17,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
18,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
19,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
20,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
21,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
22,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
23,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
24,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
25,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
26,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
27,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
28,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
29,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
30,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
31,Archie THOMSON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,7
