voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
1,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
2,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
3,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
4,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
5,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
6,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
7,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
8,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
9,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
10,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
11,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
12,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
13,WDuns,skipped,skipped,skipped,skipped,skipped,skipped,,7
14,WDuns,Lab,skipped,skipped,skipped,skipped,skipped,,7
15,WDuns,Lab,SNP,skipped,skipped,skipped,skipped,,7
16,WDuns,Lab,SNP,skipped,skipped,skipped,skipped,,7
17,WDuns,Lab,skipped,skipped,skipped,skipped,skipped,,7
18,WDuns,Lab,skipped,skipped,skipped,skipped,skipped,,7
19,WDuns,Lab,skipped,skipped,skipped,skipped,skipped,,7
20,WDuns,Lab,Denis AGNEW (Ind),Con,SNP,skipped,skipped,,7
21,WDuns,Lab,Con,skipped,skipped,skipped,skipped,,7
22,WDuns,Lab,Con,SNP,Denis AGNEW (Ind),skipped,skipped,,7
23,WDuns,Lab,SNP,Con,Denis AGNEW (Ind),skipped,skipped,,7
24,WDuns,Lab,SNP,Denis AGNEW (Ind),skipped,skipped,skipped,,7
25,WDuns,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,skipped,,7
26,WDuns,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,skipped,,7
27,WDuns,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,skipped,,7
28,WDuns,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,skipped,,7
29,WDuns,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,skipped,,7
30,WDuns,Denis AGNEW (Ind),Lab,Con,skipped,skipped,skipped,,7
31,WDuns,Denis AGNEW (Ind),Lab,skipped,skipped,skipped,skipped,,7
32,WDuns,Denis AGNEW (Ind),Lab,skipped,skipped,skipped,skipped,,7
33,WDuns,Denis AGNEW (Ind),Lab,Con,skipped,skipped,skipped,,7
34,WDuns,Denis AGNEW (Ind),Lab,SNP,Con,skipped,skipped,,7
35,WDuns,Denis AGNEW (Ind),Con,skipped,skipped,skipped,skipped,,7
36,WDuns,Denis AGNEW (Ind),Con,skipped,skipped,skipped,skipped,,7
37,WDuns,Denis AGNEW (Ind),Con,skipped,skipped,skipped,skipped,,7
38,WDuns,Denis AGNEW (Ind),Con,skipped,skipped,skipped,skipped,,7
39,WDuns,Denis AGNEW (Ind),Con,skipped,skipped,skipped,skipped,,7
40,WDuns,Denis AGNEW (Ind),Con,Lab,skipped,skipped,skipped,,7
41,WDuns,Denis AGNEW (Ind),Con,Lab,SNP,skipped,skipped,,7
42,WDuns,Denis AGNEW (Ind),SNP,skipped,skipped,skipped,skipped,,7
43,WDuns,Denis AGNEW (Ind),SNP,Con,Lab,skipped,skipped,,7
44,WDuns,Denis AGNEW (Ind),SNP,Lab,Con,skipped,skipped,,7
45,WDuns,Denis AGNEW (Ind),SNP,skipped,skipped,skipped,skipped,,7
46,WDuns,Denis AGNEW (Ind),SNP,skipped,skipped,skipped,skipped,,7
47,WDuns,Denis AGNEW (Ind),SNP,skipped,skipped,skipped,skipped,,7
48,WDuns,Denis AGNEW (Ind),SNP,skipped,skipped,skipped,skipped,,7
49,WDuns,Denis AGNEW (Ind),SNP,Lab,Con,skipped,skipped,,7
50,WDuns,Denis AGNEW (Ind),Lab,skipped,skipped,skipped,skipped,,7
51,WDuns,Denis AGNEW (Ind),Lab,Con,skipped,skipped,skipped,,7
52,WDuns,Con,skipped,skipped,skipped,skipped,skipped,,7
53,WDuns,Con,Lab,skipped,skipped,skipped,skipped,,7
54,WDuns,Con,Lab,skipped,skipped,skipped,skipped,,7
55,WDuns,Con,Lab,skipped,skipped,skipped,skipped,,7
56,WDuns,Con,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,,7
57,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
58,WDuns,SNP,Lab,Denis AGNEW (Ind),skipped,skipped,skipped,,7
59,WDuns,SNP,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,,7
60,WDuns,SNP,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,,7
61,WDuns,SNP,Denis AGNEW (Ind),Con,Lab,skipped,skipped,,7
62,WDuns,SNP,Denis AGNEW (Ind),Lab,Con,skipped,skipped,,7
63,WDuns,SNP,Lab,skipped,skipped,skipped,skipped,,7
64,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
65,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
66,WDuns,SNP,Lab,skipped,skipped,skipped,skipped,,7
67,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
68,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
69,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
70,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
71,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
72,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
73,WDuns,SNP,skipped,skipped,skipped,skipped,skipped,,7
74,WDuns,SNP,Lab,Denis AGNEW (Ind),skipped,skipped,skipped,,7
75,WDuns,SNP,Lab,skipped,skipped,skipped,skipped,,7
76,WDuns,SNP,Lab,skipped,skipped,skipped,skipped,,7
77,WDuns,SNP,Lab,Denis AGNEW (Ind),skipped,skipped,skipped,,7
78,WDuns,SNP,Lab,Denis AGNEW (Ind),Con,skipped,skipped,,7
79,WDuns,SNP,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,,7
80,WDuns,SNP,Denis AGNEW (Ind),Lab,Con,skipped,skipped,,7
81,WDuns,SNP,Denis AGNEW (Ind),Con,Lab,skipped,skipped,,7
82,WDuns,Lab,skipped,skipped,skipped,skipped,skipped,,7
83,WDuns,Lab,Denis AGNEW (Ind),skipped,skipped,skipped,skipped,,7
84,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
85,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
86,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
87,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
88,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
89,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
90,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
91,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
92,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
93,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
94,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
95,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
96,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
97,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
98,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,7
