voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Jim HAY (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Jim HAY (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Jim HAY (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Jim HAY (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Jim HAY (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Jim HAY (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Jim HAY (LD),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Jim HAY (LD),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Jim HAY (LD),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Jim HAY (LD),Darren LEE (Con),Craig MILLER (Lab),Thomas Joshua HARRISON (Ind),skipped,skipped,skipped,skipped,,8
10,Jim HAY (LD),Craig MILLER (Lab),Les SHARP (SNP),Thomas Joshua HARRISON (Ind),Darren LEE (Con),skipped,skipped,skipped,,8
11,Jim HAY (LD),Craig MILLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Jim HAY (LD),Craig MILLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Jim HAY (LD),Craig MILLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Jim HAY (LD),Craig MILLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Jim HAY (LD),Craig MILLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
16,Jim HAY (LD),Craig MILLER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Jim HAY (LD),Craig MILLER (Lab),Darren LEE (Con),Cara QUINN (Grn),Les SHARP (SNP),skipped,skipped,skipped,,8
18,Jim HAY (LD),Craig MILLER (Lab),Les SHARP (SNP),Cara QUINN (Grn),Thomas Joshua HARRISON (Ind),Darren LEE (Con),skipped,skipped,,8
19,Jim HAY (LD),Craig MILLER (Lab),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,,8
20,Jim HAY (LD),Craig MILLER (Lab),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,,8
21,Jim HAY (LD),Craig MILLER (Lab),Les SHARP (SNP),skipped,skipped,skipped,skipped,skipped,,8
22,Jim HAY (LD),Cara QUINN (Grn),Les SHARP (SNP),Darren LEE (Con),Craig MILLER (Lab),Thomas Joshua HARRISON (Ind),skipped,skipped,,8
23,Jim HAY (LD),Darren LEE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
24,Jim HAY (LD),Darren LEE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
25,Jim HAY (LD),Darren LEE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
26,Jim HAY (LD),Darren LEE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
27,Jim HAY (LD),Darren LEE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
28,Jim HAY (LD),Darren LEE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
29,Jim HAY (LD),Darren LEE (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
30,Jim HAY (LD),Darren LEE (Con),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,,8
31,Jim HAY (LD),Darren LEE (Con),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,,8
32,Jim HAY (LD),Darren LEE (Con),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,,8
33,Jim HAY (LD),Darren LEE (Con),Cara QUINN (Grn),Craig MILLER (Lab),Les SHARP (SNP),Thomas Joshua HARRISON (Ind),skipped,skipped,,8
34,Jim HAY (LD),Darren LEE (Con),Craig MILLER (Lab),Cara QUINN (Grn),Thomas Joshua HARRISON (Ind),Les SHARP (SNP),skipped,skipped,,8
35,Jim HAY (LD),Darren LEE (Con),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,,8
36,Jim HAY (LD),Darren LEE (Con),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,,8
37,Jim HAY (LD),Darren LEE (Con),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,,8
38,Jim HAY (LD),Darren LEE (Con),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,,8
39,Jim HAY (LD),Darren LEE (Con),Cara QUINN (Grn),Thomas Joshua HARRISON (Ind),skipped,skipped,skipped,skipped,,8
40,Jim HAY (LD),Darren LEE (Con),Cara QUINN (Grn),Thomas Joshua HARRISON (Ind),skipped,skipped,skipped,skipped,,8
41,Jim HAY (LD),Darren LEE (Con),Cara QUINN (Grn),Thomas Joshua HARRISON (Ind),George MATCHETT (Lab),Tina Margaret MURPHY (SNP),skipped,skipped,,8
42,Jim HAY (LD),Darren LEE (Con),Thomas Joshua HARRISON (Ind),Craig MILLER (Lab),Cara QUINN (Grn),Tina Margaret MURPHY (SNP),skipped,skipped,,8
43,Jim HAY (LD),Darren LEE (Con),Les SHARP (SNP),skipped,skipped,skipped,skipped,skipped,,8
44,Jim HAY (LD),Darren LEE (Con),Tina Margaret MURPHY (SNP),Cara QUINN (Grn),Thomas Joshua HARRISON (Ind),Craig MILLER (Lab),skipped,skipped,,8
45,Jim HAY (LD),Cara QUINN (Grn),Darren LEE (Con),George MATCHETT (Lab),Les SHARP (SNP),skipped,skipped,skipped,,8
46,Jim HAY (LD),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
47,Jim HAY (LD),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
48,Jim HAY (LD),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
49,Jim HAY (LD),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
50,Jim HAY (LD),George MATCHETT (Lab),Darren LEE (Con),Thomas Joshua HARRISON (Ind),Cara QUINN (Grn),skipped,skipped,skipped,,8
51,Jim HAY (LD),George MATCHETT (Lab),Les SHARP (SNP),skipped,skipped,skipped,skipped,skipped,,8
52,Jim HAY (LD),Craig MILLER (Lab),Cara QUINN (Grn),Darren LEE (Con),Thomas Joshua HARRISON (Ind),skipped,skipped,skipped,,8
53,Jim HAY (LD),Craig MILLER (Lab),Les SHARP (SNP),skipped,skipped,skipped,skipped,skipped,,8
54,Jim HAY (LD),Craig MILLER (Lab),Les SHARP (SNP),skipped,skipped,skipped,skipped,skipped,,8
55,Jim HAY (LD),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
56,Jim HAY (LD),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
57,Jim HAY (LD),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
58,Jim HAY (LD),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
59,Jim HAY (LD),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
60,Jim HAY (LD),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
61,Jim HAY (LD),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
62,Jim HAY (LD),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
63,Jim HAY (LD),Cara QUINN (Grn),skipped,skipped,skipped,skipped,skipped,skipped,,8
64,Jim HAY (LD),Cara QUINN (Grn),George MATCHETT (Lab),skipped,skipped,skipped,skipped,skipped,,8
65,Jim HAY (LD),Cara QUINN (Grn),Craig MILLER (Lab),skipped,skipped,skipped,skipped,skipped,,8
66,Jim HAY (LD),Cara QUINN (Grn),Darren LEE (Con),skipped,skipped,skipped,skipped,skipped,,8
67,Jim HAY (LD),Cara QUINN (Grn),Darren LEE (Con),skipped,skipped,skipped,skipped,skipped,,8
68,Jim HAY (LD),Cara QUINN (Grn),Darren LEE (Con),George MATCHETT (Lab),Thomas Joshua HARRISON (Ind),Les SHARP (SNP),skipped,skipped,,8
69,Jim HAY (LD),Cara QUINN (Grn),Thomas Joshua HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,8
70,Jim HAY (LD),Cara QUINN (Grn),Thomas Joshua HARRISON (Ind),Darren LEE (Con),skipped,skipped,skipped,skipped,,8
71,Jim HAY (LD),Cara QUINN (Grn),Thomas Joshua HARRISON (Ind),Les SHARP (SNP),Craig MILLER (Lab),Darren LEE (Con),skipped,skipped,,8
