voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
22,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
23,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
24,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
25,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
26,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
27,Alba,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
28,Alba,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
29,Alba,Con,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
30,Alba,Con,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
31,Alba,Con,SNP,LD,Grn,Soc,Lab,skipped,skipped,,9
32,Alba,Con,LD,Grn,SNP,skipped,skipped,skipped,skipped,,9
33,Alba,Con,LD,SNP,Lab,Grn,Soc,skipped,skipped,,9
34,Alba,Con,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
35,Alba,Con,Grn,LD,Lab,SNP,Soc,skipped,skipped,,9
36,Alba,Con,SNP,Grn,LD,Soc,Lab,skipped,skipped,,9
37,Alba,Lab,Con,skipped,skipped,skipped,skipped,skipped,skipped,,9
38,Alba,Lab,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
39,Alba,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
40,Alba,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
41,Alba,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,,9
42,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
43,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
44,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
45,Alba,Lab,Soc,LD,SNP,Grn,Con,skipped,skipped,,9
46,Alba,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,,9
47,Alba,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
48,Alba,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
49,Alba,Lab,SNP,LD,skipped,skipped,skipped,skipped,skipped,,9
50,Alba,Soc,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
51,Alba,Soc,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
52,Alba,Soc,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
53,Alba,Soc,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
54,Alba,Soc,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
55,Alba,Soc,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
56,Alba,Soc,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
57,Alba,Soc,Grn,Lab,LD,SNP,Con,skipped,skipped,,9
58,Alba,Soc,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
59,Alba,Soc,SNP,Grn,skipped,skipped,skipped,skipped,skipped,,9
60,Alba,Soc,SNP,Grn,skipped,skipped,skipped,skipped,skipped,,9
61,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
62,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
63,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
64,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
65,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
66,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
67,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
68,Alba,SNP,Con,LD,Grn,Soc,Lab,skipped,skipped,,9
69,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
70,Alba,SNP,Soc,Grn,Lab,LD,Con,skipped,skipped,,9
71,Alba,SNP,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
72,Alba,SNP,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
73,Alba,SNP,Grn,Soc,LD,Lab,Con,skipped,skipped,,9
74,Alba,LD,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
75,Alba,LD,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
76,Alba,LD,Lab,Soc,Con,SNP,skipped,skipped,skipped,,9
77,Alba,LD,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
78,Alba,LD,Soc,Grn,skipped,skipped,skipped,skipped,skipped,,9
79,Alba,LD,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
80,Alba,LD,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
81,Alba,LD,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
82,Alba,LD,Grn,Soc,Con,SNP,Lab,skipped,skipped,,9
83,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
84,Alba,Lab,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
85,Alba,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
86,Alba,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
87,Alba,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
88,Alba,SNP,Lab,LD,Con,Grn,Soc,skipped,skipped,,9
89,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
90,Alba,Grn,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
91,Alba,Grn,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
92,Alba,Grn,Soc,LD,skipped,skipped,skipped,skipped,skipped,,9
93,Alba,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
94,Alba,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
95,Alba,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
96,Alba,Grn,SNP,Soc,skipped,skipped,skipped,skipped,skipped,,9
97,Alba,Grn,SNP,LD,skipped,skipped,skipped,skipped,skipped,,9
98,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
99,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
100,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
101,Alba,Con,LD,SNP,Grn,Soc,Lab,skipped,skipped,,9
102,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
103,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
104,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
105,Alba,SNP,Soc,skipped,skipped,skipped,skipped,skipped,skipped,,9
106,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
107,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
108,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
109,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
110,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
111,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
112,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
113,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
114,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
115,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
116,Alba,SNP,Con,LD,Grn,Soc,Lab,skipped,skipped,,9
117,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
