voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
16,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
18,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
19,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
20,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
21,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
22,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
23,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
24,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
25,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
26,Iain Archie MACNEIL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
27,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
28,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),SNP,skipped,skipped,skipped,skipped,skipped,,8
29,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),SNP,David BLANEY (Ind),skipped,skipped,skipped,skipped,,8
30,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Donnie STEELE (Ind),Paul Francis STEELE (Ind),David BLANEY (Ind),Gerry MACLEOD (Ind),SNP,skipped,,8
31,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),SNP,skipped,skipped,skipped,skipped,skipped,,8
32,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),SNP,skipped,skipped,skipped,skipped,skipped,,8
33,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),SNP,skipped,skipped,skipped,skipped,skipped,,8
34,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),SNP,Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,,8
35,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Donnie STEELE (Ind),Paul Francis STEELE (Ind),Gerry MACLEOD (Ind),SNP,David BLANEY (Ind),skipped,,8
36,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Gerry MACLEOD (Ind),Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,,8
37,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,skipped,,8
38,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Paul Francis STEELE (Ind),David BLANEY (Ind),Donnie STEELE (Ind),Gerry MACLEOD (Ind),SNP,skipped,,8
39,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Paul Francis STEELE (Ind),Gerry MACLEOD (Ind),Donnie STEELE (Ind),David BLANEY (Ind),SNP,skipped,,8
40,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Paul Francis STEELE (Ind),Donnie STEELE (Ind),skipped,skipped,skipped,skipped,,8
41,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Paul Francis STEELE (Ind),Donnie STEELE (Ind),skipped,skipped,skipped,skipped,,8
42,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Donnie STEELE (Ind),skipped,skipped,skipped,skipped,skipped,,8
43,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Donnie STEELE (Ind),David BLANEY (Ind),skipped,skipped,skipped,skipped,,8
44,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Donnie STEELE (Ind),SNP,Paul Francis STEELE (Ind),skipped,skipped,skipped,,8
45,Iain Archie MACNEIL (Ind),Ronald Joseph MACKINNON (Ind),Donnie STEELE (Ind),Paul Francis STEELE (Ind),Gerry MACLEOD (Ind),David BLANEY (Ind),skipped,skipped,,8
46,Iain Archie MACNEIL (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
47,Iain Archie MACNEIL (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
48,Iain Archie MACNEIL (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
49,Iain Archie MACNEIL (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
50,Iain Archie MACNEIL (Ind),SNP,Ronald Joseph MACKINNON (Ind),Donnie STEELE (Ind),skipped,skipped,skipped,skipped,,8
51,Iain Archie MACNEIL (Ind),SNP,David BLANEY (Ind),skipped,skipped,skipped,skipped,skipped,,8
52,Iain Archie MACNEIL (Ind),David BLANEY (Ind),SNP,skipped,skipped,skipped,skipped,skipped,,8
53,Iain Archie MACNEIL (Ind),David BLANEY (Ind),SNP,Paul Francis STEELE (Ind),Donnie STEELE (Ind),Ronald Joseph MACKINNON (Ind),Gerry MACLEOD (Ind),skipped,,8
54,Iain Archie MACNEIL (Ind),David BLANEY (Ind),SNP,Paul Francis STEELE (Ind),Donnie STEELE (Ind),Gerry MACLEOD (Ind),Ronald Joseph MACKINNON (Ind),skipped,,8
55,Iain Archie MACNEIL (Ind),SNP,David BLANEY (Ind),Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,,8
56,Iain Archie MACNEIL (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
57,Iain Archie MACNEIL (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
58,Iain Archie MACNEIL (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
59,Iain Archie MACNEIL (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
60,Iain Archie MACNEIL (Ind),SNP,Ronald Joseph MACKINNON (Ind),Donnie STEELE (Ind),Gerry MACLEOD (Ind),Paul Francis STEELE (Ind),David BLANEY (Ind),skipped,,8
61,Iain Archie MACNEIL (Ind),SNP,David BLANEY (Ind),skipped,skipped,skipped,skipped,skipped,,8
62,Iain Archie MACNEIL (Ind),SNP,David BLANEY (Ind),skipped,skipped,skipped,skipped,skipped,,8
63,Iain Archie MACNEIL (Ind),SNP,Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,skipped,,8
64,Iain Archie MACNEIL (Ind),SNP,Gerry MACLEOD (Ind),skipped,skipped,skipped,skipped,skipped,,8
65,Iain Archie MACNEIL (Ind),SNP,Gerry MACLEOD (Ind),Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,,8
66,Iain Archie MACNEIL (Ind),SNP,Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,skipped,,8
67,Iain Archie MACNEIL (Ind),SNP,Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,skipped,,8
68,Iain Archie MACNEIL (Ind),David BLANEY (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
69,Iain Archie MACNEIL (Ind),David BLANEY (Ind),Ronald Joseph MACKINNON (Ind),skipped,skipped,skipped,skipped,skipped,,8
70,Iain Archie MACNEIL (Ind),David BLANEY (Ind),Ronald Joseph MACKINNON (Ind),skipped,skipped,skipped,skipped,skipped,,8
71,Iain Archie MACNEIL (Ind),David BLANEY (Ind),Ronald Joseph MACKINNON (Ind),skipped,skipped,skipped,skipped,skipped,,8
72,Iain Archie MACNEIL (Ind),David BLANEY (Ind),Ronald Joseph MACKINNON (Ind),Donnie STEELE (Ind),Paul Francis STEELE (Ind),Gerry MACLEOD (Ind),SNP,skipped,,8
73,Iain Archie MACNEIL (Ind),David BLANEY (Ind),SNP,skipped,skipped,skipped,skipped,skipped,,8
74,Iain Archie MACNEIL (Ind),David BLANEY (Ind),SNP,skipped,skipped,skipped,skipped,skipped,,8
75,Iain Archie MACNEIL (Ind),David BLANEY (Ind),Gerry MACLEOD (Ind),skipped,skipped,skipped,skipped,skipped,,8
76,Iain Archie MACNEIL (Ind),David BLANEY (Ind),Gerry MACLEOD (Ind),skipped,skipped,skipped,skipped,skipped,,8
77,Iain Archie MACNEIL (Ind),David BLANEY (Ind),Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,skipped,,8
78,Iain Archie MACNEIL (Ind),David BLANEY (Ind),Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,skipped,,8
79,Iain Archie MACNEIL (Ind),David BLANEY (Ind),Paul Francis STEELE (Ind),skipped,skipped,skipped,skipped,skipped,,8
