voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
1,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
2,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
3,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
4,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
5,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
6,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
7,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
8,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
9,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
10,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
11,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
12,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
13,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
14,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
15,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
16,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
17,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
18,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
19,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
20,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
21,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
22,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
23,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
24,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
25,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
26,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
27,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
28,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
29,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
30,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
31,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
32,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
33,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
34,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
35,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
36,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
37,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
38,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
39,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
40,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
41,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
42,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
43,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
44,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
45,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
46,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
47,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
48,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
49,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
50,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
51,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
52,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
53,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
54,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
55,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
56,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
57,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
58,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
59,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
60,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
61,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
62,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
63,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
64,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
65,Ann RITCHIE (SNP),skipped,skipped,skipped,skipped,skipped,,6
