voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,LD,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,LD,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,LD,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,LD,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,LD,Grn,Matthew RITCHIE (Ind),Lab,SNP,Con,Marie PENMAN (Ind),skipped,skipped,,9
17,LD,Grn,Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
18,LD,Grn,Marie PENMAN (Ind),Lab,SNP,skipped,skipped,skipped,skipped,,9
19,LD,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,LD,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,LD,Grn,SNP,Lab,Con,Marie PENMAN (Ind),Matthew RITCHIE (Ind),skipped,skipped,,9
22,LD,Grn,SNP,Marie PENMAN (Ind),Matthew RITCHIE (Ind),Lab,Con,skipped,skipped,,9
23,LD,Grn,Lab,skipped,skipped,skipped,skipped,skipped,skipped,,9
24,LD,Matthew RITCHIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
25,LD,Matthew RITCHIE (Ind),Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
26,LD,Matthew RITCHIE (Ind),Con,skipped,skipped,skipped,skipped,skipped,skipped,,9
27,LD,Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
28,LD,Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
29,LD,Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
30,LD,Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
31,LD,Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
32,LD,Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
33,LD,Marie PENMAN (Ind),Grn,skipped,skipped,skipped,skipped,skipped,skipped,,9
34,LD,Marie PENMAN (Ind),Matthew RITCHIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
