voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
1,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
2,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
3,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
4,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
5,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
6,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
7,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
8,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
9,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
10,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
11,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
12,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
13,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
14,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
15,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
16,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
17,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
18,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
19,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
20,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
21,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
22,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
23,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
24,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
25,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
26,Mags MURPHY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,7
27,Mags MURPHY (SNP),Charlie CEFFERTY (Ind),skipped,skipped,skipped,skipped,skipped,,7
28,Mags MURPHY (SNP),Charlie CEFFERTY (Ind),skipped,skipped,skipped,skipped,skipped,,7
29,Mags MURPHY (SNP),Charlie CEFFERTY (Ind),skipped,skipped,skipped,skipped,skipped,,7
30,Mags MURPHY (SNP),Charlie CEFFERTY (Ind),skipped,skipped,skipped,skipped,skipped,,7
31,Mags MURPHY (SNP),Charlie CEFFERTY (Ind),Sandy THORNTON (Con),skipped,skipped,skipped,skipped,,7
32,Mags MURPHY (SNP),Charlie CEFFERTY (Ind),Sandy THORNTON (Con),Kenneth STEVENSON (Lab),skipped,skipped,skipped,,7
33,Mags MURPHY (SNP),Charlie CEFFERTY (Ind),Martin MCCULLOCH (Lab),skipped,skipped,skipped,skipped,,7
34,Mags MURPHY (SNP),Charlie CEFFERTY (Ind),Martin MCCULLOCH (Lab),skipped,skipped,skipped,skipped,,7
35,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),Kenneth STEVENSON (Lab),Sandy THORNTON (Con),Jeffrey MCDONALD (NRMUPB) (UNKNOWN),skipped,skipped,,7
36,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),skipped,skipped,skipped,skipped,skipped,,7
37,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),skipped,skipped,skipped,skipped,skipped,,7
38,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),skipped,skipped,skipped,skipped,skipped,,7
39,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),skipped,skipped,skipped,skipped,skipped,,7
40,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),skipped,skipped,skipped,skipped,skipped,,7
41,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),skipped,skipped,skipped,skipped,skipped,,7
42,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),skipped,skipped,skipped,skipped,skipped,,7
43,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),Kenneth STEVENSON (Lab),skipped,skipped,skipped,skipped,,7
44,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),Kenneth STEVENSON (Lab),Jeffrey MCDONALD (NRMUPB) (UNKNOWN),Sandy THORNTON (Con),skipped,skipped,,7
45,Charlie CEFFERTY (Ind),Tommy COCHRANE (SNP),Kenneth STEVENSON (Lab),Jeffrey MCDONALD (NRMUPB) (UNKNOWN),Sandy THORNTON (Con),skipped,skipped,,7
46,Mags MURPHY (SNP),Sandy THORNTON (Con),skipped,skipped,skipped,skipped,skipped,,7
