voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
1,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
2,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
3,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
4,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
5,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
6,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
7,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
8,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
9,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
10,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
11,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
12,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
13,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
14,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
15,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
16,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
17,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
18,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
19,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
20,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
21,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
22,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
23,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
24,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
25,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
26,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
27,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
28,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
29,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
30,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
31,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
32,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
33,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
34,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
35,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
36,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
37,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
38,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
39,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
40,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
41,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
42,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
43,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
44,Paul KELLY (Lab),skipped,skipped,skipped,skipped,skipped,,6
