voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
1,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
2,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
3,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
4,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
5,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
6,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
7,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
8,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
9,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
10,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
11,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
12,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
13,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
14,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
15,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
16,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
17,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
18,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
19,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
20,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
21,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
22,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
23,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
24,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
25,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
26,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
27,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
28,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
29,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
30,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
31,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
32,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
33,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
34,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
35,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
36,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
37,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
38,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
39,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
40,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
41,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
42,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
43,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
44,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
45,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
46,Kirsten ROPER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
