voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
16,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Denise SOMMERVILLE (Alba),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
18,Denise SOMMERVILLE (Alba),Andrew RUSSELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
19,Denise SOMMERVILLE (Alba),Andrew RUSSELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
20,Denise SOMMERVILLE (Alba),Andrew RUSSELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
21,Denise SOMMERVILLE (Alba),Andrew RUSSELL (Ind),Mason GRAHAM (LD),Ian CAVANA (Lab),David PATERSON (Con),Laura BRENNAN-WHITEFIELD (SNP),skipped,skipped,,8
