voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
1,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
2,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
3,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
4,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
5,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
6,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
7,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
8,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
9,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
10,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
11,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
12,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
13,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
14,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
15,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
16,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
17,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
18,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
19,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
20,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
21,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
22,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
23,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
24,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
25,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
26,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
27,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
28,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
29,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
30,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
31,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
32,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
33,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
34,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
35,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
36,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
37,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
38,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
39,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
40,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
41,Gordon HARRISON (Ind),skipped,skipped,skipped,skipped,skipped,,6
42,Gordon HARRISON (Ind),Con,skipped,skipped,skipped,skipped,,6
43,Gordon HARRISON (Ind),Con,skipped,skipped,skipped,skipped,,6
44,Gordon HARRISON (Ind),Con,skipped,skipped,skipped,skipped,,6
45,Gordon HARRISON (Ind),Con,skipped,skipped,skipped,skipped,,6
46,Gordon HARRISON (Ind),Con,skipped,skipped,skipped,skipped,,6
47,Gordon HARRISON (Ind),Con,Scottish Borders,skipped,skipped,skipped,,6
48,Gordon HARRISON (Ind),Con,Scottish Borders,skipped,skipped,skipped,,6
49,Gordon HARRISON (Ind),Con,Scottish Borders,skipped,skipped,skipped,,6
50,Gordon HARRISON (Ind),Con,Scottish Borders,skipped,skipped,skipped,,6
51,Gordon HARRISON (Ind),Con,Scottish Borders,skipped,skipped,skipped,,6
52,Gordon HARRISON (Ind),Con,Scottish Borders,skipped,skipped,skipped,,6
53,Gordon HARRISON (Ind),Con,Scottish Borders,Gordon EDGAR (Ind),skipped,skipped,,6
54,Gordon HARRISON (Ind),Con,Scottish Borders,LD,skipped,skipped,,6
55,Gordon HARRISON (Ind),Con,Scottish Borders,LD,Gordon EDGAR (Ind),SNP,,6
56,Gordon HARRISON (Ind),Con,Scottish Borders,LD,Gordon EDGAR (Ind),SNP,,6
57,Gordon HARRISON (Ind),Con,Scottish Borders,LD,Gordon EDGAR (Ind),SNP,,6
58,Gordon HARRISON (Ind),Con,SNP,skipped,skipped,skipped,,6
59,Gordon HARRISON (Ind),Con,SNP,skipped,skipped,skipped,,6
60,Gordon HARRISON (Ind),Con,SNP,LD,Gordon EDGAR (Ind),skipped,,6
