voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
1,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
2,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
3,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
4,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
5,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
6,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
7,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
8,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
9,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
10,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
11,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
12,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
13,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
14,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
15,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
16,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
17,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
18,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
19,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
20,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
21,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
22,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
23,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
24,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
25,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
26,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
27,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
28,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
29,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
30,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
31,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
32,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
33,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
34,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
35,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
36,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
37,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
38,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
39,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
40,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
41,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
42,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
43,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
44,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
45,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
46,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
47,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
48,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
49,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
50,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
51,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
52,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
53,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
54,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
55,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
56,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
57,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
58,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
59,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
60,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
61,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
62,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
63,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
64,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
65,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
66,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
67,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
68,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
69,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
70,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
71,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
72,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
73,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
74,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
75,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
76,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
77,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
78,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
79,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
80,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
81,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
82,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
83,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
84,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
85,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
86,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
87,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
88,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
89,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
90,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
91,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
92,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
93,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
94,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
95,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
96,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
97,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
98,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
99,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
100,Neil MURRAY (UNKNOWN),skipped,skipped,skipped,skipped,skipped,skipped,,7
