voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Alba,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Alba,Con,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Alba,Con,skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Alba,Con,Lab,LD,Grn,SNP,skipped,skipped,,8
15,Alba,LD,Con,Grn,Lab,SNP,skipped,skipped,,8
16,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Alba,SNP,Grn,skipped,skipped,skipped,skipped,skipped,,8
18,Alba,SNP,Grn,skipped,skipped,skipped,skipped,skipped,,8
19,Alba,SNP,Grn,skipped,skipped,skipped,skipped,skipped,,8
20,Alba,SNP,Grn,LD,Lab,Con,skipped,skipped,,8
21,Alba,SNP,Grn,LD,Lab,Con,skipped,skipped,,8
22,Alba,SNP,Grn,LD,Lab,Con,skipped,skipped,,8
23,Alba,SNP,Grn,Lab,LD,Con,skipped,skipped,,8
24,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,,8
25,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,,8
26,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,,8
27,Alba,SNP,Grn,skipped,skipped,skipped,skipped,skipped,,8
28,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
29,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
30,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
31,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
32,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
33,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
34,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
35,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
36,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
37,Alba,SNP,skipped,skipped,skipped,skipped,skipped,skipped,,8
38,Alba,SNP,Con,skipped,skipped,skipped,skipped,skipped,,8
39,Alba,SNP,Con,skipped,skipped,skipped,skipped,skipped,,8
40,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,,8
41,Alba,SNP,Lab,Con,Grn,LD,skipped,skipped,,8
42,Alba,SNP,Grn,LD,Lab,Con,skipped,skipped,,8
43,Alba,SNP,Grn,LD,Lab,Con,skipped,skipped,,8
44,Alba,SNP,Grn,LD,Lab,Con,skipped,skipped,,8
45,Alba,SNP,Lab,skipped,skipped,skipped,skipped,skipped,,8
46,Alba,Lab,Grn,SNP,skipped,skipped,skipped,skipped,,8
47,Alba,Grn,SNP,LD,Con,Lab,skipped,skipped,,8
48,Alba,SNP,Lab,Con,Grn,LD,skipped,skipped,,8
49,Alba,Lab,Con,skipped,skipped,skipped,skipped,skipped,,8
50,Alba,LD,Lab,skipped,skipped,skipped,skipped,skipped,,8
51,Alba,Lab,SNP,skipped,skipped,skipped,skipped,skipped,,8
52,Alba,Lab,SNP,skipped,skipped,skipped,skipped,skipped,,8
53,Alba,Lab,SNP,skipped,skipped,skipped,skipped,skipped,,8
54,Alba,Grn,LD,Lab,Con,SNP,skipped,skipped,,8
55,Alba,Grn,Con,LD,Lab,SNP,skipped,skipped,,8
56,Alba,Grn,LD,skipped,skipped,skipped,skipped,skipped,,8
