voterId,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
0,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
1,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
2,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
3,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
4,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
5,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
6,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
7,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
8,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
9,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
10,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
11,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
12,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
13,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
14,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
15,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
16,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
17,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
18,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
19,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
20,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
21,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
22,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
23,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
24,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
25,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
26,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
27,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
28,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
29,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
30,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
31,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
32,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
33,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
34,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
35,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
36,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
37,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
38,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
39,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
40,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
41,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
42,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
43,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
44,Eric PAGE (Grn),skipped,skipped,skipped,skipped,,5
45,Eric PAGE (Grn),Julie RICKARDS (Ind),skipped,skipped,skipped,,5
46,Eric PAGE (Grn),Julie RICKARDS (Ind),skipped,skipped,skipped,,5
