voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
1,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
2,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
3,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
4,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
5,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
6,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
7,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
8,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
9,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
10,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
11,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
12,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
13,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
14,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
15,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
16,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
17,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
18,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
19,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
20,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
21,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
22,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
23,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
24,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
25,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
26,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
27,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
28,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
29,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
30,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
31,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
32,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
33,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
34,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
35,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
36,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
37,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
38,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
39,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
40,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
41,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
42,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
43,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
44,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
45,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
46,David George SMITH (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
47,David George SMITH (Lab),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,skipped,,7
48,David George SMITH (Lab),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,skipped,,7
49,David George SMITH (Lab),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,skipped,,7
50,David George SMITH (Lab),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,skipped,,7
51,David George SMITH (Lab),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,skipped,,7
52,David George SMITH (Lab),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,skipped,,7
53,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,,7
54,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,,7
55,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,,7
56,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,,7
57,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,,7
58,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,,7
59,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,,7
60,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,,7
61,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,,7
62,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),Yvonne HUGGINS-HAIG (LD),Hamish GOLDIE-SCOT (SFP),John GREENWELL (Con),skipped,,7
63,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),Yvonne HUGGINS-HAIG (LD),Hamish GOLDIE-SCOT (SFP),John GREENWELL (Con),skipped,,7
64,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),Yvonne HUGGINS-HAIG (LD),Hamish GOLDIE-SCOT (SFP),John GREENWELL (Con),skipped,,7
65,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),Yvonne HUGGINS-HAIG (LD),John GREENWELL (Con),Hamish GOLDIE-SCOT (SFP),skipped,,7
66,David George SMITH (Lab),Donald MOFFAT (SNP),Gail JACKSON (Grn),Yvonne HUGGINS-HAIG (LD),Hamish GOLDIE-SCOT (SFP),John GREENWELL (Con),skipped,,7
67,David George SMITH (Lab),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,skipped,,7
68,David George SMITH (Lab),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,skipped,,7
69,David George SMITH (Lab),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,skipped,,7
70,David George SMITH (Lab),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,skipped,,7
71,David George SMITH (Lab),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),Gail JACKSON (Grn),skipped,skipped,skipped,,7
72,David George SMITH (Lab),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),Gail JACKSON (Grn),skipped,skipped,skipped,,7
73,David George SMITH (Lab),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),Gail JACKSON (Grn),Hamish GOLDIE-SCOT (SFP),John GREENWELL (Con),skipped,,7
74,David George SMITH (Lab),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),Hamish GOLDIE-SCOT (SFP),John GREENWELL (Con),Gail JACKSON (Grn),skipped,,7
75,David George SMITH (Lab),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,skipped,,7
76,David George SMITH (Lab),Donald MOFFAT (SNP),John GREENWELL (Con),Gail JACKSON (Grn),skipped,skipped,skipped,,7
77,David George SMITH (Lab),Donald MOFFAT (SNP),Hamish GOLDIE-SCOT (SFP),skipped,skipped,skipped,skipped,,7
78,David George SMITH (Lab),Donald MOFFAT (SNP),Hamish GOLDIE-SCOT (SFP),skipped,skipped,skipped,skipped,,7
79,David George SMITH (Lab),Donald MOFFAT (SNP),Hamish GOLDIE-SCOT (SFP),skipped,skipped,skipped,skipped,,7
80,David George SMITH (Lab),Donald MOFFAT (SNP),Hamish GOLDIE-SCOT (SFP),Yvonne HUGGINS-HAIG (LD),Gail JACKSON (Grn),John GREENWELL (Con),skipped,,7
81,David George SMITH (Lab),Donald MOFFAT (SNP),John GREENWELL (Con),skipped,skipped,skipped,skipped,,7
82,David George SMITH (Lab),Donald MOFFAT (SNP),John GREENWELL (Con),skipped,skipped,skipped,skipped,,7
83,David George SMITH (Lab),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,skipped,,7
84,David George SMITH (Lab),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,skipped,,7
85,David George SMITH (Lab),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,skipped,,7
86,David George SMITH (Lab),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,skipped,,7
87,David George SMITH (Lab),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,skipped,,7
88,David George SMITH (Lab),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,skipped,,7
89,David George SMITH (Lab),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,skipped,,7
90,David George SMITH (Lab),Gail JACKSON (Grn),skipped,skipped,skipped,skipped,skipped,,7
91,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,,7
92,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,,7
93,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,,7
94,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,,7
95,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,,7
96,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,,7
97,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),skipped,skipped,skipped,skipped,,7
98,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,,7
99,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,,7
100,David George SMITH (Lab),Gail JACKSON (Grn),Donald MOFFAT (SNP),Yvonne HUGGINS-HAIG (LD),skipped,skipped,skipped,,7
