voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
1,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
2,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
3,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
4,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
5,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
6,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
7,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
8,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
9,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
10,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
11,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
12,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
13,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
14,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
15,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
16,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
17,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
18,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
19,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
20,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
21,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
22,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
23,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
24,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
25,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
26,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
27,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
28,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
29,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
30,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
31,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
32,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
33,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
34,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
35,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
36,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
37,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
38,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
39,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
40,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
41,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
42,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
43,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
44,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
45,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
46,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
47,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
48,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
49,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
50,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
51,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
52,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
53,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
54,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
55,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
56,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
57,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
58,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
59,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
60,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
61,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
62,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
63,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
64,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
65,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
66,Duncan CUMMING (Ind),skipped,skipped,skipped,skipped,skipped,,6
