voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
1,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
2,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
3,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
4,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
5,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
6,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
7,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
8,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
9,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
10,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
11,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
12,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
13,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
14,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
15,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
16,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
17,Alba,skipped,skipped,skipped,skipped,skipped,skipped,,7
18,Alba,Grn,skipped,skipped,skipped,skipped,skipped,,7
19,Alba,Grn,skipped,skipped,skipped,skipped,skipped,,7
20,Alba,Grn,Lab,LD,skipped,skipped,skipped,,7
21,Alba,Grn,LD,Lab,SNP,Libtn,Con,,7
22,Alba,Grn,LD,Lab,SNP,Libtn,Con,,7
23,Alba,Grn,LD,Libtn,skipped,skipped,skipped,,7
24,Alba,Grn,LD,SNP,skipped,skipped,skipped,,7
25,Alba,Grn,LD,SNP,Lab,Libtn,Con,,7
26,Alba,Grn,Libtn,LD,SNP,Lab,Con,,7
27,Alba,Grn,SNP,skipped,skipped,skipped,skipped,,7
28,Alba,Grn,SNP,skipped,skipped,skipped,skipped,,7
29,Alba,Grn,SNP,skipped,skipped,skipped,skipped,,7
30,Alba,Grn,SNP,skipped,skipped,skipped,skipped,,7
31,Alba,Grn,SNP,skipped,skipped,skipped,skipped,,7
32,Alba,Grn,SNP,Lab,LD,Con,Libtn,,7
33,Alba,Grn,SNP,Lab,LD,Libtn,Con,,7
34,Alba,Grn,SNP,LD,skipped,skipped,skipped,,7
35,Alba,Grn,SNP,LD,Lab,Con,Libtn,,7
36,Alba,Grn,SNP,LD,Lab,Libtn,Con,,7
37,Alba,Grn,SNP,Libtn,skipped,skipped,skipped,,7
38,Alba,Lab,Grn,skipped,skipped,skipped,skipped,,7
39,Alba,Lab,Con,skipped,skipped,skipped,skipped,,7
40,Alba,Lab,Con,skipped,skipped,skipped,skipped,,7
41,Alba,Lab,Con,LD,skipped,skipped,skipped,,7
42,Alba,Lab,Con,LD,SNP,Grn,Libtn,,7
43,Alba,Lab,Con,Libtn,LD,SNP,Grn,,7
44,Alba,Lab,Con,Libtn,LD,SNP,Grn,,7
45,Alba,Lab,LD,skipped,skipped,skipped,skipped,,7
46,Alba,Lab,LD,SNP,Grn,Libtn,Con,,7
47,Alba,Lab,LD,SNP,Grn,Libtn,Con,,7
48,Alba,Lab,Libtn,LD,Grn,SNP,Con,,7
49,Alba,Lab,SNP,skipped,skipped,skipped,skipped,,7
50,Alba,Lab,SNP,skipped,skipped,skipped,skipped,,7
51,Alba,Lab,SNP,Grn,LD,Con,Libtn,,7
52,Alba,Lab,SNP,Grn,LD,Libtn,Con,,7
53,Alba,Lab,SNP,LD,Con,Grn,Libtn,,7
54,Alba,Con,skipped,skipped,skipped,skipped,skipped,,7
55,Alba,Con,skipped,skipped,skipped,skipped,skipped,,7
56,Alba,Con,Grn,skipped,skipped,skipped,skipped,,7
57,Alba,Con,Lab,skipped,skipped,skipped,skipped,,7
58,Alba,Con,Lab,skipped,skipped,skipped,skipped,,7
59,Alba,Con,Lab,LD,skipped,skipped,skipped,,7
60,Alba,Con,Lab,LD,Libtn,SNP,Grn,,7
61,Alba,Con,LD,Lab,Libtn,skipped,skipped,,7
62,Alba,Con,Libtn,skipped,skipped,skipped,skipped,,7
63,Alba,Con,Libtn,skipped,skipped,skipped,skipped,,7
64,Alba,Con,Libtn,Grn,Lab,LD,SNP,,7
65,Alba,LD,Grn,Libtn,skipped,skipped,skipped,,7
66,Alba,LD,Grn,SNP,skipped,skipped,skipped,,7
67,Alba,LD,Lab,skipped,skipped,skipped,skipped,,7
68,Alba,LD,SNP,skipped,skipped,skipped,skipped,,7
69,Alba,LD,SNP,Grn,Lab,Libtn,Con,,7
70,Alba,LD,SNP,Lab,Con,skipped,skipped,,7
71,Alba,LD,SNP,Con,Libtn,Grn,Lab,,7
72,Alba,Libtn,skipped,skipped,skipped,skipped,skipped,,7
73,Alba,Libtn,skipped,skipped,skipped,skipped,skipped,,7
74,Alba,Libtn,skipped,skipped,skipped,skipped,skipped,,7
75,Alba,Libtn,Lab,LD,Con,Grn,SNP,,7
76,Alba,Libtn,LD,Lab,Con,Grn,SNP,,7
77,Alba,Libtn,LD,Con,Lab,Grn,SNP,,7
78,Alba,Libtn,SNP,skipped,skipped,skipped,skipped,,7
79,Alba,Libtn,SNP,skipped,skipped,skipped,skipped,,7
80,Alba,SNP,skipped,skipped,skipped,skipped,skipped,,7
81,Alba,SNP,skipped,skipped,skipped,skipped,skipped,,7
82,Alba,SNP,skipped,skipped,skipped,skipped,skipped,,7
83,Alba,SNP,skipped,skipped,skipped,skipped,skipped,,7
84,Alba,SNP,skipped,skipped,skipped,skipped,skipped,,7
85,Alba,SNP,skipped,skipped,skipped,skipped,skipped,,7
86,Alba,SNP,skipped,skipped,skipped,skipped,skipped,,7
87,Alba,SNP,skipped,skipped,skipped,skipped,skipped,,7
88,Alba,SNP,skipped,skipped,skipped,skipped,skipped,,7
89,Alba,SNP,Grn,skipped,skipped,skipped,skipped,,7
90,Alba,SNP,Grn,skipped,skipped,skipped,skipped,,7
91,Alba,SNP,Grn,skipped,skipped,skipped,skipped,,7
92,Alba,SNP,Grn,skipped,skipped,skipped,skipped,,7
93,Alba,SNP,Grn,skipped,skipped,skipped,skipped,,7
94,Alba,SNP,Grn,skipped,skipped,skipped,skipped,,7
95,Alba,SNP,Grn,Lab,skipped,skipped,skipped,,7
96,Alba,SNP,Grn,Lab,skipped,skipped,skipped,,7
97,Alba,SNP,Grn,Lab,LD,skipped,skipped,,7
98,Alba,SNP,Grn,Lab,LD,Libtn,Con,,7
99,Alba,SNP,Grn,Lab,LD,Libtn,Con,,7
100,Alba,SNP,Grn,Lab,LD,Libtn,Con,,7
101,Alba,SNP,Grn,Lab,Libtn,LD,Con,,7
102,Alba,SNP,Grn,LD,skipped,skipped,skipped,,7
103,Alba,SNP,Grn,LD,skipped,skipped,skipped,,7
104,Alba,SNP,Grn,LD,skipped,skipped,skipped,,7
105,Alba,SNP,Grn,LD,Lab,skipped,skipped,,7
106,Alba,SNP,Grn,LD,Lab,Libtn,Con,,7
107,Alba,SNP,Grn,LD,Lab,Libtn,Con,,7
108,Alba,SNP,Grn,LD,Libtn,Lab,Con,,7
109,Alba,SNP,Grn,Libtn,skipped,skipped,skipped,,7
110,Alba,SNP,Grn,Libtn,skipped,skipped,skipped,,7
111,Alba,SNP,Grn,Libtn,Lab,LD,Con,,7
112,Alba,SNP,Grn,Libtn,Lab,LD,Con,,7
113,Alba,SNP,Grn,Libtn,Lab,LD,Con,,7
114,Alba,SNP,Grn,Libtn,Lab,LD,Con,,7
115,Alba,SNP,Grn,Libtn,LD,Lab,Con,,7
116,Alba,SNP,Grn,Libtn,LD,Lab,Con,,7
117,Alba,SNP,Grn,Libtn,LD,Lab,Con,,7
118,Alba,SNP,Grn,Libtn,LD,Lab,Con,,7
119,Alba,SNP,Lab,LD,Grn,skipped,skipped,,7
120,Alba,SNP,Con,Libtn,Grn,LD,Lab,,7
121,Alba,SNP,LD,skipped,skipped,skipped,skipped,,7
122,Alba,SNP,LD,skipped,skipped,skipped,skipped,,7
123,Alba,SNP,LD,Grn,Lab,Libtn,Con,,7
124,Alba,SNP,LD,Grn,Libtn,skipped,skipped,,7
125,Alba,SNP,LD,Con,Lab,Libtn,Grn,,7
126,Alba,SNP,LD,Libtn,Grn,Lab,skipped,,7
127,Alba,SNP,Libtn,Grn,skipped,skipped,skipped,,7
128,Alba,SNP,Libtn,Lab,Con,LD,Grn,,7
129,Alba,SNP,Libtn,LD,Grn,Lab,Con,,7
130,Alba,SNP,Libtn,LD,Grn,Lab,Con,,7
131,Alba,SNP,Libtn,LD,Con,Lab,Grn,,7
132,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
133,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
134,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
135,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
136,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
137,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
138,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
139,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
140,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
141,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
142,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
143,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
144,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
145,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
146,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
147,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
148,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
149,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
150,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
151,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
152,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
153,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
154,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
155,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
156,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
157,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
158,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
159,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
160,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
161,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
162,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
163,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
164,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
165,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
166,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
167,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
168,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
169,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
170,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
171,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
172,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
173,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
174,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
175,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
176,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
177,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
178,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
179,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
180,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
181,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
182,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
183,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
184,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
185,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
186,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
187,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
