voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
1,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
2,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
3,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
4,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
5,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
6,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
7,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
8,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
9,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
10,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
11,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
12,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
13,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
14,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
15,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
16,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
17,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
18,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
19,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
20,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
21,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
22,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
23,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
24,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
25,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
26,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
27,Grn,skipped,skipped,skipped,skipped,skipped,skipped,,7
28,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
29,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
30,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
31,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
32,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
33,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
34,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
35,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
36,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
37,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
38,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
39,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
40,Grn,LD,skipped,skipped,skipped,skipped,skipped,,7
41,Grn,LD,SNP,skipped,skipped,skipped,skipped,,7
42,Grn,LD,SNP,skipped,skipped,skipped,skipped,,7
43,Grn,LD,SNP,skipped,skipped,skipped,skipped,,7
44,Grn,LD,SNP,skipped,skipped,skipped,skipped,,7
45,Grn,LD,SNP,skipped,skipped,skipped,skipped,,7
46,Grn,LD,SNP,skipped,skipped,skipped,skipped,,7
47,Grn,LD,SNP,skipped,skipped,skipped,skipped,,7
48,Grn,LD,SNP,skipped,skipped,skipped,skipped,,7
49,Grn,LD,SNP,Ryan John EDWARDS (Ind),John COWE (Ind),Con,Dennis SLATER (Ind),,7
50,Grn,LD,SNP,Dennis SLATER (Ind),skipped,skipped,skipped,,7
51,Grn,LD,SNP,Dennis SLATER (Ind),Ryan John EDWARDS (Ind),John COWE (Ind),skipped,,7
52,Grn,LD,Con,skipped,skipped,skipped,skipped,,7
53,Grn,LD,Con,skipped,skipped,skipped,skipped,,7
