voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
1,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
2,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
3,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
4,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
5,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
6,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
7,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
8,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
9,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
10,James ANDERSON (Lab),skipped,skipped,skipped,skipped,skipped,,6
11,James ANDERSON (Lab),Alan HILL (SNP),skipped,skipped,skipped,skipped,,6
12,James ANDERSON (Lab),Alan HILL (SNP),skipped,skipped,skipped,skipped,,6
13,James ANDERSON (Lab),Alan HILL (SNP),skipped,skipped,skipped,skipped,,6
14,James ANDERSON (Lab),Alan HILL (SNP),skipped,skipped,skipped,skipped,,6
15,James ANDERSON (Lab),Alan HILL (SNP),skipped,skipped,skipped,skipped,,6
16,Alan HILL (SNP),Alex GALLAGHER (Lab),skipped,skipped,skipped,skipped,,6
17,Alan HILL (SNP),Alex GALLAGHER (Lab),skipped,skipped,skipped,skipped,,6
18,Alan HILL (SNP),Alex GALLAGHER (Lab),skipped,skipped,skipped,skipped,,6
19,Alan HILL (SNP),Alex GALLAGHER (Lab),Ian MURDOCH (Ind),skipped,skipped,skipped,,6
20,James ANDERSON (Lab),Alan HILL (SNP),Ian MURDOCH (Ind),skipped,skipped,skipped,,6
21,Alan HILL (SNP),Alex GALLAGHER (Lab),Tom MARSHALL (Con),Ian MURDOCH (Ind),skipped,skipped,,6
22,Alan HILL (SNP),Alex GALLAGHER (Lab),Ian MURDOCH (Ind),skipped,skipped,skipped,,6
23,Alan HILL (SNP),Tom MARSHALL (Con),Alex GALLAGHER (Lab),Ian MURDOCH (Ind),skipped,skipped,,6
24,Alan HILL (SNP),Ian MURDOCH (Ind),Alex GALLAGHER (Lab),Tom MARSHALL (Con),skipped,skipped,,6
25,Alan HILL (SNP),Ian MURDOCH (Ind),Alex GALLAGHER (Lab),skipped,skipped,skipped,,6
26,James ANDERSON (Lab),Alex MCLEAN (SNP),skipped,skipped,skipped,skipped,,6
27,James ANDERSON (Lab),Alex MCLEAN (SNP),skipped,skipped,skipped,skipped,,6
28,James ANDERSON (Lab),Alex MCLEAN (SNP),skipped,skipped,skipped,skipped,,6
29,James ANDERSON (Lab),Alan HILL (SNP),skipped,skipped,skipped,skipped,,6
30,James ANDERSON (Lab),Alan HILL (SNP),skipped,skipped,skipped,skipped,,6
