voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
1,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
2,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
3,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
4,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
5,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
6,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
7,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
8,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
9,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
10,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
11,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
12,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
13,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
14,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
15,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
16,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
17,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
18,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
19,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
20,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
21,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
22,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
23,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
24,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
25,Alan JELFS (LD),skipped,skipped,skipped,skipped,skipped,,6
26,Alan JELFS (LD),Iain NICOLSON (SNP),skipped,skipped,skipped,skipped,,6
27,Alan JELFS (LD),Iain NICOLSON (SNP),skipped,skipped,skipped,skipped,,6
28,Alan JELFS (LD),Iain NICOLSON (SNP),skipped,skipped,skipped,skipped,,6
29,Alan JELFS (LD),Iain NICOLSON (SNP),skipped,skipped,skipped,skipped,,6
30,Alan JELFS (LD),Iain NICOLSON (SNP),Sam MULLIN (Lab),skipped,skipped,skipped,,6
31,Alan JELFS (LD),Iain NICOLSON (SNP),Sam MULLIN (Lab),skipped,skipped,skipped,,6
32,Alan JELFS (LD),Iain NICOLSON (SNP),Sam MULLIN (Lab),skipped,skipped,skipped,,6
33,Alan JELFS (LD),Iain NICOLSON (SNP),Alec LEISHMAN (Con),Sam MULLIN (Lab),skipped,skipped,,6
34,Alan JELFS (LD),Iain NICOLSON (SNP),Sam MULLIN (Lab),skipped,skipped,skipped,,6
35,Alan JELFS (LD),Iain NICOLSON (SNP),Sam MULLIN (Lab),Robert IRWIN (SFP),Alec LEISHMAN (Con),skipped,,6
36,Alan JELFS (LD),Michelle CAMPBELL (SNP),skipped,skipped,skipped,skipped,,6
37,Alan JELFS (LD),Michelle CAMPBELL (SNP),skipped,skipped,skipped,skipped,,6
38,Alan JELFS (LD),Michelle CAMPBELL (SNP),skipped,skipped,skipped,skipped,,6
39,Alan JELFS (LD),Michelle CAMPBELL (SNP),skipped,skipped,skipped,skipped,,6
40,Alan JELFS (LD),Iain NICOLSON (SNP),skipped,skipped,skipped,skipped,,6
41,Alan JELFS (LD),Iain NICOLSON (SNP),Sam MULLIN (Lab),skipped,skipped,skipped,,6
42,Alan JELFS (LD),Iain NICOLSON (SNP),Sam MULLIN (Lab),skipped,skipped,skipped,,6
43,Alan JELFS (LD),Iain NICOLSON (SNP),Sam MULLIN (Lab),Alec LEISHMAN (Con),skipped,skipped,,6
44,Alan JELFS (LD),Michelle CAMPBELL (SNP),Robert IRWIN (SFP),skipped,skipped,skipped,,6
45,Alan JELFS (LD),Robert IRWIN (SFP),Iain NICOLSON (SNP),Sam MULLIN (Lab),Alec LEISHMAN (Con),skipped,,6
46,Alan JELFS (LD),Michelle CAMPBELL (SNP),Sam MULLIN (Lab),skipped,skipped,skipped,,6
47,Alan JELFS (LD),Sam MULLIN (Lab),Iain NICOLSON (SNP),skipped,skipped,skipped,,6
48,Alan JELFS (LD),Sam MULLIN (Lab),Iain NICOLSON (SNP),Robert IRWIN (SFP),Alec LEISHMAN (Con),skipped,,6
49,Alan JELFS (LD),Alec LEISHMAN (Con),skipped,skipped,skipped,skipped,,6
50,Alan JELFS (LD),Alec LEISHMAN (Con),skipped,skipped,skipped,skipped,,6
51,Alan JELFS (LD),Alec LEISHMAN (Con),skipped,skipped,skipped,skipped,,6
52,Alan JELFS (LD),Alec LEISHMAN (Con),skipped,skipped,skipped,skipped,,6
53,Alan JELFS (LD),Alec LEISHMAN (Con),skipped,skipped,skipped,skipped,,6
54,Alan JELFS (LD),Alec LEISHMAN (Con),skipped,skipped,skipped,skipped,,6
55,Alan JELFS (LD),Alec LEISHMAN (Con),skipped,skipped,skipped,skipped,,6
56,Alan JELFS (LD),Alec LEISHMAN (Con),skipped,skipped,skipped,skipped,,6
