voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,SNP,skipped,skipped,skipped,skipped,skipped,4,6
1,SNP,skipped,skipped,skipped,skipped,skipped,4,6
2,SNP,skipped,skipped,skipped,skipped,skipped,4,6
3,SNP,skipped,skipped,skipped,skipped,skipped,4,6
4,SNP,skipped,skipped,skipped,skipped,skipped,4,6
5,SNP,skipped,skipped,skipped,skipped,skipped,4,6
6,SNP,skipped,skipped,skipped,skipped,skipped,4,6
7,SNP,skipped,skipped,skipped,skipped,skipped,4,6
8,SNP,skipped,skipped,skipped,skipped,skipped,4,6
9,SNP,skipped,skipped,skipped,skipped,skipped,4,6
10,SNP,skipped,skipped,skipped,skipped,skipped,4,6
11,SNP,skipped,skipped,skipped,skipped,skipped,4,6
12,SNP,skipped,skipped,skipped,skipped,skipped,4,6
13,SNP,skipped,skipped,skipped,skipped,skipped,4,6
14,SNP,skipped,skipped,skipped,skipped,skipped,4,6
15,SNP,skipped,skipped,skipped,skipped,skipped,4,6
16,SNP,skipped,skipped,skipped,skipped,skipped,4,6
17,SNP,skipped,skipped,skipped,skipped,skipped,4,6
18,SNP,skipped,skipped,skipped,skipped,skipped,4,6
19,SNP,skipped,skipped,skipped,skipped,skipped,4,6
20,SNP,skipped,skipped,skipped,skipped,skipped,4,6
21,SNP,skipped,skipped,skipped,skipped,skipped,4,6
22,SNP,skipped,skipped,skipped,skipped,skipped,4,6
23,SNP,skipped,skipped,skipped,skipped,skipped,4,6
24,SNP,skipped,skipped,skipped,skipped,skipped,4,6
25,SNP,skipped,skipped,skipped,skipped,skipped,4,6
26,SNP,skipped,skipped,skipped,skipped,skipped,4,6
27,SNP,skipped,skipped,skipped,skipped,skipped,4,6
28,SNP,skipped,skipped,skipped,skipped,skipped,4,6
29,SNP,skipped,skipped,skipped,skipped,skipped,4,6
30,SNP,skipped,skipped,skipped,skipped,skipped,4,6
31,SNP,skipped,skipped,skipped,skipped,skipped,4,6
32,SNP,skipped,skipped,skipped,skipped,skipped,4,6
33,SNP,skipped,skipped,skipped,skipped,skipped,4,6
34,SNP,skipped,skipped,skipped,skipped,skipped,4,6
35,SNP,skipped,skipped,skipped,skipped,skipped,4,6
36,SNP,skipped,skipped,skipped,skipped,skipped,4,6
37,SNP,skipped,skipped,skipped,skipped,skipped,4,6
38,SNP,skipped,skipped,skipped,skipped,skipped,4,6
39,SNP,skipped,skipped,skipped,skipped,skipped,4,6
40,SNP,skipped,skipped,skipped,skipped,skipped,4,6
41,SNP,skipped,skipped,skipped,skipped,skipped,4,6
42,SNP,skipped,skipped,skipped,skipped,skipped,4,6
43,SNP,skipped,skipped,skipped,skipped,skipped,4,6
44,SNP,skipped,skipped,skipped,skipped,skipped,4,6
45,SNP,skipped,skipped,skipped,skipped,skipped,4,6
46,SNP,skipped,skipped,skipped,skipped,skipped,4,6
47,SNP,skipped,skipped,skipped,skipped,skipped,4,6
48,SNP,skipped,skipped,skipped,skipped,skipped,4,6
49,SNP,skipped,skipped,skipped,skipped,skipped,4,6
50,SNP,skipped,skipped,skipped,skipped,skipped,4,6
51,SNP,skipped,skipped,skipped,skipped,skipped,4,6
52,SNP,skipped,skipped,skipped,skipped,skipped,4,6
53,SNP,skipped,skipped,skipped,skipped,skipped,4,6
54,SNP,skipped,skipped,skipped,skipped,skipped,4,6
55,SNP,skipped,skipped,skipped,skipped,skipped,4,6
56,SNP,skipped,skipped,skipped,skipped,skipped,4,6
57,SNP,skipped,skipped,skipped,skipped,skipped,4,6
58,SNP,skipped,skipped,skipped,skipped,skipped,4,6
59,SNP,skipped,skipped,skipped,skipped,skipped,4,6
60,SNP,skipped,skipped,skipped,skipped,skipped,4,6
61,SNP,skipped,skipped,skipped,skipped,skipped,4,6
62,SNP,skipped,skipped,skipped,skipped,skipped,4,6
63,SNP,skipped,skipped,skipped,skipped,skipped,4,6
64,SNP,skipped,skipped,skipped,skipped,skipped,4,6
65,SNP,skipped,skipped,skipped,skipped,skipped,4,6
66,SNP,skipped,skipped,skipped,skipped,skipped,4,6
67,SNP,skipped,skipped,skipped,skipped,skipped,4,6
68,SNP,skipped,skipped,skipped,skipped,skipped,4,6
69,SNP,Con,skipped,skipped,skipped,skipped,4,6
70,SNP,Con,skipped,skipped,skipped,skipped,4,6
71,SNP,Con,skipped,skipped,skipped,skipped,4,6
72,SNP,Con,skipped,skipped,skipped,skipped,4,6
73,SNP,Con,skipped,skipped,skipped,skipped,4,6
74,SNP,Con,skipped,skipped,skipped,skipped,4,6
75,SNP,Con,LD,skipped,skipped,skipped,4,6
76,SNP,Con,LD,Lab,SNP,Judy Margaret WHYTE (Ind),4,6
77,SNP,Con,LD,Lab,SNP,Judy Margaret WHYTE (Ind),4,6
78,SNP,Con,LD,SNP,Lab,Judy Margaret WHYTE (Ind),4,6
79,SNP,Con,LD,Judy Margaret WHYTE (Ind),SNP,Lab,4,6
80,SNP,Con,Lab,SNP,LD,Judy Margaret WHYTE (Ind),4,6
81,SNP,Con,SNP,skipped,skipped,skipped,4,6
82,SNP,Con,SNP,skipped,skipped,skipped,4,6
83,SNP,Con,SNP,skipped,skipped,skipped,4,6
84,SNP,Con,SNP,skipped,skipped,skipped,4,6
85,SNP,Con,SNP,skipped,skipped,skipped,4,6
86,SNP,Con,SNP,LD,Lab,skipped,4,6
87,SNP,Con,SNP,LD,Lab,Judy Margaret WHYTE (Ind),4,6
88,SNP,Con,SNP,Judy Margaret WHYTE (Ind),skipped,skipped,4,6
89,SNP,Con,SNP,Judy Margaret WHYTE (Ind),LD,Lab,4,6
90,SNP,Con,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
91,SNP,Con,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
92,SNP,Con,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
93,SNP,Con,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
94,SNP,Con,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
95,SNP,Con,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
96,SNP,LD,skipped,skipped,skipped,skipped,4,6
97,SNP,LD,skipped,skipped,skipped,skipped,4,6
98,SNP,LD,skipped,skipped,skipped,skipped,4,6
99,SNP,LD,skipped,skipped,skipped,skipped,4,6
100,SNP,LD,skipped,skipped,skipped,skipped,4,6
101,SNP,LD,skipped,skipped,skipped,skipped,4,6
102,SNP,LD,skipped,skipped,skipped,skipped,4,6
103,SNP,LD,skipped,skipped,skipped,skipped,4,6
104,SNP,LD,Con,skipped,skipped,skipped,4,6
105,SNP,LD,Con,SNP,Lab,Judy Margaret WHYTE (Ind),4,6
106,SNP,LD,Con,SNP,Judy Margaret WHYTE (Ind),Lab,4,6
107,SNP,LD,Con,Judy Margaret WHYTE (Ind),Lab,SNP,4,6
108,SNP,LD,Con,Judy Margaret WHYTE (Ind),SNP,Lab,4,6
109,SNP,LD,Lab,skipped,skipped,skipped,4,6
110,SNP,LD,Lab,skipped,skipped,skipped,4,6
111,SNP,LD,Lab,skipped,skipped,skipped,4,6
112,SNP,LD,Lab,skipped,skipped,skipped,4,6
113,SNP,LD,Lab,skipped,skipped,skipped,4,6
114,SNP,LD,Lab,skipped,skipped,skipped,4,6
115,SNP,LD,Lab,skipped,skipped,skipped,4,6
116,SNP,LD,Lab,skipped,skipped,skipped,4,6
117,SNP,LD,Lab,Con,skipped,skipped,4,6
118,SNP,LD,Lab,SNP,Judy Margaret WHYTE (Ind),Con,4,6
119,SNP,LD,Lab,Judy Margaret WHYTE (Ind),skipped,skipped,4,6
120,SNP,LD,SNP,skipped,skipped,skipped,4,6
121,SNP,LD,SNP,skipped,skipped,skipped,4,6
122,SNP,LD,SNP,skipped,skipped,skipped,4,6
123,SNP,LD,SNP,skipped,skipped,skipped,4,6
124,SNP,LD,SNP,skipped,skipped,skipped,4,6
125,SNP,LD,SNP,skipped,skipped,skipped,4,6
126,SNP,LD,SNP,skipped,skipped,skipped,4,6
127,SNP,LD,SNP,skipped,skipped,skipped,4,6
128,SNP,LD,SNP,skipped,skipped,skipped,4,6
129,SNP,LD,SNP,skipped,skipped,skipped,4,6
130,SNP,LD,SNP,skipped,skipped,skipped,4,6
131,SNP,LD,SNP,skipped,skipped,skipped,4,6
132,SNP,LD,SNP,skipped,skipped,skipped,4,6
133,SNP,LD,SNP,skipped,skipped,skipped,4,6
134,SNP,LD,SNP,skipped,skipped,skipped,4,6
135,SNP,LD,SNP,skipped,skipped,skipped,4,6
136,SNP,LD,SNP,skipped,skipped,skipped,4,6
137,SNP,LD,SNP,Con,skipped,skipped,4,6
138,SNP,LD,SNP,Lab,skipped,skipped,4,6
139,SNP,LD,SNP,Lab,skipped,skipped,4,6
140,SNP,LD,SNP,Lab,Con,skipped,4,6
141,SNP,LD,SNP,Lab,Con,Judy Margaret WHYTE (Ind),4,6
142,SNP,LD,SNP,Lab,Con,Judy Margaret WHYTE (Ind),4,6
143,SNP,LD,SNP,Lab,Judy Margaret WHYTE (Ind),Con,4,6
144,SNP,LD,SNP,Judy Margaret WHYTE (Ind),Con,Lab,4,6
145,SNP,LD,SNP,Judy Margaret WHYTE (Ind),Lab,Con,4,6
146,SNP,LD,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
147,SNP,LD,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
148,SNP,LD,Judy Margaret WHYTE (Ind),Lab,SNP,Con,4,6
149,SNP,LD,Judy Margaret WHYTE (Ind),SNP,Lab,skipped,4,6
150,SNP,Lab,skipped,skipped,skipped,skipped,4,6
151,SNP,Lab,skipped,skipped,skipped,skipped,4,6
152,SNP,Lab,skipped,skipped,skipped,skipped,4,6
153,SNP,Lab,skipped,skipped,skipped,skipped,4,6
154,SNP,Lab,skipped,skipped,skipped,skipped,4,6
155,SNP,Lab,skipped,skipped,skipped,skipped,4,6
156,SNP,Lab,skipped,skipped,skipped,skipped,4,6
157,SNP,Lab,Con,skipped,skipped,skipped,4,6
158,SNP,Lab,Con,LD,skipped,skipped,4,6
159,SNP,Lab,LD,skipped,skipped,skipped,4,6
160,SNP,Lab,LD,skipped,skipped,skipped,4,6
161,SNP,Lab,LD,skipped,skipped,skipped,4,6
162,SNP,Lab,LD,skipped,skipped,skipped,4,6
163,SNP,Lab,LD,Con,SNP,Judy Margaret WHYTE (Ind),4,6
164,SNP,Lab,LD,SNP,skipped,skipped,4,6
165,SNP,Lab,LD,Judy Margaret WHYTE (Ind),SNP,Con,4,6
166,SNP,Lab,SNP,skipped,skipped,skipped,4,6
167,SNP,Lab,SNP,skipped,skipped,skipped,4,6
168,SNP,Lab,SNP,skipped,skipped,skipped,4,6
169,SNP,Lab,SNP,skipped,skipped,skipped,4,6
170,SNP,Lab,SNP,skipped,skipped,skipped,4,6
171,SNP,Lab,SNP,skipped,skipped,skipped,4,6
172,SNP,Lab,SNP,skipped,skipped,skipped,4,6
173,SNP,Lab,SNP,Con,LD,Judy Margaret WHYTE (Ind),4,6
174,SNP,Lab,SNP,LD,skipped,skipped,4,6
175,SNP,Lab,SNP,LD,Con,Judy Margaret WHYTE (Ind),4,6
176,SNP,Lab,SNP,LD,Judy Margaret WHYTE (Ind),skipped,4,6
177,SNP,Lab,SNP,LD,Judy Margaret WHYTE (Ind),Con,4,6
178,SNP,Lab,SNP,Judy Margaret WHYTE (Ind),Con,LD,4,6
179,SNP,Lab,SNP,Judy Margaret WHYTE (Ind),LD,skipped,4,6
180,SNP,Lab,SNP,Judy Margaret WHYTE (Ind),LD,skipped,4,6
181,SNP,Lab,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
182,SNP,Lab,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
183,SNP,Lab,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
184,SNP,Lab,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
185,SNP,Lab,Judy Margaret WHYTE (Ind),skipped,skipped,skipped,4,6
186,SNP,SNP,skipped,skipped,skipped,skipped,4,6
187,SNP,SNP,skipped,skipped,skipped,skipped,4,6
188,SNP,SNP,skipped,skipped,skipped,skipped,4,6
189,SNP,SNP,skipped,skipped,skipped,skipped,4,6
190,SNP,SNP,skipped,skipped,skipped,skipped,4,6
191,SNP,SNP,skipped,skipped,skipped,skipped,4,6
192,SNP,SNP,skipped,skipped,skipped,skipped,4,6
193,SNP,SNP,skipped,skipped,skipped,skipped,4,6
194,SNP,SNP,skipped,skipped,skipped,skipped,4,6
195,SNP,SNP,skipped,skipped,skipped,skipped,4,6
196,SNP,SNP,skipped,skipped,skipped,skipped,4,6
197,SNP,SNP,skipped,skipped,skipped,skipped,4,6
198,SNP,SNP,skipped,skipped,skipped,skipped,4,6
199,SNP,SNP,skipped,skipped,skipped,skipped,4,6
200,SNP,SNP,skipped,skipped,skipped,skipped,4,6
201,SNP,SNP,skipped,skipped,skipped,skipped,4,6
202,SNP,SNP,skipped,skipped,skipped,skipped,4,6
203,SNP,SNP,skipped,skipped,skipped,skipped,4,6
204,SNP,SNP,skipped,skipped,skipped,skipped,4,6
205,SNP,SNP,skipped,skipped,skipped,skipped,4,6
206,SNP,SNP,skipped,skipped,skipped,skipped,4,6
207,SNP,SNP,skipped,skipped,skipped,skipped,4,6
208,SNP,SNP,skipped,skipped,skipped,skipped,4,6
209,SNP,SNP,skipped,skipped,skipped,skipped,4,6
210,SNP,SNP,skipped,skipped,skipped,skipped,4,6
211,SNP,SNP,skipped,skipped,skipped,skipped,4,6
212,SNP,SNP,skipped,skipped,skipped,skipped,4,6
213,SNP,SNP,skipped,skipped,skipped,skipped,4,6
214,SNP,SNP,skipped,skipped,skipped,skipped,4,6
215,SNP,SNP,skipped,skipped,skipped,skipped,4,6
216,SNP,SNP,skipped,skipped,skipped,skipped,4,6
217,SNP,SNP,skipped,skipped,skipped,skipped,4,6
218,SNP,SNP,skipped,skipped,skipped,skipped,4,6
219,SNP,SNP,skipped,skipped,skipped,skipped,4,6
220,SNP,SNP,skipped,skipped,skipped,skipped,4,6
221,SNP,SNP,skipped,skipped,skipped,skipped,4,6
222,SNP,SNP,skipped,skipped,skipped,skipped,4,6
223,SNP,SNP,skipped,skipped,skipped,skipped,4,6
224,SNP,SNP,skipped,skipped,skipped,skipped,4,6
225,SNP,SNP,skipped,skipped,skipped,skipped,4,6
226,SNP,SNP,skipped,skipped,skipped,skipped,4,6
227,SNP,SNP,skipped,skipped,skipped,skipped,4,6
228,SNP,SNP,skipped,skipped,skipped,skipped,4,6
229,SNP,SNP,skipped,skipped,skipped,skipped,4,6
230,SNP,SNP,skipped,skipped,skipped,skipped,4,6
231,SNP,SNP,skipped,skipped,skipped,skipped,4,6
232,SNP,SNP,skipped,skipped,skipped,skipped,4,6
233,SNP,SNP,skipped,skipped,skipped,skipped,4,6
234,SNP,SNP,skipped,skipped,skipped,skipped,4,6
235,SNP,SNP,skipped,skipped,skipped,skipped,4,6
