voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
1,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
2,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
3,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
4,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
5,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
6,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
7,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
8,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
9,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
10,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
11,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
12,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
13,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
14,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
15,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
16,SNP,Alba,Lab,skipped,skipped,skipped,skipped,skipped,skipped,4,9
17,Lab,Freedom Alliance,Grn,Con,skipped,skipped,skipped,skipped,skipped,4,9
18,SNP,Alba,Freedom Alliance,Grn,SFP,Con,Con,Con,Lab,4,9
19,Lab,Con,Grn,SNP,skipped,skipped,skipped,skipped,skipped,4,9
20,Con,SNP,Con,Con,skipped,skipped,skipped,skipped,skipped,4,9
21,SNP,Lab,Alba,Con,skipped,skipped,skipped,skipped,skipped,4,9
22,Con,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
23,Con,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
24,Con,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
25,Lab,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,4,9
26,Grn,SNP,Alba,Freedom Alliance,SFP,Lab,Con,Con,Con,4,9
27,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
28,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
29,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
30,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
31,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
32,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
33,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
34,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
35,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
36,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
37,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
38,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
39,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
40,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
41,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
42,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
43,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
44,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
45,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
46,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
47,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
48,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
49,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
50,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
51,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
52,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
53,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
54,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
55,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
56,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
57,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
58,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
59,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
60,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
61,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
62,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
63,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
64,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
65,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
66,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
67,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
68,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
69,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
70,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
71,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
72,SNP,Alba,Grn,skipped,skipped,skipped,skipped,skipped,skipped,4,9
