voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
1,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
2,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
3,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
4,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
5,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
6,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
7,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
8,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
9,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
10,Jane FREER (Ind),skipped,skipped,skipped,skipped,skipped,skipped,3,7
11,Jane FREER (Ind),Grn,skipped,skipped,skipped,skipped,skipped,3,7
12,Jane FREER (Ind),Grn,skipped,skipped,skipped,skipped,skipped,3,7
13,Jane FREER (Ind),Grn,skipped,skipped,skipped,skipped,skipped,3,7
14,Jane FREER (Ind),Grn,skipped,skipped,skipped,skipped,skipped,3,7
15,Jane FREER (Ind),Grn,Con,skipped,skipped,skipped,skipped,3,7
16,Jane FREER (Ind),Grn,Con,skipped,skipped,skipped,skipped,3,7
17,Jane FREER (Ind),Grn,Con,skipped,skipped,skipped,skipped,3,7
18,Jane FREER (Ind),Grn,Con,SNP,Lab,LD,SNP,3,7
19,Jane FREER (Ind),Grn,Con,LD,skipped,skipped,skipped,3,7
20,Jane FREER (Ind),Grn,SNP,skipped,skipped,skipped,skipped,3,7
21,Jane FREER (Ind),Grn,SNP,skipped,skipped,skipped,skipped,3,7
22,Jane FREER (Ind),Grn,SNP,SNP,LD,Lab,Con,3,7
23,Jane FREER (Ind),Grn,SNP,SNP,LD,Lab,Con,3,7
24,Jane FREER (Ind),Grn,LD,skipped,skipped,skipped,skipped,3,7
25,Jane FREER (Ind),Grn,LD,Lab,skipped,skipped,skipped,3,7
26,Jane FREER (Ind),Grn,LD,Lab,SNP,SNP,Con,3,7
27,Jane FREER (Ind),Grn,SNP,skipped,skipped,skipped,skipped,3,7
28,Jane FREER (Ind),Grn,Lab,skipped,skipped,skipped,skipped,3,7
29,Jane FREER (Ind),Grn,Lab,SNP,SNP,LD,Con,3,7
30,Jane FREER (Ind),Con,skipped,skipped,skipped,skipped,skipped,3,7
31,Jane FREER (Ind),Con,skipped,skipped,skipped,skipped,skipped,3,7
32,Jane FREER (Ind),Con,skipped,skipped,skipped,skipped,skipped,3,7
33,Jane FREER (Ind),Con,skipped,skipped,skipped,skipped,skipped,3,7
34,Jane FREER (Ind),Con,Grn,skipped,skipped,skipped,skipped,3,7
35,Jane FREER (Ind),Con,LD,skipped,skipped,skipped,skipped,3,7
36,Jane FREER (Ind),Con,LD,skipped,skipped,skipped,skipped,3,7
37,Jane FREER (Ind),Con,LD,skipped,skipped,skipped,skipped,3,7
38,Jane FREER (Ind),Con,LD,skipped,skipped,skipped,skipped,3,7
39,Jane FREER (Ind),Con,LD,skipped,skipped,skipped,skipped,3,7
40,Jane FREER (Ind),Con,LD,skipped,skipped,skipped,skipped,3,7
41,Jane FREER (Ind),Con,LD,skipped,skipped,skipped,skipped,3,7
