voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,LD,Grn,SNP,LD,Lab,Sean David ELDER  (UNKNOWN),Alba,Con,3,8
1,SNP,Lab,Grn,LD,skipped,skipped,skipped,skipped,3,8
2,SNP,Lab,Grn,LD,skipped,skipped,skipped,skipped,3,8
3,LD,LD,Sean David ELDER  (UNKNOWN),Con,Lab,Grn,SNP,Alba,3,8
4,LD,LD,Sean David ELDER  (UNKNOWN),Lab,Con,Grn,SNP,Alba,3,8
5,Sean David ELDER  (UNKNOWN),Lab,Con,LD,LD,Alba,Grn,SNP,3,8
6,LD,LD,Grn,Lab,SNP,Sean David ELDER  (UNKNOWN),skipped,skipped,3,8
7,Sean David ELDER  (UNKNOWN),LD,Con,skipped,skipped,skipped,skipped,skipped,3,8
8,Sean David ELDER  (UNKNOWN),LD,Con,skipped,skipped,skipped,skipped,skipped,3,8
9,Sean David ELDER  (UNKNOWN),LD,Con,skipped,skipped,skipped,skipped,skipped,3,8
10,Sean David ELDER  (UNKNOWN),Con,LD,LD,skipped,skipped,skipped,skipped,3,8
11,Sean David ELDER  (UNKNOWN),Con,LD,LD,skipped,skipped,skipped,skipped,3,8
12,Sean David ELDER  (UNKNOWN),Con,LD,LD,skipped,skipped,skipped,skipped,3,8
13,SNP,Grn,Alba,Lab,LD,skipped,skipped,skipped,3,8
14,LD,SNP,Grn,LD,Lab,Sean David ELDER  (UNKNOWN),Alba,Con,3,8
15,LD,SNP,Grn,LD,Lab,Sean David ELDER  (UNKNOWN),Alba,Con,3,8
16,Grn,SNP,Alba,Lab,LD,Sean David ELDER  (UNKNOWN),LD,Con,3,8
17,SNP,Grn,LD,LD,Sean David ELDER  (UNKNOWN),Lab,Con,Alba,3,8
18,LD,Grn,Lab,LD,SNP,Sean David ELDER  (UNKNOWN),Con,Alba,3,8
19,SNP,Con,Grn,skipped,skipped,skipped,skipped,skipped,3,8
20,Sean David ELDER  (UNKNOWN),LD,Grn,skipped,skipped,skipped,skipped,skipped,3,8
21,Lab,SNP,LD,Sean David ELDER  (UNKNOWN),skipped,skipped,skipped,skipped,3,8
22,SNP,Lab,LD,Alba,LD,Grn,Sean David ELDER  (UNKNOWN),Con,3,8
23,Grn,LD,SNP,Lab,LD,Alba,Con,skipped,3,8
24,Con,LD,LD,Grn,Lab,Alba,Sean David ELDER  (UNKNOWN),SNP,3,8
25,SNP,LD,Lab,Sean David ELDER  (UNKNOWN),skipped,skipped,skipped,skipped,3,8
26,SNP,LD,Lab,Sean David ELDER  (UNKNOWN),skipped,skipped,skipped,skipped,3,8
27,Sean David ELDER  (UNKNOWN),LD,Lab,Grn,LD,Alba,Con,SNP,3,8
28,SNP,Grn,Alba,Sean David ELDER  (UNKNOWN),LD,Lab,LD,Con,3,8
29,SNP,Grn,Alba,Sean David ELDER  (UNKNOWN),LD,Lab,LD,Con,3,8
30,SNP,Grn,Alba,Sean David ELDER  (UNKNOWN),LD,Lab,LD,Con,3,8
31,SNP,LD,LD,Lab,Alba,Grn,skipped,skipped,3,8
32,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
33,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
34,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
35,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
36,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
37,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
38,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
39,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
40,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
41,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
42,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
43,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
44,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
45,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
46,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
47,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
48,Sean David ELDER  (UNKNOWN),LD,LD,skipped,skipped,skipped,skipped,skipped,3,8
49,Grn,Con,LD,LD,skipped,skipped,skipped,skipped,3,8
50,Lab,SNP,Grn,Sean David ELDER  (UNKNOWN),skipped,skipped,skipped,skipped,3,8
51,SNP,LD,Grn,LD,Lab,Alba,Sean David ELDER  (UNKNOWN),Con,3,8
52,LD,LD,Grn,SNP,Sean David ELDER  (UNKNOWN),skipped,skipped,skipped,3,8
53,Alba,Sean David ELDER  (UNKNOWN),Grn,skipped,skipped,skipped,skipped,skipped,3,8
54,Alba,Sean David ELDER  (UNKNOWN),Grn,skipped,skipped,skipped,skipped,skipped,3,8
55,LD,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,8
56,LD,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,8
57,LD,SNP,skipped,skipped,skipped,skipped,skipped,skipped,3,8
58,Alba,Sean David ELDER  (UNKNOWN),SNP,skipped,skipped,skipped,skipped,skipped,3,8
59,Alba,Sean David ELDER  (UNKNOWN),SNP,skipped,skipped,skipped,skipped,skipped,3,8
60,Lab,Grn,SNP,LD,LD,Sean David ELDER  (UNKNOWN),skipped,skipped,3,8
61,LD,LD,Grn,Sean David ELDER  (UNKNOWN),Con,Lab,SNP,Alba,3,8
62,LD,LD,Lab,Grn,Con,Sean David ELDER  (UNKNOWN),Alba,skipped,3,8
63,SNP,Lab,LD,Alba,Grn,LD,Sean David ELDER  (UNKNOWN),Con,3,8
64,SNP,Grn,LD,Lab,LD,Alba,Sean David ELDER  (UNKNOWN),Con,3,8
65,LD,LD,Lab,Grn,SNP,Sean David ELDER  (UNKNOWN),skipped,skipped,3,8
66,SNP,Sean David ELDER  (UNKNOWN),Alba,Grn,Lab,skipped,skipped,skipped,3,8
67,LD,Grn,Lab,skipped,skipped,skipped,skipped,skipped,3,8
68,LD,Grn,Lab,skipped,skipped,skipped,skipped,skipped,3,8
69,LD,Grn,Lab,skipped,skipped,skipped,skipped,skipped,3,8
70,LD,Grn,Lab,skipped,skipped,skipped,skipped,skipped,3,8
71,LD,Grn,Lab,skipped,skipped,skipped,skipped,skipped,3,8
