voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,rank10,rank11,numSeats,numCands
0,Glasgow First,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
1,Glasgow First,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
2,Glasgow First,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
3,Glasgow First,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
4,Glasgow First,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
5,Glasgow First,Grn,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
6,Glasgow First,Grn,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
7,Glasgow First,Grn,Chris CREIGHTON (Ind),Colin DEANS (Ind),SNP,SNP,Lab,Lab,LD,Con,TUSC,3,11
8,Glasgow First,Grn,Chris CREIGHTON (Ind),TUSC,Colin DEANS (Ind),SNP,SNP,Lab,Lab,Con,LD,3,11
9,Glasgow First,Grn,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
10,Glasgow First,Grn,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
11,Glasgow First,Grn,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
12,Glasgow First,Chris CREIGHTON (Ind),Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
13,Glasgow First,Chris CREIGHTON (Ind),Grn,Colin DEANS (Ind),LD,SNP,SNP,TUSC,Con,Lab,skipped,3,11
14,Glasgow First,Chris CREIGHTON (Ind),Colin DEANS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
15,Glasgow First,Chris CREIGHTON (Ind),Colin DEANS (Ind),TUSC,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
16,Glasgow First,Chris CREIGHTON (Ind),TUSC,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
17,Glasgow First,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
18,Glasgow First,Lab,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
19,Glasgow First,Lab,Grn,Colin DEANS (Ind),TUSC,skipped,skipped,skipped,skipped,skipped,skipped,3,11
20,Glasgow First,Lab,Colin DEANS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
21,Glasgow First,Lab,Colin DEANS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
22,Glasgow First,Lab,Colin DEANS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
23,Glasgow First,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
24,Glasgow First,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
25,Glasgow First,Lab,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
26,Glasgow First,Lab,SNP,Chris CREIGHTON (Ind),Lab,Colin DEANS (Ind),TUSC,skipped,skipped,skipped,skipped,3,11
27,Glasgow First,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
28,Glasgow First,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
29,Glasgow First,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
30,Glasgow First,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
31,Glasgow First,Lab,Lab,LD,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
32,Glasgow First,Lab,SNP,TUSC,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
33,Glasgow First,Colin DEANS (Ind),SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
34,Glasgow First,SNP,Lab,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,11
35,Glasgow First,SNP,SNP,Grn,Colin DEANS (Ind),Chris CREIGHTON (Ind),skipped,skipped,skipped,skipped,skipped,3,11
36,Glasgow First,SNP,SNP,Colin DEANS (Ind),Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,11
37,Glasgow First,SNP,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
38,Glasgow First,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
39,Glasgow First,Lab,Lab,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
40,Glasgow First,Lab,Colin DEANS (Ind),TUSC,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
41,Glasgow First,Lab,SNP,SNP,Lab,skipped,skipped,skipped,skipped,skipped,skipped,3,11
42,Glasgow First,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
43,Glasgow First,TUSC,Grn,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
44,Glasgow First,TUSC,Chris CREIGHTON (Ind),Colin DEANS (Ind),SNP,SNP,Con,Lab,Lab,LD,Grn,3,11
45,Glasgow First,TUSC,SNP,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
46,Glasgow First,Con,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
47,Glasgow First,Con,Colin DEANS (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,3,11
