voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
1,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
2,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
3,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
4,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
5,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
6,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
7,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
8,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
9,SNP,Lab,Grn,skipped,skipped,skipped,skipped,3,7
10,SNP,SNP,Lab,Grn,LD,Soc,skipped,3,7
11,Grn,SNP,Lab,SNP,Soc,LD,Con,3,7
12,Grn,SNP,Lab,SNP,Soc,LD,Con,3,7
13,Grn,SNP,Lab,SNP,Soc,LD,Con,3,7
14,Grn,SNP,Lab,SNP,Soc,LD,Con,3,7
15,Grn,SNP,Lab,SNP,Soc,LD,Con,3,7
16,SNP,SNP,Con,Soc,Lab,LD,Grn,3,7
17,Lab,Soc,Con,LD,Grn,skipped,skipped,3,7
18,Lab,Soc,Con,LD,Grn,skipped,skipped,3,7
19,Grn,SNP,Lab,SNP,skipped,skipped,skipped,3,7
20,Grn,SNP,Lab,SNP,skipped,skipped,skipped,3,7
21,Grn,SNP,Lab,SNP,skipped,skipped,skipped,3,7
22,Grn,SNP,Lab,SNP,skipped,skipped,skipped,3,7
23,Grn,SNP,Lab,SNP,skipped,skipped,skipped,3,7
24,Grn,SNP,Lab,SNP,skipped,skipped,skipped,3,7
25,Grn,SNP,Lab,SNP,skipped,skipped,skipped,3,7
26,Grn,SNP,Lab,SNP,skipped,skipped,skipped,3,7
27,Grn,SNP,Soc,SNP,LD,skipped,skipped,3,7
28,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
29,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
30,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
31,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
32,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
33,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
34,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
35,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
36,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
37,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
38,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
39,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
40,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
41,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
42,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
43,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
44,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
45,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
46,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
47,SNP,Lab,SNP,skipped,skipped,skipped,skipped,3,7
