voterId,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
0,Con,LD,SNP,Libtn,skipped,3,5
1,LD,Con,SNP,skipped,skipped,3,5
2,LD,Con,SNP,skipped,skipped,3,5
3,LD,Con,SNP,skipped,skipped,3,5
4,LD,Con,SNP,skipped,skipped,3,5
5,LD,Con,SNP,skipped,skipped,3,5
6,LD,Con,SNP,skipped,skipped,3,5
7,LD,Con,SNP,skipped,skipped,3,5
8,LD,Con,SNP,skipped,skipped,3,5
9,LD,Con,SNP,skipped,skipped,3,5
10,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
11,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
12,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
13,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
14,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
15,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
16,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
17,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
18,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
19,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
20,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
21,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
22,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
23,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
24,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
25,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
26,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
27,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
28,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
29,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
30,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
31,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
32,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
33,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
34,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
35,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
36,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
37,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
38,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
39,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
40,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
41,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
42,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
43,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
44,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
45,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
46,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
47,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
48,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
49,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
50,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
51,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
52,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
53,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
54,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
55,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
56,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
57,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
58,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
59,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
60,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
61,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
62,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
63,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
64,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
65,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
66,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
67,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
68,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
69,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
70,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
71,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
72,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
73,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
74,Jim MCGILLIVRAY (Ind),LD,skipped,skipped,skipped,3,5
