voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
1,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
2,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
3,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
4,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
5,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
6,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
7,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
8,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
9,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
10,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
11,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
12,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
13,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
14,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
15,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
16,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
17,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
18,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
19,UKIP,skipped,skipped,skipped,skipped,skipped,3,6
20,UKIP,Con,skipped,skipped,skipped,skipped,3,6
21,UKIP,Con,skipped,skipped,skipped,skipped,3,6
22,UKIP,Con,skipped,skipped,skipped,skipped,3,6
23,UKIP,Con,skipped,skipped,skipped,skipped,3,6
24,UKIP,Con,UKIP,skipped,skipped,skipped,3,6
25,UKIP,Con,UKIP,skipped,skipped,skipped,3,6
26,UKIP,Con,UKIP,skipped,skipped,skipped,3,6
27,UKIP,Con,UKIP,skipped,skipped,skipped,3,6
28,UKIP,Con,UKIP,SNP,Fiona Jane MURDOCH (Ind),SNP,3,6
29,UKIP,Con,UKIP,SNP,Fiona Jane MURDOCH (Ind),SNP,3,6
30,UKIP,Con,UKIP,Fiona Jane MURDOCH (Ind),skipped,skipped,3,6
31,UKIP,Con,UKIP,Fiona Jane MURDOCH (Ind),SNP,SNP,3,6
32,UKIP,Con,UKIP,Fiona Jane MURDOCH (Ind),SNP,SNP,3,6
33,UKIP,Con,UKIP,Fiona Jane MURDOCH (Ind),SNP,SNP,3,6
34,UKIP,Con,SNP,UKIP,SNP,Fiona Jane MURDOCH (Ind),3,6
35,UKIP,Con,Fiona Jane MURDOCH (Ind),skipped,skipped,skipped,3,6
36,UKIP,Con,Fiona Jane MURDOCH (Ind),skipped,skipped,skipped,3,6
37,UKIP,Con,Fiona Jane MURDOCH (Ind),skipped,skipped,skipped,3,6
38,UKIP,Con,Fiona Jane MURDOCH (Ind),skipped,skipped,skipped,3,6
39,UKIP,Con,Fiona Jane MURDOCH (Ind),skipped,skipped,skipped,3,6
40,UKIP,Con,SNP,skipped,skipped,skipped,3,6
41,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
42,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
43,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
44,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
45,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
46,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
47,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
48,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
49,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
50,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
51,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
52,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
53,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
54,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
55,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
56,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
57,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
58,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
59,UKIP,UKIP,skipped,skipped,skipped,skipped,3,6
60,UKIP,UKIP,Con,skipped,skipped,skipped,3,6
61,UKIP,UKIP,Con,skipped,skipped,skipped,3,6
62,UKIP,UKIP,Con,skipped,skipped,skipped,3,6
63,UKIP,UKIP,Con,skipped,skipped,skipped,3,6
64,UKIP,UKIP,Con,skipped,skipped,skipped,3,6
65,UKIP,UKIP,Con,skipped,skipped,skipped,3,6
66,UKIP,UKIP,Con,skipped,skipped,skipped,3,6
