voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
1,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
2,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
3,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
4,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
5,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
6,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
7,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
8,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
9,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
10,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
11,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
12,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
13,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
14,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
15,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
16,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
17,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
18,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
19,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
20,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
21,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
22,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
23,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
24,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
25,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
26,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
27,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
28,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
29,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
30,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
31,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
32,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
33,Billy ADAMS (Ind),skipped,skipped,skipped,skipped,skipped,3,6
34,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
35,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
36,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
37,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
38,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
39,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
40,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
41,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
42,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
43,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
44,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
45,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
46,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
47,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
48,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
49,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
50,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
51,Billy ADAMS (Ind),Con,skipped,skipped,skipped,skipped,3,6
52,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
53,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
54,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
55,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
56,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
57,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
58,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
59,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
60,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
61,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
62,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
63,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
64,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
65,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
66,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
67,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
68,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
69,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
70,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
71,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
72,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),skipped,skipped,skipped,3,6
73,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),SNP,SNP,Lab,3,6
74,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),SNP,SNP,Lab,3,6
75,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),SNP,Lab,SNP,3,6
76,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,skipped,skipped,3,6
77,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,skipped,skipped,3,6
78,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,skipped,skipped,3,6
79,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,skipped,skipped,3,6
80,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,SNP,SNP,3,6
81,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,SNP,SNP,3,6
82,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,SNP,SNP,3,6
83,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,SNP,SNP,3,6
84,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,SNP,SNP,3,6
85,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,SNP,SNP,3,6
86,Billy ADAMS (Ind),Con,Sandy COOPER (Ind),Lab,SNP,SNP,3,6
87,Billy ADAMS (Ind),Con,SNP,skipped,skipped,skipped,3,6
88,Billy ADAMS (Ind),Con,SNP,skipped,skipped,skipped,3,6
89,Billy ADAMS (Ind),Con,SNP,skipped,skipped,skipped,3,6
90,Billy ADAMS (Ind),Con,SNP,Sandy COOPER (Ind),SNP,Lab,3,6
91,Billy ADAMS (Ind),Con,SNP,Sandy COOPER (Ind),SNP,Lab,3,6
92,Billy ADAMS (Ind),Con,SNP,Sandy COOPER (Ind),SNP,Lab,3,6
93,Billy ADAMS (Ind),Con,SNP,skipped,skipped,skipped,3,6
94,Billy ADAMS (Ind),Con,SNP,Sandy COOPER (Ind),Lab,SNP,3,6
95,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
96,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
97,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
98,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
99,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
100,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
101,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
102,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
103,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
104,Billy ADAMS (Ind),Con,Lab,skipped,skipped,skipped,3,6
105,Billy ADAMS (Ind),Con,Lab,Sandy COOPER (Ind),skipped,skipped,3,6
106,Billy ADAMS (Ind),Con,Lab,Sandy COOPER (Ind),SNP,SNP,3,6
107,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
108,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
109,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
110,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
111,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
112,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
113,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
114,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
115,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
116,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
117,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
118,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
119,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
120,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
121,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
122,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
123,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
124,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
125,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
126,Billy ADAMS (Ind),Sandy COOPER (Ind),skipped,skipped,skipped,skipped,3,6
127,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
128,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
129,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
130,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
131,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
132,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
133,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
134,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
135,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
136,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
137,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
138,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
139,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,skipped,skipped,skipped,3,6
140,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,SNP,SNP,skipped,3,6
141,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,SNP,SNP,Lab,3,6
142,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,skipped,skipped,3,6
143,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,skipped,skipped,3,6
144,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,skipped,skipped,3,6
145,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,skipped,skipped,3,6
146,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,skipped,skipped,3,6
147,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,skipped,skipped,3,6
148,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,SNP,SNP,3,6
149,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,SNP,SNP,3,6
150,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,SNP,SNP,3,6
151,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,SNP,SNP,3,6
152,Billy ADAMS (Ind),Sandy COOPER (Ind),Con,Lab,SNP,SNP,3,6
