voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,SNP,skipped,skipped,skipped,skipped,skipped,4,6
1,SNP,skipped,skipped,skipped,skipped,skipped,4,6
2,SNP,skipped,skipped,skipped,skipped,skipped,4,6
3,SNP,skipped,skipped,skipped,skipped,skipped,4,6
4,SNP,skipped,skipped,skipped,skipped,skipped,4,6
5,SNP,skipped,skipped,skipped,skipped,skipped,4,6
6,SNP,skipped,skipped,skipped,skipped,skipped,4,6
7,SNP,skipped,skipped,skipped,skipped,skipped,4,6
8,SNP,skipped,skipped,skipped,skipped,skipped,4,6
9,SNP,skipped,skipped,skipped,skipped,skipped,4,6
10,SNP,skipped,skipped,skipped,skipped,skipped,4,6
11,SNP,skipped,skipped,skipped,skipped,skipped,4,6
12,SNP,skipped,skipped,skipped,skipped,skipped,4,6
13,SNP,skipped,skipped,skipped,skipped,skipped,4,6
14,SNP,skipped,skipped,skipped,skipped,skipped,4,6
15,SNP,skipped,skipped,skipped,skipped,skipped,4,6
16,SNP,skipped,skipped,skipped,skipped,skipped,4,6
17,SNP,skipped,skipped,skipped,skipped,skipped,4,6
18,SNP,skipped,skipped,skipped,skipped,skipped,4,6
19,SNP,skipped,skipped,skipped,skipped,skipped,4,6
20,SNP,skipped,skipped,skipped,skipped,skipped,4,6
21,SNP,skipped,skipped,skipped,skipped,skipped,4,6
22,SNP,skipped,skipped,skipped,skipped,skipped,4,6
23,SNP,skipped,skipped,skipped,skipped,skipped,4,6
24,SNP,SNP,skipped,skipped,skipped,skipped,4,6
25,SNP,SNP,skipped,skipped,skipped,skipped,4,6
26,SNP,SNP,skipped,skipped,skipped,skipped,4,6
27,SNP,SNP,skipped,skipped,skipped,skipped,4,6
28,SNP,SNP,skipped,skipped,skipped,skipped,4,6
29,SNP,SNP,skipped,skipped,skipped,skipped,4,6
30,SNP,SNP,skipped,skipped,skipped,skipped,4,6
31,SNP,SNP,skipped,skipped,skipped,skipped,4,6
32,SNP,SNP,skipped,skipped,skipped,skipped,4,6
33,SNP,SNP,skipped,skipped,skipped,skipped,4,6
34,SNP,SNP,skipped,skipped,skipped,skipped,4,6
35,SNP,SNP,skipped,skipped,skipped,skipped,4,6
36,SNP,SNP,skipped,skipped,skipped,skipped,4,6
37,SNP,SNP,skipped,skipped,skipped,skipped,4,6
38,SNP,SNP,skipped,skipped,skipped,skipped,4,6
39,SNP,SNP,skipped,skipped,skipped,skipped,4,6
40,SNP,SNP,skipped,skipped,skipped,skipped,4,6
41,SNP,SNP,skipped,skipped,skipped,skipped,4,6
42,SNP,SNP,skipped,skipped,skipped,skipped,4,6
43,SNP,SNP,skipped,skipped,skipped,skipped,4,6
44,SNP,SNP,skipped,skipped,skipped,skipped,4,6
45,SNP,SNP,skipped,skipped,skipped,skipped,4,6
46,SNP,SNP,skipped,skipped,skipped,skipped,4,6
47,SNP,SNP,skipped,skipped,skipped,skipped,4,6
48,SNP,SNP,skipped,skipped,skipped,skipped,4,6
49,SNP,SNP,skipped,skipped,skipped,skipped,4,6
50,SNP,SNP,skipped,skipped,skipped,skipped,4,6
51,SNP,SNP,skipped,skipped,skipped,skipped,4,6
52,SNP,SNP,skipped,skipped,skipped,skipped,4,6
53,SNP,SNP,skipped,skipped,skipped,skipped,4,6
54,SNP,SNP,skipped,skipped,skipped,skipped,4,6
55,SNP,SNP,skipped,skipped,skipped,skipped,4,6
56,SNP,SNP,skipped,skipped,skipped,skipped,4,6
57,SNP,SNP,skipped,skipped,skipped,skipped,4,6
58,SNP,SNP,skipped,skipped,skipped,skipped,4,6
59,SNP,SNP,skipped,skipped,skipped,skipped,4,6
60,SNP,SNP,skipped,skipped,skipped,skipped,4,6
61,SNP,SNP,skipped,skipped,skipped,skipped,4,6
62,SNP,SNP,skipped,skipped,skipped,skipped,4,6
63,SNP,SNP,skipped,skipped,skipped,skipped,4,6
64,SNP,SNP,skipped,skipped,skipped,skipped,4,6
65,SNP,SNP,skipped,skipped,skipped,skipped,4,6
66,SNP,SNP,skipped,skipped,skipped,skipped,4,6
67,SNP,SNP,skipped,skipped,skipped,skipped,4,6
68,SNP,SNP,skipped,skipped,skipped,skipped,4,6
69,SNP,SNP,skipped,skipped,skipped,skipped,4,6
70,SNP,SNP,skipped,skipped,skipped,skipped,4,6
71,SNP,SNP,skipped,skipped,skipped,skipped,4,6
72,SNP,SNP,skipped,skipped,skipped,skipped,4,6
73,SNP,SNP,skipped,skipped,skipped,skipped,4,6
74,SNP,SNP,skipped,skipped,skipped,skipped,4,6
75,SNP,SNP,skipped,skipped,skipped,skipped,4,6
76,SNP,SNP,skipped,skipped,skipped,skipped,4,6
77,SNP,SNP,skipped,skipped,skipped,skipped,4,6
78,SNP,SNP,skipped,skipped,skipped,skipped,4,6
79,SNP,SNP,skipped,skipped,skipped,skipped,4,6
80,SNP,SNP,skipped,skipped,skipped,skipped,4,6
81,SNP,SNP,skipped,skipped,skipped,skipped,4,6
82,SNP,SNP,skipped,skipped,skipped,skipped,4,6
83,SNP,SNP,skipped,skipped,skipped,skipped,4,6
84,SNP,SNP,skipped,skipped,skipped,skipped,4,6
85,SNP,SNP,skipped,skipped,skipped,skipped,4,6
86,SNP,SNP,skipped,skipped,skipped,skipped,4,6
87,SNP,SNP,skipped,skipped,skipped,skipped,4,6
88,SNP,SNP,skipped,skipped,skipped,skipped,4,6
89,SNP,SNP,skipped,skipped,skipped,skipped,4,6
90,SNP,SNP,skipped,skipped,skipped,skipped,4,6
91,SNP,SNP,skipped,skipped,skipped,skipped,4,6
92,SNP,SNP,skipped,skipped,skipped,skipped,4,6
93,SNP,SNP,skipped,skipped,skipped,skipped,4,6
94,SNP,SNP,skipped,skipped,skipped,skipped,4,6
95,SNP,SNP,skipped,skipped,skipped,skipped,4,6
96,SNP,SNP,skipped,skipped,skipped,skipped,4,6
97,SNP,SNP,skipped,skipped,skipped,skipped,4,6
98,SNP,SNP,skipped,skipped,skipped,skipped,4,6
99,SNP,SNP,skipped,skipped,skipped,skipped,4,6
100,SNP,SNP,skipped,skipped,skipped,skipped,4,6
101,SNP,SNP,skipped,skipped,skipped,skipped,4,6
102,SNP,SNP,skipped,skipped,skipped,skipped,4,6
103,SNP,SNP,skipped,skipped,skipped,skipped,4,6
104,SNP,SNP,skipped,skipped,skipped,skipped,4,6
105,SNP,SNP,skipped,skipped,skipped,skipped,4,6
106,SNP,SNP,skipped,skipped,skipped,skipped,4,6
107,SNP,SNP,skipped,skipped,skipped,skipped,4,6
108,SNP,SNP,skipped,skipped,skipped,skipped,4,6
109,SNP,SNP,skipped,skipped,skipped,skipped,4,6
110,SNP,SNP,skipped,skipped,skipped,skipped,4,6
111,SNP,SNP,skipped,skipped,skipped,skipped,4,6
112,SNP,SNP,skipped,skipped,skipped,skipped,4,6
113,SNP,SNP,skipped,skipped,skipped,skipped,4,6
114,SNP,SNP,skipped,skipped,skipped,skipped,4,6
115,SNP,SNP,skipped,skipped,skipped,skipped,4,6
116,SNP,SNP,skipped,skipped,skipped,skipped,4,6
117,SNP,SNP,skipped,skipped,skipped,skipped,4,6
118,SNP,SNP,skipped,skipped,skipped,skipped,4,6
119,SNP,SNP,skipped,skipped,skipped,skipped,4,6
120,SNP,SNP,skipped,skipped,skipped,skipped,4,6
121,SNP,SNP,skipped,skipped,skipped,skipped,4,6
122,SNP,SNP,skipped,skipped,skipped,skipped,4,6
123,SNP,SNP,skipped,skipped,skipped,skipped,4,6
124,SNP,SNP,skipped,skipped,skipped,skipped,4,6
125,SNP,SNP,skipped,skipped,skipped,skipped,4,6
126,SNP,SNP,skipped,skipped,skipped,skipped,4,6
127,SNP,SNP,skipped,skipped,skipped,skipped,4,6
128,SNP,SNP,skipped,skipped,skipped,skipped,4,6
129,SNP,SNP,skipped,skipped,skipped,skipped,4,6
130,SNP,SNP,skipped,skipped,skipped,skipped,4,6
131,SNP,SNP,skipped,skipped,skipped,skipped,4,6
132,SNP,SNP,skipped,skipped,skipped,skipped,4,6
133,SNP,SNP,skipped,skipped,skipped,skipped,4,6
134,SNP,SNP,skipped,skipped,skipped,skipped,4,6
135,SNP,SNP,skipped,skipped,skipped,skipped,4,6
136,SNP,SNP,skipped,skipped,skipped,skipped,4,6
137,SNP,SNP,skipped,skipped,skipped,skipped,4,6
138,SNP,SNP,skipped,skipped,skipped,skipped,4,6
139,SNP,SNP,skipped,skipped,skipped,skipped,4,6
140,SNP,SNP,skipped,skipped,skipped,skipped,4,6
141,SNP,SNP,skipped,skipped,skipped,skipped,4,6
142,SNP,SNP,skipped,skipped,skipped,skipped,4,6
143,SNP,SNP,skipped,skipped,skipped,skipped,4,6
144,SNP,SNP,skipped,skipped,skipped,skipped,4,6
145,SNP,SNP,skipped,skipped,skipped,skipped,4,6
146,SNP,SNP,skipped,skipped,skipped,skipped,4,6
147,SNP,SNP,skipped,skipped,skipped,skipped,4,6
148,SNP,SNP,skipped,skipped,skipped,skipped,4,6
149,SNP,SNP,skipped,skipped,skipped,skipped,4,6
150,SNP,SNP,skipped,skipped,skipped,skipped,4,6
151,SNP,SNP,skipped,skipped,skipped,skipped,4,6
152,SNP,SNP,skipped,skipped,skipped,skipped,4,6
153,SNP,SNP,skipped,skipped,skipped,skipped,4,6
154,SNP,SNP,skipped,skipped,skipped,skipped,4,6
155,SNP,SNP,skipped,skipped,skipped,skipped,4,6
156,SNP,SNP,skipped,skipped,skipped,skipped,4,6
157,SNP,SNP,skipped,skipped,skipped,skipped,4,6
158,SNP,SNP,skipped,skipped,skipped,skipped,4,6
159,SNP,SNP,skipped,skipped,skipped,skipped,4,6
160,SNP,SNP,skipped,skipped,skipped,skipped,4,6
161,SNP,SNP,skipped,skipped,skipped,skipped,4,6
162,SNP,SNP,skipped,skipped,skipped,skipped,4,6
163,SNP,SNP,skipped,skipped,skipped,skipped,4,6
164,SNP,SNP,skipped,skipped,skipped,skipped,4,6
165,SNP,SNP,skipped,skipped,skipped,skipped,4,6
166,SNP,SNP,skipped,skipped,skipped,skipped,4,6
167,SNP,SNP,skipped,skipped,skipped,skipped,4,6
168,SNP,SNP,skipped,skipped,skipped,skipped,4,6
169,SNP,SNP,skipped,skipped,skipped,skipped,4,6
170,SNP,SNP,skipped,skipped,skipped,skipped,4,6
171,SNP,SNP,skipped,skipped,skipped,skipped,4,6
172,SNP,SNP,skipped,skipped,skipped,skipped,4,6
173,SNP,SNP,skipped,skipped,skipped,skipped,4,6
174,SNP,SNP,skipped,skipped,skipped,skipped,4,6
175,SNP,SNP,skipped,skipped,skipped,skipped,4,6
176,SNP,SNP,skipped,skipped,skipped,skipped,4,6
177,SNP,SNP,skipped,skipped,skipped,skipped,4,6
178,SNP,SNP,skipped,skipped,skipped,skipped,4,6
179,SNP,SNP,skipped,skipped,skipped,skipped,4,6
180,SNP,SNP,skipped,skipped,skipped,skipped,4,6
181,SNP,SNP,skipped,skipped,skipped,skipped,4,6
182,SNP,SNP,skipped,skipped,skipped,skipped,4,6
183,SNP,SNP,skipped,skipped,skipped,skipped,4,6
184,SNP,SNP,skipped,skipped,skipped,skipped,4,6
185,SNP,SNP,skipped,skipped,skipped,skipped,4,6
186,SNP,SNP,skipped,skipped,skipped,skipped,4,6
187,SNP,SNP,skipped,skipped,skipped,skipped,4,6
188,SNP,SNP,skipped,skipped,skipped,skipped,4,6
189,SNP,SNP,skipped,skipped,skipped,skipped,4,6
190,SNP,SNP,skipped,skipped,skipped,skipped,4,6
191,SNP,SNP,skipped,skipped,skipped,skipped,4,6
192,SNP,SNP,skipped,skipped,skipped,skipped,4,6
193,SNP,SNP,skipped,skipped,skipped,skipped,4,6
194,SNP,SNP,skipped,skipped,skipped,skipped,4,6
195,SNP,SNP,skipped,skipped,skipped,skipped,4,6
196,SNP,SNP,skipped,skipped,skipped,skipped,4,6
197,SNP,SNP,skipped,skipped,skipped,skipped,4,6
198,SNP,SNP,skipped,skipped,skipped,skipped,4,6
199,SNP,SNP,skipped,skipped,skipped,skipped,4,6
200,SNP,SNP,skipped,skipped,skipped,skipped,4,6
201,SNP,SNP,skipped,skipped,skipped,skipped,4,6
202,SNP,SNP,skipped,skipped,skipped,skipped,4,6
203,SNP,SNP,skipped,skipped,skipped,skipped,4,6
204,SNP,SNP,skipped,skipped,skipped,skipped,4,6
205,SNP,SNP,skipped,skipped,skipped,skipped,4,6
206,SNP,SNP,skipped,skipped,skipped,skipped,4,6
207,SNP,SNP,skipped,skipped,skipped,skipped,4,6
208,SNP,SNP,skipped,skipped,skipped,skipped,4,6
209,SNP,SNP,skipped,skipped,skipped,skipped,4,6
210,SNP,SNP,skipped,skipped,skipped,skipped,4,6
211,SNP,SNP,skipped,skipped,skipped,skipped,4,6
212,SNP,SNP,skipped,skipped,skipped,skipped,4,6
213,SNP,SNP,skipped,skipped,skipped,skipped,4,6
214,SNP,SNP,skipped,skipped,skipped,skipped,4,6
215,SNP,SNP,skipped,skipped,skipped,skipped,4,6
216,SNP,SNP,skipped,skipped,skipped,skipped,4,6
217,SNP,SNP,skipped,skipped,skipped,skipped,4,6
218,SNP,SNP,skipped,skipped,skipped,skipped,4,6
219,SNP,SNP,skipped,skipped,skipped,skipped,4,6
220,SNP,SNP,skipped,skipped,skipped,skipped,4,6
221,SNP,SNP,skipped,skipped,skipped,skipped,4,6
222,SNP,SNP,skipped,skipped,skipped,skipped,4,6
223,SNP,SNP,skipped,skipped,skipped,skipped,4,6
224,SNP,SNP,skipped,skipped,skipped,skipped,4,6
225,SNP,SNP,skipped,skipped,skipped,skipped,4,6
226,SNP,SNP,skipped,skipped,skipped,skipped,4,6
227,SNP,SNP,skipped,skipped,skipped,skipped,4,6
228,SNP,SNP,skipped,skipped,skipped,skipped,4,6
229,SNP,SNP,skipped,skipped,skipped,skipped,4,6
230,SNP,SNP,skipped,skipped,skipped,skipped,4,6
231,SNP,SNP,skipped,skipped,skipped,skipped,4,6
232,SNP,SNP,skipped,skipped,skipped,skipped,4,6
233,SNP,SNP,skipped,skipped,skipped,skipped,4,6
234,SNP,SNP,skipped,skipped,skipped,skipped,4,6
235,SNP,SNP,skipped,skipped,skipped,skipped,4,6
236,SNP,SNP,skipped,skipped,skipped,skipped,4,6
237,SNP,SNP,skipped,skipped,skipped,skipped,4,6
238,SNP,SNP,skipped,skipped,skipped,skipped,4,6
239,SNP,SNP,skipped,skipped,skipped,skipped,4,6
240,SNP,SNP,skipped,skipped,skipped,skipped,4,6
241,SNP,SNP,skipped,skipped,skipped,skipped,4,6
242,SNP,SNP,skipped,skipped,skipped,skipped,4,6
243,SNP,SNP,skipped,skipped,skipped,skipped,4,6
244,SNP,SNP,skipped,skipped,skipped,skipped,4,6
245,SNP,SNP,skipped,skipped,skipped,skipped,4,6
246,SNP,SNP,skipped,skipped,skipped,skipped,4,6
247,SNP,SNP,skipped,skipped,skipped,skipped,4,6
248,SNP,SNP,skipped,skipped,skipped,skipped,4,6
249,SNP,SNP,skipped,skipped,skipped,skipped,4,6
