voterId,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
0,LD,skipped,skipped,skipped,skipped,3,5
1,LD,skipped,skipped,skipped,skipped,3,5
2,LD,skipped,skipped,skipped,skipped,3,5
3,LD,skipped,skipped,skipped,skipped,3,5
4,LD,skipped,skipped,skipped,skipped,3,5
5,LD,skipped,skipped,skipped,skipped,3,5
6,LD,skipped,skipped,skipped,skipped,3,5
7,LD,skipped,skipped,skipped,skipped,3,5
8,LD,skipped,skipped,skipped,skipped,3,5
9,LD,skipped,skipped,skipped,skipped,3,5
10,LD,skipped,skipped,skipped,skipped,3,5
11,LD,skipped,skipped,skipped,skipped,3,5
12,LD,skipped,skipped,skipped,skipped,3,5
13,LD,skipped,skipped,skipped,skipped,3,5
14,LD,skipped,skipped,skipped,skipped,3,5
15,LD,skipped,skipped,skipped,skipped,3,5
16,LD,skipped,skipped,skipped,skipped,3,5
17,LD,skipped,skipped,skipped,skipped,3,5
18,LD,skipped,skipped,skipped,skipped,3,5
19,LD,skipped,skipped,skipped,skipped,3,5
20,LD,skipped,skipped,skipped,skipped,3,5
21,LD,skipped,skipped,skipped,skipped,3,5
22,LD,skipped,skipped,skipped,skipped,3,5
23,LD,skipped,skipped,skipped,skipped,3,5
24,LD,SNP,skipped,skipped,skipped,3,5
25,LD,SNP,skipped,skipped,skipped,3,5
26,LD,SNP,Lab,skipped,skipped,3,5
27,LD,SNP,Lab,skipped,skipped,3,5
28,LD,SNP,Lab,skipped,skipped,3,5
29,LD,SNP,Lab,skipped,skipped,3,5
30,LD,SNP,Lab,Con,SNP,3,5
31,LD,SNP,Lab,SNP,Con,3,5
32,LD,SNP,Con,skipped,skipped,3,5
33,LD,SNP,SNP,skipped,skipped,3,5
34,LD,SNP,SNP,skipped,skipped,3,5
35,LD,SNP,SNP,skipped,skipped,3,5
36,LD,SNP,SNP,skipped,skipped,3,5
37,LD,SNP,SNP,skipped,skipped,3,5
38,LD,SNP,SNP,skipped,skipped,3,5
39,LD,SNP,SNP,skipped,skipped,3,5
40,LD,SNP,SNP,skipped,skipped,3,5
41,LD,SNP,SNP,skipped,skipped,3,5
42,LD,Lab,skipped,skipped,skipped,3,5
43,LD,Lab,skipped,skipped,skipped,3,5
44,LD,Lab,skipped,skipped,skipped,3,5
45,LD,Lab,skipped,skipped,skipped,3,5
46,LD,Lab,skipped,skipped,skipped,3,5
47,LD,Lab,skipped,skipped,skipped,3,5
48,LD,Lab,skipped,skipped,skipped,3,5
49,LD,Lab,skipped,skipped,skipped,3,5
50,LD,Lab,skipped,skipped,skipped,3,5
51,LD,Lab,skipped,skipped,skipped,3,5
52,LD,Lab,skipped,skipped,skipped,3,5
53,LD,Lab,skipped,skipped,skipped,3,5
54,LD,Lab,skipped,skipped,skipped,3,5
55,LD,Lab,skipped,skipped,skipped,3,5
56,LD,Lab,skipped,skipped,skipped,3,5
57,LD,Lab,skipped,skipped,skipped,3,5
58,LD,Lab,skipped,skipped,skipped,3,5
59,LD,Lab,skipped,skipped,skipped,3,5
60,LD,Lab,skipped,skipped,skipped,3,5
61,LD,Lab,skipped,skipped,skipped,3,5
62,LD,Lab,skipped,skipped,skipped,3,5
63,LD,Lab,skipped,skipped,skipped,3,5
64,LD,Lab,SNP,skipped,skipped,3,5
65,LD,Lab,SNP,SNP,skipped,3,5
66,LD,Lab,SNP,SNP,skipped,3,5
67,LD,Lab,SNP,SNP,Con,3,5
68,LD,Lab,SNP,SNP,Con,3,5
69,LD,Lab,SNP,SNP,Con,3,5
70,LD,Lab,SNP,SNP,Con,3,5
71,LD,Lab,Con,skipped,skipped,3,5
72,LD,Lab,Con,skipped,skipped,3,5
73,LD,Lab,Con,skipped,skipped,3,5
74,LD,Lab,Con,skipped,skipped,3,5
75,LD,Lab,Con,skipped,skipped,3,5
76,LD,Lab,Con,skipped,skipped,3,5
77,LD,Lab,Con,skipped,skipped,3,5
78,LD,Lab,Con,skipped,skipped,3,5
79,LD,Lab,Con,skipped,skipped,3,5
80,LD,Lab,Con,skipped,skipped,3,5
81,LD,Lab,Con,skipped,skipped,3,5
82,LD,Lab,Con,skipped,skipped,3,5
83,LD,Lab,Con,skipped,skipped,3,5
84,LD,Lab,Con,skipped,skipped,3,5
85,LD,Lab,Con,skipped,skipped,3,5
86,LD,Lab,Con,skipped,skipped,3,5
87,LD,Lab,Con,skipped,skipped,3,5
88,LD,Lab,Con,skipped,skipped,3,5
89,LD,Lab,Con,skipped,skipped,3,5
90,LD,Lab,Con,skipped,skipped,3,5
91,LD,Lab,Con,skipped,skipped,3,5
92,LD,Lab,Con,skipped,skipped,3,5
93,LD,Lab,Con,SNP,SNP,3,5
94,LD,Lab,Con,SNP,SNP,3,5
95,LD,Lab,Con,SNP,SNP,3,5
96,LD,Lab,Con,SNP,SNP,3,5
97,LD,Lab,Con,SNP,SNP,3,5
98,LD,Lab,Con,SNP,SNP,3,5
99,LD,Lab,Con,SNP,SNP,3,5
100,LD,Lab,SNP,skipped,skipped,3,5
101,LD,Lab,SNP,SNP,skipped,3,5
102,LD,Lab,SNP,SNP,skipped,3,5
103,LD,Lab,SNP,SNP,Con,3,5
104,LD,Lab,SNP,Con,SNP,3,5
105,LD,Con,skipped,skipped,skipped,3,5
106,LD,Con,skipped,skipped,skipped,3,5
107,LD,Con,skipped,skipped,skipped,3,5
108,LD,Con,skipped,skipped,skipped,3,5
109,LD,Con,skipped,skipped,skipped,3,5
110,LD,Con,skipped,skipped,skipped,3,5
111,LD,Con,skipped,skipped,skipped,3,5
112,LD,Con,skipped,skipped,skipped,3,5
113,LD,Con,skipped,skipped,skipped,3,5
114,LD,Con,skipped,skipped,skipped,3,5
115,LD,Con,skipped,skipped,skipped,3,5
116,LD,Con,skipped,skipped,skipped,3,5
117,LD,Con,skipped,skipped,skipped,3,5
118,LD,Con,skipped,skipped,skipped,3,5
119,LD,Con,skipped,skipped,skipped,3,5
120,LD,Con,skipped,skipped,skipped,3,5
121,LD,Con,skipped,skipped,skipped,3,5
122,LD,Con,skipped,skipped,skipped,3,5
