voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
1,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
2,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
3,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
4,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
5,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
6,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
7,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
8,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
9,Lab,Lab,LD,SNP,SNP,skipped,skipped,4,7
10,Lab,Lab,LD,SNP,SNP,skipped,skipped,4,7
11,SNP,Grn,SNP,LD,Lab,Lab,skipped,4,7
12,SNP,LD,Lab,Lab,SNP,Grn,skipped,4,7
13,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
14,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
15,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
16,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
17,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
18,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
19,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
20,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
21,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
22,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
23,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
24,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
25,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
26,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
27,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
28,SNP,SNP,Grn,Lab,Lab,skipped,skipped,4,7
29,Lab,Lab,LD,SNP,SNP,Grn,Con,4,7
30,Lab,Lab,LD,SNP,SNP,Grn,Con,4,7
31,LD,Lab,Grn,Lab,SNP,SNP,Con,4,7
32,LD,Lab,Grn,Lab,SNP,SNP,Con,4,7
33,SNP,SNP,Con,LD,Lab,Lab,Grn,4,7
34,Con,SNP,SNP,skipped,skipped,skipped,skipped,4,7
35,SNP,SNP,LD,Lab,Lab,Grn,Con,4,7
36,SNP,SNP,LD,Lab,Lab,Grn,Con,4,7
37,SNP,SNP,LD,Lab,Lab,Grn,Con,4,7
38,Con,LD,Grn,Lab,Lab,SNP,SNP,4,7
39,Grn,SNP,SNP,LD,Con,Lab,Lab,4,7
40,Lab,LD,SNP,skipped,skipped,skipped,skipped,4,7
41,Lab,LD,SNP,skipped,skipped,skipped,skipped,4,7
42,Lab,Lab,Con,SNP,Grn,LD,SNP,4,7
43,Lab,Grn,LD,skipped,skipped,skipped,skipped,4,7
44,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
45,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
46,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
47,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
48,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
49,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
50,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
51,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
52,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
53,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
54,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
55,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
56,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
57,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
58,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
59,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
60,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
61,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
62,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
63,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
64,SNP,SNP,Grn,LD,skipped,skipped,skipped,4,7
65,SNP,SNP,Lab,Lab,LD,Grn,skipped,4,7
66,SNP,SNP,Lab,Lab,LD,Grn,skipped,4,7
67,SNP,SNP,Lab,Lab,LD,Grn,skipped,4,7
68,SNP,SNP,Lab,Lab,LD,Grn,skipped,4,7
