voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
1,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
2,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
3,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
4,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
5,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
6,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
7,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
8,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
9,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
10,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
11,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
12,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
13,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
14,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
15,Peter CAMPBELL (Ind),skipped,skipped,skipped,skipped,skipped,skipped,4,7
16,Peter CAMPBELL (Ind),Jim HENRY (Ind),skipped,skipped,skipped,skipped,skipped,4,7
17,Peter CAMPBELL (Ind),Jim HENRY (Ind),skipped,skipped,skipped,skipped,skipped,4,7
18,Peter CAMPBELL (Ind),Jim HENRY (Ind),Robbie LEITH (Ind),skipped,skipped,skipped,skipped,4,7
19,Peter CAMPBELL (Ind),Jim HENRY (Ind),Robbie LEITH (Ind),skipped,skipped,skipped,skipped,4,7
20,Peter CAMPBELL (Ind),Jim HENRY (Ind),Robbie LEITH (Ind),Amanda WESTLAKE (Ind),skipped,skipped,skipped,4,7
21,Peter CAMPBELL (Ind),Jim HENRY (Ind),SNP,skipped,skipped,skipped,skipped,4,7
22,Peter CAMPBELL (Ind),Jim HENRY (Ind),Cecil Laing SMITH (Ind),skipped,skipped,skipped,skipped,4,7
23,Peter CAMPBELL (Ind),Jim HENRY (Ind),Cecil Laing SMITH (Ind),skipped,skipped,skipped,skipped,4,7
24,Peter CAMPBELL (Ind),Jim HENRY (Ind),Cecil Laing SMITH (Ind),skipped,skipped,skipped,skipped,4,7
25,Peter CAMPBELL (Ind),Jim HENRY (Ind),Cecil Laing SMITH (Ind),Robbie LEITH (Ind),SNP,Amanda WESTLAKE (Ind),skipped,4,7
26,Peter CAMPBELL (Ind),Jim HENRY (Ind),Amanda WESTLAKE (Ind),skipped,skipped,skipped,skipped,4,7
27,Peter CAMPBELL (Ind),Jim HENRY (Ind),Amanda WESTLAKE (Ind),Robbie LEITH (Ind),Jonathan WILLS (Ind),Cecil Laing SMITH (Ind),SNP,4,7
28,Peter CAMPBELL (Ind),Jim HENRY (Ind),Amanda WESTLAKE (Ind),Cecil Laing SMITH (Ind),skipped,skipped,skipped,4,7
29,Peter CAMPBELL (Ind),Jim HENRY (Ind),Jonathan WILLS (Ind),skipped,skipped,skipped,skipped,4,7
30,Peter CAMPBELL (Ind),Jim HENRY (Ind),Jonathan WILLS (Ind),skipped,skipped,skipped,skipped,4,7
31,Peter CAMPBELL (Ind),Jim HENRY (Ind),Jonathan WILLS (Ind),Amanda WESTLAKE (Ind),Robbie LEITH (Ind),Cecil Laing SMITH (Ind),SNP,4,7
32,Peter CAMPBELL (Ind),Robbie LEITH (Ind),skipped,skipped,skipped,skipped,skipped,4,7
33,Peter CAMPBELL (Ind),Robbie LEITH (Ind),skipped,skipped,skipped,skipped,skipped,4,7
34,Peter CAMPBELL (Ind),Robbie LEITH (Ind),skipped,skipped,skipped,skipped,skipped,4,7
35,Peter CAMPBELL (Ind),Robbie LEITH (Ind),skipped,skipped,skipped,skipped,skipped,4,7
36,Peter CAMPBELL (Ind),Robbie LEITH (Ind),skipped,skipped,skipped,skipped,skipped,4,7
37,Peter CAMPBELL (Ind),Robbie LEITH (Ind),skipped,skipped,skipped,skipped,skipped,4,7
38,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Jim HENRY (Ind),skipped,skipped,skipped,skipped,4,7
39,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Jim HENRY (Ind),skipped,skipped,skipped,skipped,4,7
40,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Jim HENRY (Ind),skipped,skipped,skipped,skipped,4,7
41,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Jim HENRY (Ind),skipped,skipped,skipped,skipped,4,7
42,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Jim HENRY (Ind),skipped,skipped,skipped,skipped,4,7
43,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Jim HENRY (Ind),Cecil Laing SMITH (Ind),Amanda WESTLAKE (Ind),skipped,skipped,4,7
44,Peter CAMPBELL (Ind),Robbie LEITH (Ind),SNP,Jonathan WILLS (Ind),skipped,skipped,skipped,4,7
45,Peter CAMPBELL (Ind),Robbie LEITH (Ind),SNP,Jonathan WILLS (Ind),Amanda WESTLAKE (Ind),Cecil Laing SMITH (Ind),Jim HENRY (Ind),4,7
46,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Cecil Laing SMITH (Ind),Jim HENRY (Ind),skipped,skipped,skipped,4,7
47,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Amanda WESTLAKE (Ind),skipped,skipped,skipped,skipped,4,7
48,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Amanda WESTLAKE (Ind),skipped,skipped,skipped,skipped,4,7
49,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Amanda WESTLAKE (Ind),skipped,skipped,skipped,skipped,4,7
50,Peter CAMPBELL (Ind),Robbie LEITH (Ind),Amanda WESTLAKE (Ind),skipped,skipped,skipped,skipped,4,7
