voterId,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
0,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
1,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
2,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
3,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
4,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
5,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
6,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
7,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
8,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
9,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
10,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
11,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
12,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
13,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
14,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
15,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
16,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
17,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
18,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
19,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
20,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
21,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
22,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
23,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
24,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
25,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
26,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
27,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
28,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
29,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
30,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
31,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
32,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
33,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
34,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
35,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
36,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
37,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
38,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
39,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
40,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
41,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
42,Stuart BORROWMAN (Ind),skipped,skipped,skipped,skipped,3,5
