voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
1,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
2,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
3,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
4,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
5,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
6,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
7,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
8,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
9,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
10,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
11,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
12,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
13,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
14,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
15,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
16,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
17,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
18,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
19,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
20,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
21,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
22,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
23,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
24,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
25,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
26,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
27,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
28,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
29,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
30,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
31,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
32,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
33,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
34,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
35,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
36,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
37,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
38,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
39,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
40,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
41,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
42,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
43,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
44,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
45,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
46,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
47,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
48,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
49,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
50,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
51,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
52,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
53,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
54,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
55,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
56,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
57,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
58,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
59,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
60,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
61,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
62,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
63,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
64,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
65,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
66,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
67,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
68,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
69,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
70,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
71,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
72,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
73,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
74,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
75,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
76,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
77,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
78,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
79,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
80,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
81,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
82,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
83,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
84,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
85,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
86,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
87,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
88,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
89,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
90,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
91,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
92,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
93,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
94,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
95,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
96,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
97,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
98,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
99,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
100,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
101,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
102,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
103,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
104,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
105,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
106,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
107,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
108,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
109,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
110,James HYNAM (Lab),skipped,skipped,skipped,skipped,skipped,,6
111,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
112,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
113,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
114,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
115,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
116,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
117,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
118,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
119,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
120,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
121,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
122,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
123,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
124,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
125,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
126,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
127,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
128,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
129,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
130,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
131,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
132,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
133,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
134,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
135,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
136,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
137,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
138,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
139,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
140,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
141,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
142,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
143,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
144,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
145,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
146,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
147,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
148,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
149,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
150,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
151,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
152,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
153,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
154,James HYNAM (Lab),Shaun MOAT (Ind),skipped,skipped,skipped,skipped,,6
