voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
1,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
2,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
3,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
4,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
5,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
6,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
7,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
8,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
9,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
10,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
11,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
12,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
13,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
14,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
15,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
16,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
17,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
18,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
19,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
20,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
21,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
22,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
23,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
24,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
25,John MCLAREN (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,7
