voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
22,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
23,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
24,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
25,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
26,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
27,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
28,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
29,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
30,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
31,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
32,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
33,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
34,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
35,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
36,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
37,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
38,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
39,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
40,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
41,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
42,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
43,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
44,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
45,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
46,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
47,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
48,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
49,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
50,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
51,(LD) Steve DELANEY,skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
