voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,numSeats,numCands
0,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
1,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
2,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
3,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
4,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
5,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
6,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
7,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
8,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
9,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
10,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
11,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
12,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
13,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
14,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
15,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
16,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
17,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
18,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
19,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
20,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
21,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
22,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
23,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
24,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
25,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
26,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
27,James KERR (Con),skipped,skipped,skipped,skipped,skipped,skipped,,7
