voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Simon TATE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Simon TATE (SNP),Alastair MACINTYRE (UKIP),skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Simon TATE (SNP),Alastair MACINTYRE (UKIP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,,8
16,Simon TATE (SNP),Alastair MACINTYRE (UKIP),Pat CALLAGHAN (Lab),skipped,skipped,skipped,skipped,skipped,,8
17,Simon TATE (SNP),Alastair MACINTYRE (UKIP),Pat CALLAGHAN (Lab),skipped,skipped,skipped,skipped,skipped,,8
18,Simon TATE (SNP),Alastair MACINTYRE (UKIP),Jason MCGILVRAY (Ind),skipped,skipped,skipped,skipped,skipped,,8
19,Simon TATE (SNP),Alastair MACINTYRE (UKIP),Mike SHIRKIE (Lab),Pat CALLAGHAN (Lab),skipped,skipped,skipped,skipped,,8
20,Simon TATE (SNP),Iain DEMPSEY (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
21,Simon TATE (SNP),Iain DEMPSEY (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
22,Simon TATE (SNP),Iain DEMPSEY (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
23,Simon TATE (SNP),Iain DEMPSEY (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
24,Simon TATE (SNP),Iain DEMPSEY (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
25,Simon TATE (SNP),Iain DEMPSEY (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
26,Simon TATE (SNP),Iain DEMPSEY (Con),Alastair MACINTYRE (UKIP),skipped,skipped,skipped,skipped,skipped,,8
27,Simon TATE (SNP),Iain DEMPSEY (Con),Alastair MACINTYRE (UKIP),skipped,skipped,skipped,skipped,skipped,,8
28,Simon TATE (SNP),Iain DEMPSEY (Con),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,,8
29,Simon TATE (SNP),Iain DEMPSEY (Con),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,,8
30,Simon TATE (SNP),Iain DEMPSEY (Con),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,,8
31,Simon TATE (SNP),Iain DEMPSEY (Con),Pat CALLAGHAN (Lab),skipped,skipped,skipped,skipped,skipped,,8
32,Simon TATE (SNP),Iain DEMPSEY (Con),Pat CALLAGHAN (Lab),skipped,skipped,skipped,skipped,skipped,,8
33,Simon TATE (SNP),Iain DEMPSEY (Con),Audrey DUNSMORE (LD),skipped,skipped,skipped,skipped,skipped,,8
34,Simon TATE (SNP),Iain DEMPSEY (Con),Audrey DUNSMORE (LD),Alastair MACINTYRE (UKIP),Mike SHIRKIE (Lab),Jason MCGILVRAY (Ind),skipped,skipped,,8
35,Simon TATE (SNP),Iain DEMPSEY (Con),Mike SHIRKIE (Lab),skipped,skipped,skipped,skipped,skipped,,8
36,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
37,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
38,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
39,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
40,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
41,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
42,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
43,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
44,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
45,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
46,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
47,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
48,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
49,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
50,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
51,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
52,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
53,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
54,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
55,Simon TATE (SNP),Douglas CHAPMAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,8
