voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
14,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
15,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
16,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
18,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
19,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
20,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
21,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
22,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
23,Alice WALSH (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
24,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
25,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
26,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
27,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
28,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
29,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
30,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
31,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
32,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
33,Alice WALSH (Grn),Alistair MUNRO (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
34,Alice WALSH (Grn),Alistair MUNRO (Lab),Iona MACGREGOR (Ind),skipped,skipped,skipped,skipped,skipped,,8
35,Alice WALSH (Grn),Alistair MUNRO (Lab),Iona MACGREGOR (Ind),skipped,skipped,skipped,skipped,skipped,,8
36,Alice WALSH (Grn),Alistair MUNRO (Lab),Iona MACGREGOR (Ind),skipped,skipped,skipped,skipped,skipped,,8
37,Alice WALSH (Grn),Alistair MUNRO (Lab),Iona MACGREGOR (Ind),skipped,skipped,skipped,skipped,skipped,,8
38,Alice WALSH (Grn),Alistair MUNRO (Lab),Iona MACGREGOR (Ind),skipped,skipped,skipped,skipped,skipped,,8
39,Alice WALSH (Grn),Alistair MUNRO (Lab),Iona MACGREGOR (Ind),skipped,skipped,skipped,skipped,skipped,,8
40,Alice WALSH (Grn),Alistair MUNRO (Lab),Iona MACGREGOR (Ind),Murray DUNCAN (SNP),Bob BAND (SNP),skipped,skipped,skipped,,8
41,Alice WALSH (Grn),Alistair MUNRO (Lab),Bob BAND (SNP),Lorraine CADDELL (LD),skipped,skipped,skipped,skipped,,8
42,Alice WALSH (Grn),Alistair MUNRO (Lab),Bob BAND (SNP),Murray DUNCAN (SNP),skipped,skipped,skipped,skipped,,8
43,Alice WALSH (Grn),Alistair MUNRO (Lab),Lorraine CADDELL (LD),skipped,skipped,skipped,skipped,skipped,,8
