voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Jack MURPHY (SFP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Jack MURPHY (SFP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Jack MURPHY (SFP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Jack MURPHY (SFP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Jack MURPHY (SFP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Jack MURPHY (SFP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Jack MURPHY (SFP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Jack MURPHY (SFP),Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Jack MURPHY (SFP),Louise RAMSAY (Grn),Bernard NOONAN (Ind),Gordon Ross CLARK (LD),Caroline SHIERS (Con),Pauline HUNTER (Lab),Tom MCEWAN (SNP),skipped,skipped,,9
9,Jack MURPHY (SFP),Louise RAMSAY (Grn),Bob BRAWN (Con),Caroline SHIERS (Con),Bernard NOONAN (Ind),skipped,skipped,skipped,skipped,,9
10,Jack MURPHY (SFP),Louise RAMSAY (Grn),Pauline HUNTER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Jack MURPHY (SFP),Louise RAMSAY (Grn),Pauline HUNTER (Lab),Gordon Ross CLARK (LD),Caroline SHIERS (Con),skipped,skipped,skipped,skipped,,9
12,Jack MURPHY (SFP),Louise RAMSAY (Grn),Tom MCEWAN (SNP),Harry MACFADYEN (SNP),Gordon Ross CLARK (LD),Pauline HUNTER (Lab),Bob BRAWN (Con),skipped,skipped,,9
13,Jack MURPHY (SFP),Gordon Ross CLARK (LD),Louise RAMSAY (Grn),Bernard NOONAN (Ind),skipped,skipped,skipped,skipped,skipped,,9
14,Jack MURPHY (SFP),Gordon Ross CLARK (LD),Caroline SHIERS (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Jack MURPHY (SFP),Gordon Ross CLARK (LD),Pauline HUNTER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Jack MURPHY (SFP),Caroline SHIERS (Con),Bernard NOONAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
17,Jack MURPHY (SFP),Caroline SHIERS (Con),Gordon Ross CLARK (LD),skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Jack MURPHY (SFP),Caroline SHIERS (Con),Bob BRAWN (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Jack MURPHY (SFP),Caroline SHIERS (Con),Bob BRAWN (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Jack MURPHY (SFP),Caroline SHIERS (Con),Bob BRAWN (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Jack MURPHY (SFP),Caroline SHIERS (Con),Bob BRAWN (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
22,Jack MURPHY (SFP),Caroline SHIERS (Con),Bob BRAWN (Con),Bernard NOONAN (Ind),Tom MCEWAN (SNP),Pauline HUNTER (Lab),Gordon Ross CLARK (LD),skipped,skipped,,9
23,Jack MURPHY (SFP),Caroline SHIERS (Con),Tom MCEWAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
24,Jack MURPHY (SFP),Bob BRAWN (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
25,Jack MURPHY (SFP),Bob BRAWN (Con),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
26,Jack MURPHY (SFP),Bob BRAWN (Con),Caroline SHIERS (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
27,Jack MURPHY (SFP),Bob BRAWN (Con),Caroline SHIERS (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
28,Jack MURPHY (SFP),Bob BRAWN (Con),Caroline SHIERS (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
29,Jack MURPHY (SFP),Bob BRAWN (Con),Caroline SHIERS (Con),skipped,skipped,skipped,skipped,skipped,skipped,,9
30,Jack MURPHY (SFP),Bob BRAWN (Con),Caroline SHIERS (Con),Gordon Ross CLARK (LD),Tom MCEWAN (SNP),Harry MACFADYEN (SNP),Pauline HUNTER (Lab),skipped,skipped,,9
31,Jack MURPHY (SFP),Pauline HUNTER (Lab),Gordon Ross CLARK (LD),skipped,skipped,skipped,skipped,skipped,skipped,,9
32,Jack MURPHY (SFP),Pauline HUNTER (Lab),Harry MACFADYEN (SNP),Tom MCEWAN (SNP),Bernard NOONAN (Ind),skipped,skipped,skipped,skipped,,9
33,Jack MURPHY (SFP),Tom MCEWAN (SNP),Harry MACFADYEN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
34,Jack MURPHY (SFP),Tom MCEWAN (SNP),Harry MACFADYEN (SNP),Bernard NOONAN (Ind),skipped,skipped,skipped,skipped,skipped,,9
35,Jack MURPHY (SFP),Harry MACFADYEN (SNP),Pauline HUNTER (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,9
36,Jack MURPHY (SFP),Harry MACFADYEN (SNP),Tom MCEWAN (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
37,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
38,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
39,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
40,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
41,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
42,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
43,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
44,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
45,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
46,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
47,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
48,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
49,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
50,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
51,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
52,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
53,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
54,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
55,Louise RAMSAY (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
