voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
1,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
2,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
3,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
4,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
5,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
6,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
7,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
8,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
9,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
10,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
11,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
12,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
13,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
14,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
15,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
16,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
17,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
18,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
19,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
20,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
21,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
22,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
23,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
24,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
25,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
26,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
27,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
28,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
29,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
30,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
31,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
32,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
33,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
34,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
35,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
36,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
37,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
38,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
39,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
40,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
41,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
42,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
43,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
44,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
45,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
46,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
47,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
48,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
49,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
50,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
51,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
52,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
53,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
54,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
55,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
56,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
57,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
58,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
59,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
60,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
61,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
62,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
63,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
64,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
65,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
66,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
67,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
68,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
69,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
70,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
71,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
72,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
73,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
74,Margaret TONER (Con),skipped,skipped,skipped,skipped,skipped,,6
75,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
76,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
77,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
78,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
79,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
80,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
81,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
82,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
83,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
84,Margaret TONER (Con),Alasdair John MALCOLM (Ind),skipped,skipped,skipped,skipped,,6
85,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Ian COCHRANE (SNP),skipped,skipped,skipped,,6
86,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Ian COCHRANE (SNP),Helen MOONIE (Lab),skipped,skipped,,6
87,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Ian COCHRANE (SNP),Hugh HUNTER (Con),skipped,skipped,,6
88,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
89,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
90,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
91,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
92,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
93,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
94,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
95,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
96,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
97,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
98,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
99,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
100,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
101,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
102,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
103,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
104,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
105,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
106,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
107,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),skipped,skipped,skipped,,6
108,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Hugh HUNTER (Con),Ian COCHRANE (SNP),skipped,skipped,,6
109,Margaret TONER (Con),Alasdair John MALCOLM (Ind),John WALLACE (SNP),skipped,skipped,skipped,,6
110,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Helen MOONIE (Lab),skipped,skipped,skipped,,6
111,Margaret TONER (Con),Alasdair John MALCOLM (Ind),Helen MOONIE (Lab),skipped,skipped,skipped,,6
112,Margaret TONER (Con),Ian COCHRANE (SNP),skipped,skipped,skipped,skipped,,6
113,Margaret TONER (Con),Ian COCHRANE (SNP),skipped,skipped,skipped,skipped,,6
114,Margaret TONER (Con),Ian COCHRANE (SNP),skipped,skipped,skipped,skipped,,6
115,Margaret TONER (Con),Ian COCHRANE (SNP),skipped,skipped,skipped,skipped,,6
116,Margaret TONER (Con),Ian COCHRANE (SNP),skipped,skipped,skipped,skipped,,6
117,Margaret TONER (Con),Ian COCHRANE (SNP),skipped,skipped,skipped,skipped,,6
