voterId,rank1,rank2,rank3,rank4,rank5,rank6,numSeats,numCands
0,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
1,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
2,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
3,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
4,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
5,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
6,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
7,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
8,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
9,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
10,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
11,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
12,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
13,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
14,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
15,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
16,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
17,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
18,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
19,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
20,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
21,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
22,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
23,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
24,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
25,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
26,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
27,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
28,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
29,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
30,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
31,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
32,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
33,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
34,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
35,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
36,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
37,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
38,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
39,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
40,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
41,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
42,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
43,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
44,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
45,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
46,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
47,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
48,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
49,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
50,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
51,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
52,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
53,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
54,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
55,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
56,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
57,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
58,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
59,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
60,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
61,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
62,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
63,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
64,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
65,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
66,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
67,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
68,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
69,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
70,Gladys MILLER (SNP),skipped,skipped,skipped,skipped,skipped,,6
