voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Alastair MANDERSON (SC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Alastair MANDERSON (SC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Alastair MANDERSON (SC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Alastair MANDERSON (SC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Alastair MANDERSON (SC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Alastair MANDERSON (SC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Alastair MANDERSON (SC),Linda KINNIBURGH (Con),skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Alastair MANDERSON (SC),Linda KINNIBURGH (Con),Gail CASEY (Lab),Kath RYALL (Lab),William HENDRIE (SNP),Jim MCELHILL (SNP),skipped,skipped,,8
8,Alastair MANDERSON (SC),Linda KINNIBURGH (Con),Gail CASEY (Lab),Kath RYALL (Lab),Ann LYNCH(Soc),skipped,skipped,skipped,,8
9,Alastair MANDERSON (SC),Linda KINNIBURGH (Con),Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,,8
10,Alastair MANDERSON (SC),Linda KINNIBURGH (Con),Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,,8
11,Alastair MANDERSON (SC),Linda KINNIBURGH (Con),Marie A MCNAIR (Ind),Gail CASEY (Lab),skipped,skipped,skipped,skipped,,8
12,Alastair MANDERSON (SC),Gail CASEY (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Alastair MANDERSON (SC),Gail CASEY (Lab),Marie A MCNAIR (Ind),Kath RYALL (Lab),skipped,skipped,skipped,skipped,,8
14,Alastair MANDERSON (SC),Gail CASEY (Lab),Kath RYALL (Lab),skipped,skipped,skipped,skipped,skipped,,8
15,Alastair MANDERSON (SC),Gail CASEY (Lab),Jim MCELHILL (SNP),Kath RYALL (Lab),Marie A MCNAIR (Ind),Linda KINNIBURGH (Con),skipped,skipped,,8
16,Alastair MANDERSON (SC),Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
17,Alastair MANDERSON (SC),Marie A MCNAIR (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,8
18,Alastair MANDERSON (SC),Marie A MCNAIR (Ind),Linda KINNIBURGH (Con),skipped,skipped,skipped,skipped,skipped,,8
19,Alastair MANDERSON (SC),Marie A MCNAIR (Ind),Linda KINNIBURGH (Con),skipped,skipped,skipped,skipped,skipped,,8
20,Alastair MANDERSON (SC),Marie A MCNAIR (Ind),Linda KINNIBURGH (Con),skipped,skipped,skipped,skipped,skipped,,8
21,Alastair MANDERSON (SC),Marie A MCNAIR (Ind),Linda KINNIBURGH (Con),Gail CASEY (Lab),skipped,skipped,skipped,skipped,,8
22,Alastair MANDERSON (SC),Marie A MCNAIR (Ind),Gail CASEY (Lab),skipped,skipped,skipped,skipped,skipped,,8
