voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,numSeats,numCands
0,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
1,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
2,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
3,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
4,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
5,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
6,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
7,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
8,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
9,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
10,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
11,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
12,Miranda RADLEY (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,8
13,Miranda RADLEY (SNP),Bryce HOPE (Libtn),Moira HENDERSON (LD),skipped,skipped,skipped,skipped,skipped,,8
14,Miranda RADLEY (SNP),Bryce HOPE (Libtn),Moira HENDERSON (LD),skipped,skipped,skipped,skipped,skipped,,8
15,Miranda RADLEY (SNP),Moira HENDERSON (LD),skipped,skipped,skipped,skipped,skipped,skipped,,8
16,Miranda RADLEY (SNP),Moira HENDERSON (LD),Bryce HOPE (Libtn),Heather HERBERT (Grn),skipped,skipped,skipped,skipped,,8
17,Miranda RADLEY (SNP),Moira HENDERSON (LD),Heather HERBERT (Grn),skipped,skipped,skipped,skipped,skipped,,8
18,Miranda RADLEY (SNP),Moira HENDERSON (LD),Heather HERBERT (Grn),Charlie ABEL (Alba),Alex NICOLL (SNP),skipped,skipped,skipped,,8
19,Miranda RADLEY (SNP),Moira HENDERSON (LD),Heather HERBERT (Grn),Alex NICOLL (SNP),skipped,skipped,skipped,skipped,,8
20,Miranda RADLEY (SNP),Moira HENDERSON (LD),Alex NICOLL (SNP),skipped,skipped,skipped,skipped,skipped,,8
21,Miranda RADLEY (SNP),Moira HENDERSON (LD),Alex NICOLL (SNP),skipped,skipped,skipped,skipped,skipped,,8
22,Miranda RADLEY (SNP),Lynn THOMSON (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
23,Miranda RADLEY (SNP),Lynn THOMSON (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
24,Miranda RADLEY (SNP),Lynn THOMSON (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
25,Miranda RADLEY (SNP),Lynn THOMSON (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,8
26,Miranda RADLEY (SNP),Lynn THOMSON (Lab),Moira HENDERSON (LD),Heather HERBERT (Grn),skipped,skipped,skipped,skipped,,8
27,Lynn THOMSON (Lab),Charlie ABEL (Alba),Heather HERBERT (Grn),Bryce HOPE (Libtn),Alex NICOLL (SNP),Moira HENDERSON (LD),Richard BROOKS (Con),skipped,,8
28,Miranda RADLEY (SNP),Lynn THOMSON (Lab),Heather HERBERT (Grn),skipped,skipped,skipped,skipped,skipped,,8
29,Miranda RADLEY (SNP),Lynn THOMSON (Lab),Alex NICOLL (SNP),skipped,skipped,skipped,skipped,skipped,,8
30,Miranda RADLEY (SNP),Lynn THOMSON (Lab),Alex NICOLL (SNP),skipped,skipped,skipped,skipped,skipped,,8
31,Miranda RADLEY (SNP),Lynn THOMSON (Lab),Alex NICOLL (SNP),skipped,skipped,skipped,skipped,skipped,,8
32,Miranda RADLEY (SNP),Lynn THOMSON (Lab),Alex NICOLL (SNP),skipped,skipped,skipped,skipped,skipped,,8
33,Miranda RADLEY (SNP),Lynn THOMSON (Lab),Alex NICOLL (SNP),skipped,skipped,skipped,skipped,skipped,,8
34,Miranda RADLEY (SNP),Lynn THOMSON (Lab),Alex NICOLL (SNP),Heather HERBERT (Grn),skipped,skipped,skipped,skipped,,8
