voterId,rank1,rank2,rank3,rank4,rank5,numSeats,numCands
0,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
1,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
2,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
3,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
4,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
5,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
6,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
7,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
8,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
9,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
10,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
11,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
12,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
13,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
14,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
15,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
16,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
17,Lee-Anne Margaret TO (SNP),skipped,skipped,skipped,skipped,,5
18,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
19,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
20,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
21,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
22,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
23,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
24,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
25,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
26,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
27,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
28,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
29,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
30,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
31,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
32,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
33,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
34,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
35,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
36,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
37,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
38,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
39,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
40,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
41,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
42,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
43,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
44,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
45,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
46,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
47,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
48,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
49,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
50,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
51,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
52,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
53,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
54,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
55,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
56,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
57,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
58,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
59,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
60,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
61,Beverley Michele CLARK (SNP),skipped,skipped,skipped,skipped,,5
