voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
17,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
19,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Ruth Ann HENDERSON (TUSC),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
22,Ruth Ann HENDERSON (TUSC),Allan George JACKSON (Con),George GORDON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
23,Ruth Ann HENDERSON (TUSC),Allan George JACKSON (Con),Steve CARDOWNIE (SNP),Kate JOESTER(Grn),Vicki REDPATH (Lab),George GORDON (SNP),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,,9
24,Ruth Ann HENDERSON (TUSC),Allan George JACKSON (Con),Tim WIGHT(LD),Seumas Stiubhard MACMHICEAN (Liberal),Kate JOESTER(Grn),George GORDON (SNP),Steve CARDOWNIE (SNP),skipped,skipped,,9
25,Ruth Ann HENDERSON (TUSC),Allan George JACKSON (Con),Seumas Stiubhard MACMHICEAN (Liberal),skipped,skipped,skipped,skipped,skipped,skipped,,9
26,Ruth Ann HENDERSON (TUSC),Allan George JACKSON (Con),Kate JOESTER(Grn),skipped,skipped,skipped,skipped,skipped,skipped,,9
27,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
28,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
29,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
30,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
31,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),Steve CARDOWNIE (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
32,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),Tim WIGHT(LD),Cammy DAY(Lab),Allan George JACKSON (Con),Seumas Stiubhard MACMHICEAN (Liberal),Kate JOESTER(Grn),skipped,skipped,,9
33,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),Tim WIGHT(LD),Vicki REDPATH (Lab),Allan George JACKSON (Con),Cammy DAY(Lab),Kate JOESTER(Grn),skipped,skipped,,9
34,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),Vicki REDPATH (Lab),Kate JOESTER(Grn),Seumas Stiubhard MACMHICEAN (Liberal),Tim WIGHT(LD),Allan George JACKSON (Con),skipped,skipped,,9
35,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),Kate JOESTER(Grn),Vicki REDPATH (Lab),Cammy DAY(Lab),skipped,skipped,skipped,skipped,,9
36,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),Kate JOESTER(Grn),Cammy DAY(Lab),Vicki REDPATH (Lab),Tim WIGHT(LD),Allan George JACKSON (Con),skipped,skipped,,9
37,Ruth Ann HENDERSON (TUSC),George GORDON (SNP),Cammy DAY(Lab),skipped,skipped,skipped,skipped,skipped,skipped,,9
