voterId,rank1,rank2,rank3,rank4,rank5,rank6,rank7,rank8,rank9,numSeats,numCands
0,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
1,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
2,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
3,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
4,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
5,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
6,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
7,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
8,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
9,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
10,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
11,Stephen William ROTTGER (LD),skipped,skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
12,Stephen William ROTTGER (LD),Sandy FORBES (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
13,Stephen William ROTTGER (LD),Sandy FORBES (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
14,Stephen William ROTTGER (LD),Sandy FORBES (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
15,Stephen William ROTTGER (LD),Sandy FORBES (Grn),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
16,Stephen William ROTTGER (LD),Sandy FORBES (Grn),Matthew RITCHIE (Ind),IAN JOHN CAMERON (Lab),Rod CAVANAGH (SNP),Richard WATT (Con),Marie PENMAN (Ind),skipped,skipped,,9
17,Stephen William ROTTGER (LD),Sandy FORBES (Grn),Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
18,Stephen William ROTTGER (LD),Sandy FORBES (Grn),Marie PENMAN (Ind),MHAIRI CAITLIN CAMERON (Lab),Steve MCMAHON (SNP),skipped,skipped,skipped,skipped,,9
19,Stephen William ROTTGER (LD),Sandy FORBES (Grn),Rod CAVANAGH (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
20,Stephen William ROTTGER (LD),Sandy FORBES (Grn),Rod CAVANAGH (SNP),skipped,skipped,skipped,skipped,skipped,skipped,,9
21,Stephen William ROTTGER (LD),Sandy FORBES (Grn),Rod CAVANAGH (SNP),Steve MCMAHON (SNP),IAN JOHN CAMERON (Lab),Marie PENMAN (Ind),Matthew RITCHIE (Ind),skipped,skipped,,9
22,Stephen William ROTTGER (LD),Sandy FORBES (Grn),Steve MCMAHON (SNP),Rod CAVANAGH (SNP),Matthew RITCHIE (Ind),IAN JOHN CAMERON (Lab),Richard WATT (Con),skipped,skipped,,9
23,Stephen William ROTTGER (LD),Sandy FORBES (Grn),IAN JOHN CAMERON (Lab),skipped,skipped,skipped,skipped,skipped,skipped,,9
24,Stephen William ROTTGER (LD),Matthew RITCHIE (Ind),skipped,skipped,skipped,skipped,skipped,skipped,skipped,,9
25,Stephen William ROTTGER (LD),Matthew RITCHIE (Ind),Marie PENMAN (Ind),skipped,skipped,skipped,skipped,skipped,skipped,,9
